uID,variable1,variable2,.id,source,ross.s2.1_1_TEXT,ross.s2.2,sex,Source.Global,Source.Primary,Source.Secondary,Country,Location,Language,Weird,Execution,SubjectPool,Setting,Tablet,Pencil,StudyOrderN,IDiffOrderN,study.order,analysis.type,subset,case.include
143,60,Pay,ML2_Slate2_CanadaEng_online_DEPLOY__carleton_r.csv,carleton,60,1,2,carleton,carleton,carleton,Canada,"Carleton University, Ottawa, Canada",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Tversky.Gati|Savani|Tversky|Hauser|Gray|Zaval|Zhong|Shafir|Norenzayan|Hsee|Risen|Knobe|Geissner|Schwarz,ID: Mood|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Subjective wellbeing,1,Order,all,TRUE
144,30,Pay,ML2_Slate2_CanadaEng_online_DEPLOY__carleton_r.csv,carleton,30,1,1,carleton,carleton,carleton,Canada,"Carleton University, Ottawa, Canada",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Savani|Geissner|Schwarz|Tversky|Zhong|Shafir|Gray|Risen|Tversky.Gati|Knobe|Zaval|Norenzayan|Hsee|Hauser,ID: Subjective wellbeing|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Mood|ID: TIPI for Big-Five,1,Order,all,TRUE
152,30,Court,ML2_Slate2_CanadaEng_online_DEPLOY__carleton_r.csv,carleton,30,2,1,carleton,carleton,carleton,Canada,"Carleton University, Ottawa, Canada",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Gray|Zaval|Tversky|Shafir|Knobe|Savani|Hsee|Tversky.Gati|Risen|Norenzayan|Zhong|Geissner|Hauser|Schwarz,ID: TIPI for Big-Five|ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Global self-esteem SISE,1,Order,all,TRUE
153,20,Court,ML2_Slate2_CanadaEng_online_DEPLOY__carleton_r.csv,carleton,20,2,2,carleton,carleton,carleton,Canada,"Carleton University, Ottawa, Canada",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Zaval|Shafir|Tversky|Schwarz|Risen|Hauser|Gray|Hsee|Tversky.Gati|Zhong|Knobe|Savani|Geissner|Norenzayan,ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection,1,Order,all,TRUE
154,70,Court,ML2_Slate2_CanadaEng_online_DEPLOY__carleton_r.csv,carleton,70,2,2,carleton,carleton,carleton,Canada,"Carleton University, Ottawa, Canada",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Hsee|Schwarz|Geissner|Gray|Shafir|Zhong|Knobe|Tversky.Gati|Zaval|Tversky|Hauser|Savani|Risen|Norenzayan,ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Mood|ID: Subjective wellbeing|ID: Global self-esteem SISE,1,Order,all,TRUE
156,40,Pay,ML2_Slate2_CanadaEng_online_DEPLOY__carleton_r.csv,carleton,40,1,1,carleton,carleton,carleton,Canada,"Carleton University, Ottawa, Canada",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Norenzayan|Hsee|Schwarz|Tversky|Zaval|Hauser|Shafir|Geissner|Tversky.Gati|Zhong|Risen|Gray|Savani|Knobe,ID: Mood|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Subjective wellbeing,1,Order,all,TRUE
166,20,Court,ML2_Slate2_CanadaEng_online_DEPLOY__carleton_r.csv,carleton,20,2,2,carleton,carleton,carleton,Canada,"Carleton University, Ottawa, Canada",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Knobe|Shafir|Zhong|Tversky.Gati|Hauser|Schwarz|Zaval|Risen|Gray|Tversky|Geissner|Norenzayan|Hsee|Savani,ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Mood|ID: Subjective wellbeing|ID: Global self-esteem SISE,1,Order,all,TRUE
178,80,Pay,ML2_Slate2_CanadaEng_online_DEPLOY__carleton_r.csv,carleton,80,1,2,carleton,carleton,carleton,Canada,"Carleton University, Ottawa, Canada",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Risen|Geissner|Hauser|Tversky.Gati|Zaval|Tversky|Gray|Shafir|Hsee|Schwarz|Zhong|Savani|Knobe|Norenzayan,ID: Mood|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Cognitive reflection,1,Order,all,TRUE
185,90,Court,ML2_Slate2_CanadaEng_online_DEPLOY__carleton_r.csv,carleton,90,2,2,carleton,carleton,carleton,Canada,"Carleton University, Ottawa, Canada",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Risen|Norenzayan|Schwarz|Hauser|Shafir|Knobe|Hsee|Tversky|Zaval|Geissner|Savani|Tversky.Gati|Zhong|Gray,ID: Global self-esteem SISE|ID: Mood|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Subjective wellbeing,1,Order,all,TRUE
186,60,Court,ML2_Slate2_CanadaEng_online_DEPLOY__carleton_r.csv,carleton,60,2,1,carleton,carleton,carleton,Canada,"Carleton University, Ottawa, Canada",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Zaval|Tversky|Norenzayan|Gray|Hauser|Shafir|Schwarz|Hsee|Risen|Geissner|Tversky.Gati|Zhong|Savani|Knobe,ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Mood|ID: Cognitive reflection,1,Order,all,TRUE
234,80,Pay,ML2_Slate2_CzechCzech_Republic_recoded_values_r.csv,seznam,80,1,2,seznam,seznam,seznam,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,1,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Risen|Gray|Norenzayan|Tversky.Gati|Hsee|Shafir|Tversky|Schwarz|Hauser|Geissner|Zaval|Zhong|Knobe|Savani,ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Mood,1,Order,all,TRUE
235,100,Pay,ML2_Slate2_CzechCzech_Republic_recoded_values_r.csv,seznam,100,1,2,seznam,seznam,seznam,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,1,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Savani|Tversky.Gati|Zaval|Shafir|Hsee|Hauser|Tversky|Geissner|Knobe|Gray|Schwarz|Risen|Zhong|Norenzayan,ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood,1,Order,all,TRUE
239,95,Court,ML2_Slate2_CzechCzech_Republic_recoded_values_r.csv,seznam,95,2,1,seznam,seznam,seznam,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,1,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Shafir|Zhong|Zaval|Schwarz|Tversky.Gati|Risen|Norenzayan|Geissner|Gray|Knobe|Hauser|Savani|Hsee|Tversky,ID: Mood|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Global self-esteem SISE,1,Order,all,TRUE
265,60,Court,ML2_Slate2_CzechCzech_Republic_recoded_values_r.csv,seznam,60,2,1,seznam,seznam,seznam,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,1,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Hauser|Gray|Knobe|Zhong|Savani|Geissner|Tversky.Gati|Schwarz|Shafir|Tversky|Hsee|Risen|Zaval|Norenzayan,ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood,1,Order,all,TRUE
272,80,Pay,ML2_Slate2_CzechCzech_Republic_recoded_values_r.csv,seznam,80,1,2,seznam,seznam,seznam,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,1,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Tversky|Schwarz|Zaval|Tversky.Gati|Risen|Savani|Zhong|Gray|Hauser|Shafir|Geissner|Norenzayan|Knobe|Hsee,ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE,1,Order,all,TRUE
287,55,Pay,ML2_Slate2_CzechCzech_Republic_recoded_values_r.csv,seznam,55,1,2,seznam,seznam,seznam,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,1,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Tversky.Gati|Gray|Schwarz|Risen|Tversky|Zaval|Norenzayan|Shafir|Hauser|Knobe|Hsee|Savani|Geissner|Zhong,ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood,1,Order,all,TRUE
288,95,Pay,ML2_Slate2_CzechCzech_Republic_recoded_values_r.csv,seznam,95,1,2,seznam,seznam,seznam,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,1,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Geissner|Tversky.Gati|Schwarz|Norenzayan|Hauser|Tversky|Hsee|Gray|Zhong|Shafir|Zaval|Risen|Knobe|Savani,ID: TIPI for Big-Five|ID: Mood|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Global self-esteem SISE,1,Order,all,TRUE
359,20,Court,ML2_Slate2_CzechCzech_Republic_recoded_values_r.csv,seznamon,20,2,1,seznamon,seznamon,seznamon,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Hauser|Schwarz|Zaval|Gray|Risen|Norenzayan|Hsee|Savani|Tversky|Geissner|Zhong|Tversky.Gati|Shafir|Knobe,ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE,1,Order,all,TRUE
360,30,Court,ML2_Slate2_CzechCzech_Republic_recoded_values_r.csv,seznamon,30,2,2,seznamon,seznamon,seznamon,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Zaval|Knobe|Norenzayan|Zhong|Tversky|Risen|Hauser|Geissner|Schwarz|Tversky.Gati|Gray|Hsee|Savani|Shafir,ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Mood,1,Order,all,TRUE
363,50,Court,ML2_Slate2_CzechCzech_Republic_recoded_values_r.csv,seznamon,50,2,2,seznamon,seznamon,seznamon,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Risen|Tversky|Hsee|Tversky.Gati|Zhong|Shafir|Zaval|Gray|Geissner|Schwarz|Norenzayan|Knobe|Savani|Hauser,ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood|ID: TIPI for Big-Five,1,Order,all,TRUE
390,70,Pay,ML2_Slate2_CzechCzech_Republic_recoded_values_r.csv,seznamon,70,1,2,seznamon,seznamon,seznamon,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Schwarz|Geissner|Zhong|Hauser|Tversky|Hsee|Norenzayan|Risen|Tversky.Gati|Savani|Zaval|Gray|Knobe|Shafir,ID: Subjective wellbeing|ID: Mood|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE,1,Order,all,TRUE
421,30,Court,ML2_Slate2_CzechCzech_Republic_recoded_values_r.csv,seznamon,30,2,2,seznamon,seznamon,seznamon,Czech Republic,"Department of Psychology, Charles University, Prague, Czech Republic",Czech,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Hauser|Gray|Risen|Zaval|Hsee|Tversky|Savani|Zhong|Shafir|Geissner|Norenzayan|Schwarz|Tversky.Gati|Knobe,ID: Global self-esteem SISE|ID: Mood|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Subjective wellbeing,1,Order,all,TRUE
484,10,Court,ML2_Slate2_Dutch_Inlab_DEPLOY__netherlands_r.csv,tilburg,10,2,2,tilburg,tilburg,tilburg,The Netherlands,"Department of Social Psychology, Tilburg University, P.O. Box 90153, Tilburg, 5000 LE, Netherlands",Dutch,1,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Zaval|Geissner|Risen|Tversky|Gray|Norenzayan|Zhong|Knobe|Hauser|Tversky.Gati|Savani|Schwarz|Shafir|Hsee,ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Mood|ID: Cognitive reflection|ID: TIPI for Big-Five,1,Order,all,TRUE
511,80,Pay,ML2_Slate2_Dutch_Inlab_DEPLOY__netherlands_r.csv,radboud,80,1,2,radboud,radboud,radboud,The Netherlands,"Behavioral Science Institute, Radboud University Nijmegen, Nijmegen, Netherlands",Dutch,1,,"","","","",Ross.Slate2|Zaval|Risen|Tversky.Gati|Savani|Schwarz|Geissner|Hsee|Zhong|Tversky|Shafir|Knobe|Gray|Hauser|Norenzayan,ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE|ID: Subjective wellbeing,1,Order,all,TRUE
517,70,Pay,ML2_Slate2_Dutch_Inlab_DEPLOY__netherlands_r.csv,tilburg,70,1,2,tilburg,tilburg,tilburg,The Netherlands,"Department of Social Psychology, Tilburg University, P.O. Box 90153, Tilburg, 5000 LE, Netherlands",Dutch,1,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Geissner|Norenzayan|Savani|Zhong|Schwarz|Hauser|Tversky|Knobe|Tversky.Gati|Zaval|Risen|Gray|Shafir|Hsee,ID: TIPI for Big-Five|ID: Mood|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Subjective wellbeing,1,Order,all,TRUE
539,40,Court,ML2_Slate2_Dutch_Inlab_DEPLOY__netherlands_r.csv,tilburgcaf,40,2,1,tilburgcaf,tilburgcaf,tilburgcaf,The Netherlands,"Department of Social Psychology, Tilburg University, P.O. Box 90153, Tilburg, 5000 LE, Netherlands",Dutch,1,,No,Other (please indicate),Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Savani|Risen|Norenzayan|Hsee|Zaval|Geissner|Tversky.Gati|Hauser|Gray|Schwarz|Tversky|Zhong|Knobe|Shafir,ID: TIPI for Big-Five|ID: Mood|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Global self-esteem SISE,1,Order,all,TRUE
547,70,Pay,ML2_Slate2_Dutch_Inlab_DEPLOY__netherlands_r.csv,tilburg,70,1,2,tilburg,tilburg,tilburg,The Netherlands,"Department of Social Psychology, Tilburg University, P.O. Box 90153, Tilburg, 5000 LE, Netherlands",Dutch,1,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Norenzayan|Schwarz|Zaval|Savani|Tversky.Gati|Gray|Shafir|Risen|Knobe|Geissner|Zhong|Hauser|Tversky|Hsee,ID: Global self-esteem SISE|ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five,1,Order,all,TRUE
600,80,Pay,ML2_Slate2_Dutch_Inlab_DEPLOY__netherlands_r.csv,radboud,80,1,2,radboud,radboud,radboud,The Netherlands,"Behavioral Science Institute, Radboud University Nijmegen, Nijmegen, Netherlands",Dutch,1,,"","","","",Ross.Slate2|Schwarz|Tversky.Gati|Norenzayan|Gray|Hauser|Zaval|Knobe|Shafir|Geissner|Savani|Zhong|Hsee|Risen|Tversky,ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood,1,Order,all,TRUE
612,40,Court,ML2_Slate2_Dutch_Inlab_DEPLOY__netherlands_r.csv,tilburgcaf,40,2,1,tilburgcaf,tilburgcaf,tilburgcaf,The Netherlands,"Department of Social Psychology, Tilburg University, P.O. Box 90153, Tilburg, 5000 LE, Netherlands",Dutch,1,,No,Other (please indicate),Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Tversky|Knobe|Risen|Geissner|Gray|Zaval|Tversky.Gati|Zhong|Schwarz|Hsee|Savani|Hauser|Shafir|Norenzayan,ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood,1,Order,all,TRUE
623,65,Pay,ML2_Slate2_Dutch_Inlab_DEPLOY__netherlands_r.csv,radboud,65,1,2,radboud,radboud,radboud,The Netherlands,"Behavioral Science Institute, Radboud University Nijmegen, Nijmegen, Netherlands",Dutch,1,,"","","","",Ross.Slate2|Knobe|Savani|Schwarz|Zhong|Zaval|Risen|Geissner|Hauser|Hsee|Shafir|Gray|Tversky.Gati|Tversky|Norenzayan,ID: Subjective wellbeing|ID: Mood|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection,1,Order,all,TRUE
642,100,Pay,ML2_Slate2_EngUAE_r.csv,aus2,100,1,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Hauser|Schwarz|Risen|Zhong|Zaval|Tversky|Tversky.Gati|Hsee|Knobe|Gray|Savani|Geissner|Norenzayan|Shafir,ID: Mood|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Cognitive reflection,1,Order,all,TRUE
665,10,Court,ML2_Slate2_EngUAE_r.csv,aus2,10,2,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Norenzayan|Tversky|Hauser|Zaval|Knobe|Risen|Geissner|Schwarz|Hsee|Shafir|Zhong|Tversky.Gati|Savani|Gray,ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Mood|ID: Global self-esteem SISE,1,Order,all,TRUE
667,20,Pay,ML2_Slate2_EngUAE_r.csv,aus2,20,1,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Tversky|Geissner|Knobe|Gray|Shafir|Norenzayan|Zaval|Risen|Zhong|Schwarz|Savani|Hsee|Hauser|Tversky.Gati,ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Mood|ID: Subjective wellbeing,1,Order,all,TRUE
669,100,Pay,ML2_Slate2_EngUAE_r.csv,aus2,100,1,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Knobe|Savani|Geissner|Zhong|Shafir|Risen|Tversky|Norenzayan|Hauser|Tversky.Gati|Gray|Hsee|Schwarz|Zaval,ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Mood,1,Order,all,TRUE
678,90,Pay,ML2_Slate2_EngUAE_r.csv,aus2,90,1,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Savani|Zhong|Risen|Hsee|Shafir|Zaval|Tversky|Gray|Tversky.Gati|Hauser|Geissner|Norenzayan|Knobe|Schwarz,ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Mood|ID: Cognitive reflection,1,Order,all,TRUE
