"","ResponseId","referrer","IDEA8_identity","Stress","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"1071","R_31TU0QGRtz7yrzW","MtStMary",2.5,2.6,"male",NA,"somewhat conservative (5)","conservative (6)",NA,"100-199,999","yes","Caucasian","MtStMarys","Currently In College","some college"
"1072","R_2xRit3eiBU7oIZL","MtStMary",4,2.3,"male",NA,"conservative (6)","conservative (6)",NA,"100-199,999","yes","Caucasian","MtStMarys","Currently In College","some college"
"1073","R_6WjrDhb1Es02JvH","MtStMary",4,3.4,"female",NA,"conservative (6)","conservative (6)",NA,"not say","yes","Other race/ethincity","MtStMarys","Currently In College","some college"
"1074","R_5cYaulmsenesvOp","MtStMary",3.5,2.7,"female",NA,"conservative (6)","conservative (6)",NA,"not say","yes","Caucasian","MtStMarys","Currently In College","some college"
"1075","R_3G3XVDLDivturSK","MtStMary",3.5,3.8,"female",NA,"somewhat liberal (3)","democrat (2)",NA,"20-39,999","yes","Other race/ethincity","MtStMarys","Currently In College","some college"
"1076","R_339zS0BdcidBVUg","MtStMary",4,3.7,"female",NA,"liberal (2)","democrat (2)",NA,"not say","yes","Caucasian","MtStMarys","Currently In College","some college"
"1077","R_2ylQO8i3dVPFJ92","MtStMary",3,3.9,"male",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"200-999,999","yes","Caucasian","MtStMarys","Currently In College","some college"
"1078","R_a3mVKf1a22D78rL","MtStMary",4,3.6,"female",NA,"liberal (2)","independent",NA,"60-79,999","yes","Caucasian","MtStMarys","Currently In College","some college"
"1079","R_3MAI0YR1cnKPrUt","MtStMary",4,3,"female",NA,"conservative (6)","conservative (6)",NA,"under20,000","yes","Caucasian","MtStMarys","Currently In College","some college"
"1080","R_1Cxx41ayuk0rrNb","MtStMary",4,3.8,"male",NA,"strongly liberal (1)","democrat (2)",NA,"not say","yes","Caucasian","MtStMarys","Currently In College","some college"
"1081","R_roTXyW9xm0vaDBv","MtStMary",3,1.7,"female",NA,"liberal (2)","democrat (2)",NA,"under20,000","yes","Caucasian","MtStMarys","Currently In College","some college"
"1082","R_21hy83DeJEXT3Xo","MtStMary",3,3.6,"male",NA,"somewhat liberal (3)","middle (4)",NA,"not say","yes","Caucasian","MtStMarys","Currently In College","some college"
"1083","R_5gNhYVtgQETJ01b","MtStMary",4,3.7,"female",NA,"liberal (2)","somewhat democrat (3)",NA,"60-79,999","yes","Caucasian","ArizonaState","Currently In College","some college"
"1084","R_3fy1SPxzFr6o7m5","MtStMary",4,2.9,"female",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"80-99,999","yes","Caucasian","MtStMarys","Currently In College","some college"
"1085","R_bvl6104TyEDPOff","MtStMary",3.5,3.8,"female",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"20-39,999","yes","Caucasian","","Currently In College","some college"
"1086","R_2YrcVi03nI2WQUd","MtStMary",4,2.9,"female",NA,"strongly liberal (1)","strongly democrat (1)",NA,"100-199,999","yes","Caucasian","MtStMarys","Currently In College","some college"
"1087","R_UL9YToqfo4cUkRH","MtStMary",3,3.3,"female",NA,"liberal (2)","strongly democrat (1)",NA,"not say","yes","Caucasian","MtStMarys","Currently In College","some college"
"1088","R_1pDpSDXDngMhsQM","MtStMary",4,2.8,"female",NA,"conservative (6)","conservative (6)",NA,"20-39,999","yes","Caucasian","MtStMarys","Currently In College","some college"
"1089","R_2OHWT7nJEYdE8p9","MtStMary",4,3.1,"female",NA,"center (4)","conservative (6)",NA,"not say","yes","Caucasian","MtStMarys","Currently In College","some college"
"1090","R_1jDSacd84l8xXS0","MtStMary",4,2.9,"female",NA,"strongly liberal (1)","democrat (2)",NA,"40-59,999","yes","Caucasian","MtStMarys","Currently In College","some college"
"1091","R_2DP9y8bpkea5d3l","MtStMary",4,3,"female",NA,"liberal (2)","strongly democrat (1)",NA,"not say","yes","Caucasian","Vermont","Currently In College","some college"
"1092","R_eM0E5vbl8dmX0AN","MtStMary",3.5,3.1,"female",NA,"center (4)","somewhat conservative (5)",NA,"100-199,999","yes","Other race/ethincity","MtStMarys","Currently In College","some college"
"1093","R_tX8uoBHEsDUws9j","MtStMary",3,3.6,"female",NA,"somewhat conservative (5)","conservative (6)",NA,"not say","yes","Caucasian","MtStMarys","Currently In College","some college"
"1094","R_22V6TfBTJbapQNQ","MtStMary",4,2.3,"female",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"not say","yes","Caucasian","MtStMarys","Currently In College","some college"
"2862","R_2q98wPqCLOt0lYU","MtStMary",3.5,3.3,"female",NA,"apolitical","independent",NA,"20-39,999","yes","Other race/ethincity","MtStMarys","Completed 4 year degree","some college"
"2863","R_3jSxfBiyCrqsiAW","MtStMary",3,2.3,"female",NA,"somewhat liberal (3)","democrat (2)",NA,"80-99,999","yes","Caucasian","","Completed 4 year degree","some college"
"2864","R_2313tpi1qUn4RXU","MtStMary",3.5,2.9,"female",NA,"somewhat conservative (5)","conservative (6)",NA,"not say","yes","Caucasian","MtStMarys","Completed 4 year degree","some college"
"2865","R_T11ONpJ8DWTANA5","MtStMary",4,3.3,"female",NA,"strongly liberal (1)","strongly democrat (1)",NA,"200-999,999","yes","Caucasian","MtStMarys","Completed 4 year degree","some college"
"2866","R_V22CAnrHihh9w8V","MtStMary",4,3.4,"female",NA,"liberal (2)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","MtStMarys","Completed 4 year degree","some college"
"2867","R_2ux0dPlF7YdLYmN","MtStMary",3,2.5,"female",NA,"conservative (6)","strongly conservative (7)",NA,"not say","yes",NA,"MtStMarys","Completed 4 year degree","some college"
"2868","R_PI3F4DAKmGNGKHL","MtStMary",3,2.3,"male",NA,"conservative (6)","conservative (6)",NA,"100-199,999","yes","Caucasian","","Completed 4 year degree","some college"
"2869","R_1IGwQjs7jrcY3GG","MtStMary",4,3.3,"female",NA,"apolitical","somewhat democrat (3)",NA,"not say","yes","Other race/ethincity","MtStMarys","Completed 4 year degree","some college"
"2870","R_1JKHmXVmCRD0hBk","MtStMary",4,3,"female",NA,"somewhat conservative (5)","somewhat conservative (5)",NA,"100-199,999","yes","Caucasian","MtStMarys","Completed 4 year degree","some college"
"3011","R_2dDSaWQTB14h6TK","MtStMary",4,2.5,"female",NA,"strongly liberal (1)","democrat (2)",NA,"60-79,999","yes","Caucasian","GeorgeMason","Graduate Education",NA
"3012","R_1jUEwfAGcGphh7O","MtStMary",3,2.4,"female",NA,"liberal (2)","democrat (2)",NA,"20-39,999","yes","Caucasian","Antioch","Graduate Education",NA
"3013","R_cSe8bXJX00oZmVj","MtStMary",4,2.4,"male",NA,"center (4)","somewhat conservative (5)",NA,"20-39,999","yes","Other race/ethincity","Loyola-MD","Graduate Education",NA
