"","ResponseId","referrer","IDEA8_identity","Stress","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"1604","R_3Gs1hbrHL4DEHAZ","reed",3,2.7,"female",19,"liberal (2)","strongly democrat (1)",NA,"under20,000","yes","Caucasian","Reed","Currently In College","some college"
"1605","R_3exnpiXuqTkGcdv","reed",4,3.1,"male",20,"liberal (2)","democrat (2)",NA,"80-99,999","yes",NA,"Reed","Currently In College","some college"
"1606","R_2UWOpxTSpCYWvon","reed",4,2.7,"female",19,"liberal (2)","strongly democrat (1)",NA,"80-99,999","yes","Caucasian","Reed","Currently In College","some college"
"1607","R_3gTbHCSZDjzu3Og","reed",4,2.1,"female",21,"strongly liberal (1)","strongly democrat (1)",NA,"under20,000","yes","Other race/ethincity","Reed","Currently In College","some college"
"1608","R_zSUlFa0qHFGio9j","reed",3,2.9,"other",18,"strongly liberal (1)",NA,NA,"not say","yes",NA,"Reed","Currently In College","some college"
"1609","R_1rJrabgGriQHRW7","reed",3.5,2.8,"female",18,"strongly liberal (1)","strongly democrat (1)",NA,"20-39,999","yes",NA,"Reed","Currently In College","some college"
"1610","R_3HOcKJZIp0qQpuB","reed",2.5,3.6,"male",20,"liberal (2)","democrat (2)",NA,"not say","yes","Caucasian","Reed","Currently In College","some college"
"1611","R_10PhoFvpHsSRUzq","reed",3.5,3.6,"male",20,"strongly liberal (1)","strongly democrat (1)",NA,"80-99,999","yes",NA,"Reed","Currently In College","some college"
"1612","R_1Ino3dlKvOhdOPT","reed",4,3.4,"male",20,"somewhat liberal (3)","democrat (2)",NA,"40-59,999","yes","Other race/ethincity","Reed","Currently In College","some college"
"1613","R_2f6QsLJdzvyc1Hk","reed",4,3.6,"female",18,"strongly liberal (1)","somewhat democrat (3)",NA,"100-199,999","yes","Other race/ethincity","Reed","Currently In College","some college"
"1614","R_XTESNoCsrsfb35T","reed",3,2.5,"male",21,"liberal (2)","strongly democrat (1)",NA,"80-99,999","yes","Caucasian","Reed","Currently In College","some college"
"1615","R_22Mn2YdVSaLDSLW","reed",4,3.4,"female",19,"strongly liberal (1)","strongly democrat (1)",NA,"200-999,999","yes","Caucasian","Reed","Currently In College","some college"
"1616","R_2sRrkGaREIW2lSS","reed",3,2.9,"male",21,"liberal (2)","somewhat democrat (3)",NA,"40-59,999","yes",NA,"Reed","Currently In College","some college"
"1617","R_2c1sMzv68fWAg8A","reed",3.5,2,"other",18,"liberal (2)","somewhat democrat (3)",NA,"not say","yes","Other race/ethincity","Reed","Currently In College","some college"
"1618","R_2q2DdQOXuxPsKTl","reed",4,3.2,"female",20,"liberal (2)","strongly democrat (1)",NA,"60-79,999","yes","Caucasian","Reed","Currently In College","some college"
"1619","R_rrttZuiNvJz1D3P","reed",4,3.3,"female",19,"liberal (2)","somewhat democrat (3)",NA,"under20,000","yes",NA,"","Currently In College","some college"
"1620","R_1DRSsWhvzF4nsSa","reed",4,2.5,"male",18,"somewhat conservative (5)","somewhat conservative (5)",NA,"100-199,999","yes","Caucasian","Reed","Currently In College","some college"
"1621","R_308lgJovULU76g4","reed",3,4.1,"other",19,"strongly liberal (1)","democrat (2)",NA,"60-79,999","yes",NA,"Reed","Currently In College","some college"
"1622","R_10GHdAruGK8PKsD","reed",4,3.3,"male",20,"somewhat liberal (3)","strongly democrat (1)",NA,"not say","no","Other race/ethincity","Reed","Currently In College","some college"
"1623","R_cOQMY1inTkWq13T","reed",2.5,4,"female",18,"strongly liberal (1)","somewhat democrat (3)",NA,"60-79,999","yes","Caucasian","Reed","Currently In College","some college"
"1624","R_3KBdx0o4YflV8So","reed",4,4.1,"male",18,"strongly liberal (1)","somewhat democrat (3)",NA,"not say","yes","Other race/ethincity","Reed","Currently In College","some college"
"1625","R_qDBiQRId1GmROKJ","reed",3,2.6,"male",18,"center (4)","middle (4)",NA,"200-999,999","yes",NA,"Reed","Currently In College","some college"
"1626","R_2qsgYWdiW5RxEmH","reed",4,3.3,"female",20,"liberal (2)","somewhat democrat (3)",NA,"not say","no","Other race/ethincity","Reed","Currently In College","some college"
"1627","R_vubHWN2HmfxF85j","reed",4,3.9,"female",18,"strongly liberal (1)","somewhat democrat (3)",NA,"80-99,999","yes","Caucasian","Reed","Currently In College","some college"
"1628","R_VUxUZP1EhUDzNRv","reed",4,2.6,"female",19,"liberal (2)","strongly democrat (1)",NA,"20-39,999","yes","Caucasian","Reed","Currently In College","some college"
"1629","R_1JQmNQ4A7kgMqDF","reed",3.5,3.4,"female",20,"liberal (2)","strongly democrat (1)",NA,"100-199,999","yes",NA,"Reed","Currently In College","some college"
"1630","R_rkf1u33aHqkHGy5","reed",3.5,4.2,"female",18,"somewhat conservative (5)","middle (4)",NA,"not say","no","Other race/ethincity","Reed","Currently In College","some college"
"1631","R_2zCu1pO6Qe39cHd","reed",3.5,3.6,"female",19,"strongly liberal (1)","democrat (2)",NA,"80-99,999","yes","Caucasian","Reed","Currently In College","some college"
"1632","R_1riaAjmvIRTfVNJ","reed",4,3.1,"other",20,"liberal (2)","strongly democrat (1)",NA,"80-99,999","yes","Caucasian","Reed","Currently In College","some college"
"1633","R_2aKwRo3zXuH3dYZ","reed",3,4.1,"other",20,"strongly liberal (1)","democrat (2)",NA,"under20,000","yes","Other race/ethincity","Reed","Currently In College","some college"
"1634","R_2UixDRc37orH5bu","reed",2.5,3.3,"female",21,"strongly liberal (1)","middle (4)",NA,"40-59,999","no",NA,"Reed","Currently In College","some college"
"1635","R_PUUiIuN0ZlfPoFb","reed",3.5,3.5,"male",22,"conservative (6)","conservative (6)",NA,"under20,000","yes","Caucasian","Reed","Currently In College","some college"
"1636","R_3EhtTljOcsBI4VC","reed",4,3.9,"other",19,"strongly liberal (1)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","Reed","Currently In College","some college"
"1637","R_3r217X2wC6qcByw","reed",3,2.4,"male",19,"somewhat liberal (3)","somewhat democrat (3)",NA,"100-199,999","yes","Other race/ethincity","Reed","Currently In College","some college"
"1638","R_20O0Pd8SOxXHSLn","reed",2.5,3.6,"female",18,"liberal (2)","democrat (2)",NA,"200-999,999","yes","Other race/ethincity","Reed","Currently In College","some college"
"1639","R_2WJq5fgTAriDM87","reed",3,3.7,"female",19,"liberal (2)","somewhat democrat (3)",NA,"under20,000","yes","Other race/ethincity","Reed","Currently In College","some college"
"1640","R_3jVW0qdJz2XZQWQ","reed",3.5,3.8,"female",21,"somewhat liberal (3)","strongly democrat (1)",NA,"not say","yes",NA,"Reed","Currently In College","some college"
"1641","R_3gSF1wWy89Uaatj","reed",4,3.7,"female",22,"liberal (2)","middle (4)",NA,"not say","yes","Other race/ethincity","Reed","Currently In College","some college"
"1642","R_Ua8rHkWD01EQhnX","reed",3.5,3.1,"female",21,"strongly liberal (1)","strongly democrat (1)",NA,"not say","yes",NA,"Reed","Currently In College","some college"
"1643","R_1IQuI8Grk1ke1wC","reed",3,2.8,"other",20,"strongly liberal (1)","strongly democrat (1)",NA,"200-999,999","yes","Caucasian","Reed","Currently In College","some college"
"1644","R_3aVptXwhjnRgmw9","reed",4,3.3,"female",18,"conservative (6)","somewhat democrat (3)",NA,"100-199,999","yes","Other race/ethincity","Reed","Currently In College","some college"
"1645","R_b95JiAaHG5VMPp7","reed",4,2.8,"female",18,"liberal (2)","strongly democrat (1)",NA,"200-999,999","yes","Caucasian","Reed","Currently In College","some college"
"1646","R_2SiBpgdyJKOIxUg","reed",4,2.7,"female",21,"liberal (2)","somewhat democrat (3)",NA,"not say","yes","Caucasian","Reed","Currently In College","some college"
"1647","R_3MKfouJhOSv8GSj","reed",2,2.3,"male",23,"strongly liberal (1)","somewhat democrat (3)",NA,"20-39,999","yes","Other race/ethincity","Reed","Currently In College","some college"
"1648","R_1oB8IVk95cGqJF4","reed",4,4.3,"female",18,"liberal (2)","somewhat democrat (3)",NA,"100-199,999","yes",NA,"Reed","Currently In College","some college"
"1649","R_1LjUZqKOa74SRJ6","reed",3,2.6,"male",19,"liberal (2)","democrat (2)",NA,"not say","yes","Caucasian","Reed","Currently In College","some college"
"1650","R_2viuhki6wKfAeWo","reed",2.5,2.3,"female",18,"somewhat liberal (3)","democrat (2)",NA,"40-59,999","yes","Caucasian","Reed","Currently In College","some college"
"1651","R_2SJEeXlRSxjnZsu","reed",4,3.9,"female",19,"strongly liberal (1)","strongly democrat (1)",NA,"200-999,999","yes","Caucasian","Reed","Currently In College","some college"
"1652","R_2DSQWTaoizENmzf","reed",4,3.5,"female",18,"liberal (2)","democrat (2)",NA,"20-39,999","yes",NA,"Reed","Currently In College","some college"
"1653","R_rje0xML6mcPbXax","reed",2,3.5,"female",21,"liberal (2)","democrat (2)",NA,"not say","yes","Caucasian","Reed","Currently In College","some college"
"1654","R_1q4H6KtzJ6nuEKw","reed",3,2.4,"female",21,"liberal (2)","democrat (2)",NA,"60-79,999","yes","Caucasian","Reed","Currently In College","some college"
"1655","R_3mmh6na9mgOsbvz","reed",4,3.6,"female",19,"liberal (2)","strongly democrat (1)",NA,"under20,000","yes",NA,"Reed","Currently In College","some college"
"1656","R_2WNEwSqbPVCpAC9","reed",3,3.4,"female",22,"liberal (2)","strongly democrat (1)",NA,"not say","yes","Caucasian","Reed","Currently In College","some college"
"1657","R_1GD1DpDmeqH8Kho","reed",4,2.9,"female",19,"somewhat liberal (3)","democrat (2)",NA,"60-79,999","yes","Other race/ethincity","Reed","Currently In College","some college"
"1658","R_6ht6j7zjPfVZNDj","reed",4,3.9,"female",20,"liberal (2)","somewhat democrat (3)",NA,"200-999,999","yes","Caucasian","Reed","Currently In College","some college"
"1659","R_ClwvZKOLgSpQMg1","reed",4,4.1,"male",22,"liberal (2)","strongly democrat (1)",NA,"100-199,999","yes","Caucasian","Reed","Currently In College","some college"
