"","ResponseId","referrer","IDEA8_identity","Stress","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"2000","R_3h4rDNLbuwXFKmh","stmartin",4,2.4,"female",26,"apolitical","independent",NA,"under20,000","yes","Caucasian","StMartins","Currently In College","some college"
"2001","R_2dyzipMkwg0as4P","stmartin",4,3,"female",22,"center (4)","middle (4)",NA,"under20,000","yes","Caucasian","StMartins","Currently In College","some college"
"2002","R_PImDdSkCVXVwiLT","stmartin",4,3.3,"female",21,"center (4)","middle (4)",NA,"40-59,999","yes","Caucasian","StMartins","Currently In College","some college"
"2003","R_3QXafYlpkNNeO53","stmartin",3.5,2.9,"male",19,"apolitical","independent",NA,"80-99,999","yes",NA,"StMartins","Currently In College","some college"
"2004","R_w6lxAMmtuX3Ek5X","stmartin",3,3.2,"female",20,"somewhat conservative (5)","conservative (6)",NA,"60-79,999","yes",NA,"StMartins","Currently In College","some college"
"2005","R_3q9EbbIwY5jGeBv","stmartin",4,2.4,"female",18,"strongly conservative (7)","somewhat conservative (5)",NA,"not say","yes","Caucasian","StMartins","Currently In College","some college"
"2006","R_2WJtb0b7FnIoXIW","stmartin",4,3.3,"male",22,"strongly liberal (1)","middle (4)",NA,"under20,000","yes",NA,"StMartins","Currently In College","some college"
"2007","R_1DLJY2Olm6Adpbl","stmartin",3.5,3.1,"female",19,"somewhat liberal (3)","democrat (2)",NA,"under20,000","yes","Other race/ethincity","StMartins","Currently In College","some college"
"2008","R_1jjR1WjRcRBMkRz","stmartin",4,2.9,"female",18,"center (4)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","StMartins","Currently In College","some college"
"2009","R_2WxaPlTJonM5sk7","stmartin",4,2.7,"female",18,"center (4)","somewhat democrat (3)",NA,"20-39,999","yes","Caucasian","StMartins","Currently In College","some college"
"2010","R_3ndt3sTLOjHyOMn","stmartin",4,3.1,"female",20,"center (4)","middle (4)",NA,"not say","yes","Other race/ethincity","StMartins","Currently In College","some college"
"2011","R_3MSX6FmjxwH1Z2g","stmartin",4,3.2,"female",20,"liberal (2)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","StMartins","Currently In College","some college"
"2012","R_3PS92aDtdBn3fCp","stmartin",3.5,3.3,"female",21,"somewhat liberal (3)","somewhat democrat (3)",NA,"not say","yes","Caucasian","StMartins","Currently In College","some college"
"2013","R_3jTgN83Q5LOw2y3","stmartin",3.5,3.4,"female",18,"center (4)","middle (4)",NA,"not say","yes","Other race/ethincity","StMartins","Currently In College","some college"
"2014","R_1ZdPduuvdFFWrLz","stmartin",3.5,2.3,"female",24,"center (4)","somewhat democrat (3)",NA,"under20,000","yes",NA,"StMartins","Currently In College","some college"
"2015","R_3JI9u8LmhCAdaok","stmartin",3.5,2.6,"male",21,"somewhat conservative (5)","independent",NA,"20-39,999","no",NA,"StMartins","Currently In College","some college"
"2016","R_9LAvxugWYcRkEz7","stmartin",4,3.4,"female",21,"liberal (2)","democrat (2)",NA,"20-39,999","yes","Caucasian","StMartins","Currently In College","some college"
"2017","R_OfX4lKKSPrA3tCx","stmartin",3,3.4,"female",40,"conservative (6)","middle (4)",NA,"under20,000","yes","Caucasian","StMartins","Currently In College","some college"
"2018","R_1Hda27MMKbMzuRu","stmartin",3.5,4.1,"other",18,"strongly liberal (1)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","StMartins","Currently In College","some college"
"2019","R_3I66GMod5bw3nFJ","stmartin",4,3.4,"female",22,"center (4)","independent",NA,"under20,000","yes","Caucasian","StMartins","Currently In College","some college"
"2020","R_3iqAqprtd04gwFQ","stmartin",3.5,3.2,"female",21,"strongly liberal (1)","strongly democrat (1)",NA,"under20,000","no","Caucasian","StMartins","Currently In College","some college"
"2021","R_1pKyJeFy71n7FGD","stmartin",4,3.3,"female",21,"center (4)","independent",NA,"100-199,999","yes","Caucasian","StMartins","Currently In College","some college"
"2022","R_1LLEWXfvK2qlsoy","stmartin",3.5,2.9,"female",29,"strongly liberal (1)","democrat (2)",NA,"under20,000","yes","Caucasian","StMartins","Currently In College","some college"
"2023","R_237vg8awpDelTgN","stmartin",4,3.7,"female",19,"somewhat liberal (3)","somewhat democrat (3)",NA,"40-59,999","yes","Other race/ethincity","StMartins","Currently In College","some college"
"2024","R_2vk0GCR262Y5MEb","stmartin",3.5,3,"female",43,"conservative (6)","strongly conservative (7)",NA,"40-59,999","yes",NA,"StMartins","Currently In College","some college"
"2025","R_3qgQTg2Z8pV5zjI","stmartin",3.5,2.2,"female",20,"center (4)","independent",NA,"80-99,999","yes",NA,"StMartins","Currently In College","some college"
"2026","R_2dsXLO0JVZYTEUk","stmartin",2.5,3.7,"female",21,"somewhat liberal (3)","somewhat democrat (3)",NA,"60-79,999","yes",NA,"StMartins","Currently In College","some college"
"2027","R_2Va1tpaX8EcP8pq","stmartin",2.5,3.7,"female",21,"somewhat conservative (5)","somewhat conservative (5)",NA,"20-39,999","yes",NA,"StMartins","Currently In College","some college"
"2028","R_R35WQrqPDAXuXVn","stmartin",4,3.4,"male",18,"center (4)","somewhat democrat (3)",NA,"40-59,999","yes","Other race/ethincity","StMartins","Currently In College","some college"
"2753","R_1K0Xf6Axss8jthj","stmartin",3,3,"female",NA,"center (4)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","StMartins","Completed 2 year degree","some college"
"2754","R_1f26SK42rIxx4tL","stmartin",3,3.2,"male",NA,"conservative (6)","conservative (6)","yes","60-79,999","yes","Caucasian","StMartins","Completed 2 year degree","some college"
"2755","R_UEZykdV1BiavZG9","stmartin",3,2,"male",38,"somewhat liberal (3)","somewhat democrat (3)","yes","40-59,999","yes","Caucasian","StMartins","Completed 2 year degree","some college"
"2756","R_3DdKdX5SNt84prI","stmartin",4,4.1,"female",22,"somewhat liberal (3)","somewhat democrat (3)",NA,"under20,000","yes",NA,"StMartins","Completed 2 year degree","some college"
"2757","R_1GOXOlP5rKjh82Z","stmartin",2,2.8,"male",21,"conservative (6)","conservative (6)",NA,"under20,000","yes","Caucasian","StMartins","Completed 2 year degree","some college"
"2758","R_2qdtQl3f9yBQlix","stmartin",4,2.5,"female",18,"center (4)","independent",NA,"not say","yes","Caucasian","StMartins","Completed 2 year degree","some college"
"2759","R_3nVPtp6y30AbrIZ","stmartin",3.5,2.8,"female",18,"somewhat conservative (5)","somewhat conservative (5)",NA,"60-79,999","yes","Caucasian","StMartins","Completed 2 year degree","some college"
"2760","R_a67QamEdCsdppGV","stmartin",2,3,"male",32,"liberal (2)","strongly democrat (1)",NA,"under20,000","yes","Caucasian","StMartins","Completed 2 year degree","some college"
"2761","R_3egaC6FZUbcroqA","stmartin",4,2.4,"female",37,"center (4)","middle (4)","yes","60-79,999","yes",NA,"StMartins","Completed 2 year degree","some college"
"2762","R_R2gmrIU0TJBQS2J","stmartin",3,2,"male",19,"conservative (6)","conservative (6)",NA,"100-199,999","yes","Caucasian","StMartins","Completed 2 year degree","some college"
"2763","R_2395a6lKLnayWbf","stmartin",4,1.5,"male",48,"somewhat conservative (5)","somewhat conservative (5)","yes","60-79,999","yes","Caucasian","StMartins","Completed 2 year degree","some college"
"2764","R_3etwBIFb1sBnGgJ","stmartin",3.5,3.2,"female",20,"somewhat liberal (3)","democrat (2)",NA,"under20,000","yes",NA,"StMartins","Completed 2 year degree","some college"
"2765","R_WuGSDCD5Bh7RBuh","stmartin",4,3.4,"female",18,"liberal (2)","somewhat democrat (3)",NA,"20-39,999","yes","Caucasian","StMartins","Completed 2 year degree","some college"
"2766","R_3MF0k0c8G0wv55T","stmartin",3,3.3,"female",20,"liberal (2)","democrat (2)",NA,"not say","yes",NA,"StMartins","Completed 2 year degree","some college"
"2767","R_12L3kNuNIqjHsMr","stmartin",1.5,3.5,"female",25,"somewhat liberal (3)","somewhat democrat (3)",NA,"20-39,999","yes","Other race/ethincity","StMartins","Completed 2 year degree","some college"
"2768","R_1Gy038OuDuBNtg6","stmartin",4,3.3,"female",20,"somewhat liberal (3)","democrat (2)",NA,"80-99,999","yes",NA,"StMartins","Completed 2 year degree","some college"
"2922","R_3F40KRkQH7clRej","stmartin",2.5,2.7,"female",27,"apolitical","independent",NA,"under20,000","yes","Other race/ethincity","StMartins","Completed 4 year degree","some college"
"2923","R_1BW7rnVAPccRFkB","stmartin",3,2.2,"male",25,"liberal (2)","somewhat democrat (3)","yes","60-79,999","no","Caucasian","","Completed 4 year degree","some college"
"2924","R_qUXJupv0csi11zX","stmartin",3,3.3,"female",29,"center (4)","middle (4)","yes","60-79,999","yes","Other race/ethincity","StMartins","Completed 4 year degree","some college"
"3064","R_3PzqxO22P8xhoyc","stmartin",2.5,2.8,"female",20,"strongly liberal (1)","strongly democrat (1)",NA,"40-59,999","yes","Caucasian","StMartins","Graduate Education",NA
"3065","R_1E1hRiomdr9YcW3","stmartin",3,3.3,"male",40,"somewhat conservative (5)","somewhat democrat (3)","yes","under20,000","yes","Caucasian","StMartins","Graduate Education",NA
"3066","R_1P0pyzdlcFeTaj1","stmartin",3.5,3.1,"female",25,"center (4)","somewhat democrat (3)",NA,"20-39,999","yes","Caucasian","StMartins","Graduate Education",NA
"3067","R_6Q2BFLJYsBU5QnT","stmartin",4,2.5,"female",32,"center (4)","somewhat conservative (5)",NA,"under20,000","yes","Caucasian","StMartins","Graduate Education",NA
"3068","R_31MEQa4pkHpEFAk","stmartin",4,2.4,"female",51,"liberal (2)","democrat (2)",NA,"100-199,999","yes","Caucasian","StMartins","Graduate Education",NA
