"","Participant_ID","referrer","CredCond","mcdv1","age","year","Genderfactor","ethnicity","AttentionCheck"
"3701","51","VirginiaCommonwealthUniversity","Credentials",1,"19","Sophomore","Male","Asian-American","Pass"
"3702","52","VirginiaCommonwealthUniversity","Credentials",1,"23","Senior","Male","African-American","Pass"
"3703","53","VirginiaCommonwealthUniversity","Credentials",0,"22","Senior","Female","African-American","Pass"
"3704","54","VirginiaCommonwealthUniversity","Credentials",0,"18","First-year","Female","Latino or Hispanic","Pass"
"3705","55","VirginiaCommonwealthUniversity","NoCredentials",0,"18","First-year","Female","Asian-American","Fail"
"3706","56","VirginiaCommonwealthUniversity","NoCredentials",0,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3707","57","VirginiaCommonwealthUniversity","NoCredentials",0,"18","First-year","Male","Other","Fail"
"3709","59","VirginiaCommonwealthUniversity","NoCredentials",0,"18","First-year","Male","African-American","Pass"
"3710","60","VirginiaCommonwealthUniversity","NoCredentials",0,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"3711","61","VirginiaCommonwealthUniversity","NoCredentials",0,"18","First-year","Female","African-American","Fail"
"3712","62","VirginiaCommonwealthUniversity","NoCredentials",-2,"18","First-year","Female","Asian-American","Pass"
"3713","63","VirginiaCommonwealthUniversity","NoCredentials",0,"19","First-year","Female","White, non-Hispanic or latino","Fail"
"3714","64","VirginiaCommonwealthUniversity","NoCredentials",0,"22","Junior","Male","Latino or Hispanic","Pass"
"3715","65","VirginiaCommonwealthUniversity","NoCredentials",0,"19","Sophomore","Female","African-American","Pass"
"3716","66","VirginiaCommonwealthUniversity","NoCredentials",-1,"19","First-year","Female","African-American","Fail"
"3717","67","VirginiaCommonwealthUniversity","NoCredentials",1,"19","Sophomore","Female","African-American","Pass"
"3718","68","VirginiaCommonwealthUniversity","NoCredentials",1,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"3719","69","VirginiaCommonwealthUniversity","NoCredentials",0,"19","First-year","Male","Asian-American","Pass"
"3720","7","VirginiaCommonwealthUniversity","NoCredentials",0,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3721","70","VirginiaCommonwealthUniversity","NoCredentials",0,"19","Sophomore","Male","African-American","Pass"
"3722","71","VirginiaCommonwealthUniversity","NoCredentials",0,"18","First-year","Female","African-American","Pass"
"3723","72","VirginiaCommonwealthUniversity","Credentials",0,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3724","73","VirginiaCommonwealthUniversity","Credentials",0,"18","First-year","Female","Asian-American","Pass"
"3725","74","VirginiaCommonwealthUniversity","NoCredentials",0,"18","First-year","Female","Multiracial","Pass"
"3726","75","VirginiaCommonwealthUniversity","Credentials",0,"18","First-year","Female","Latino or Hispanic","Pass"
"3728","77","VirginiaCommonwealthUniversity","Credentials",0,"18","First-year","Female","Other","Fail"
"3729","78","VirginiaCommonwealthUniversity","Credentials",-2,"18","First-year","Female","Latino or Hispanic","Fail"
"3730","79","VirginiaCommonwealthUniversity","Credentials",0,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"3731","8","VirginiaCommonwealthUniversity","Credentials",0,"43","First-year","Male","White, non-Hispanic or latino","Pass"
"3732","80","VirginiaCommonwealthUniversity","NoCredentials",0,"22","Junior","Male","White, non-Hispanic or latino","Pass"
"3733","81","VirginiaCommonwealthUniversity","Credentials",0,"19","Sophomore","Female","Asian-American","Pass"
"3734","82","VirginiaCommonwealthUniversity","NoCredentials",2,"19","First-year","Male","Other","Fail"
"3735","83","VirginiaCommonwealthUniversity","NoCredentials",0,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3736","84","VirginiaCommonwealthUniversity","NoCredentials",0,"17","First-year","Female","White, non-Hispanic or latino","Pass"
"3737","85","VirginiaCommonwealthUniversity","NoCredentials",0,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3738","86","VirginiaCommonwealthUniversity","Credentials",0,"20","Junior","Female","Latino or Hispanic","Pass"
"3739","87","VirginiaCommonwealthUniversity","Credentials",1,"29","Junior","Female","Asian-American","Fail"
"3740","88","VirginiaCommonwealthUniversity","NoCredentials",-2,"18","First-year","Male","Asian-American","Fail"
"3741","89","VirginiaCommonwealthUniversity","NoCredentials",0,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"3743","90","VirginiaCommonwealthUniversity","NoCredentials",0,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3744","91","VirginiaCommonwealthUniversity","Credentials",0,"20","First-year","Male","Other","Pass"
"3745","92","VirginiaCommonwealthUniversity","Credentials",-1,"20","Junior","Female","African-American","Fail"
"3746","93","VirginiaCommonwealthUniversity","NoCredentials",0,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"3747","94","VirginiaCommonwealthUniversity","Credentials",0,"18","First-year","Female","African-American","Pass"
"3749","96","VirginiaCommonwealthUniversity","Credentials",2,"21","Junior","Male","White, non-Hispanic or latino","Fail"
"3752","99","VirginiaCommonwealthUniversity","NoCredentials",0,"20","Junior","Female","African-American","Fail"
"3753",NA,"VirginiaCommonwealthUniversity","Credentials",0,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3754",NA,"VirginiaCommonwealthUniversity","NoCredentials",0,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"3755",NA,"VirginiaCommonwealthUniversity","NoCredentials",0,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"3756",NA,"VirginiaCommonwealthUniversity","Credentials",0,"149","Sophomore","Female","African-American","Pass"
"3757",NA,"VirginiaCommonwealthUniversity","Credentials",0,"18","First-year","Female","African-American","Pass"
"3758",NA,"VirginiaCommonwealthUniversity","NoCredentials",0,"18","First-year","Female","African-American","Fail"
