"","ResponseId","referrer","MindfulnessScale","SWBscale","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"639","R_3JEqC3T7V69mXm2","juniata",2,3.33333333333333,"female",19,"apolitical","middle (4)",NA,"not say","yes","Caucasian","Juniata","Currently In College","some college"
"640","R_QgqGpY0fTPpJmsF","juniata",1.6,5.5,"female",20,"liberal (2)","democrat (2)",NA,"60-79,999","yes","Caucasian","Juniata","Currently In College","some college"
"641","R_1HcXfKj6Bv90U2N","juniata",3.13333333333333,4.33333333333333,"female",19,"apolitical","somewhat conservative (5)",NA,"not say","yes","Caucasian","Juniata","Currently In College","some college"
"642","R_1QFmG2IFmRBMBC9","juniata",2.66666666666667,3.66666666666667,"female",19,"center (4)","conservative (6)",NA,"40-59,999","yes","Caucasian","Juniata","Currently In College","some college"
"643","R_3lRZk7pet2TPYOS","juniata",5,3.16666666666667,"male",20,"strongly liberal (1)","strongly democrat (1)",NA,"40-59,999","yes","Caucasian","Juniata","Currently In College","some college"
"644","R_0U2icEWOOz0WnUl","juniata",5.6,4.66666666666667,"male",20,"somewhat conservative (5)","somewhat conservative (5)",NA,"60-79,999","yes","Caucasian","Juniata","Currently In College","some college"
"645","R_2sZRrGVlZ3Yr3q6","juniata",3.66666666666667,3.33333333333333,"male",18,"liberal (2)","democrat (2)",NA,"100-199,999","yes","Caucasian","Juniata","Currently In College","some college"
"646","R_3noOyISGiEzzfvD","juniata",3.46666666666667,5.5,"female",19,"liberal (2)","strongly democrat (1)",NA,"60-79,999","yes","Caucasian","Juniata","Currently In College","some college"
"647","R_1jd3yx5dQe4Wn7u","juniata",3.4,3.66666666666667,"male",18,"liberal (2)","somewhat democrat (3)",NA,"under20,000","yes","Other race/ethincity","Juniata","Currently In College","some college"
"648","R_BXmHFoFlFcgJQ6R","juniata",3,2.83333333333333,"male",19,"somewhat conservative (5)","conservative (6)",NA,"100-199,999","yes","Caucasian","Juniata","Currently In College","some college"
"649","R_1FqP2f60qjz4S1C","juniata",2.73333333333333,2.16666666666667,"male",19,"strongly conservative (7)","somewhat conservative (5)",NA,"not say","yes","Caucasian","Juniata","Currently In College","some college"
"650","R_yrwZmYEtRe4NycF","juniata",3.06666666666667,4.33333333333333,"female",20,"liberal (2)","democrat (2)",NA,"not say","yes","Caucasian","Juniata","Currently In College","some college"
"651","R_3qpRwN7BIf84iyO","juniata",2.4,5.83333333333333,"female",18,"conservative (6)","conservative (6)",NA,"200-999,999","yes","Caucasian","Juniata","Currently In College","some college"
"652","R_2WZOaEwvui3ownX","juniata",4,1.5,"female",20,"liberal (2)","strongly democrat (1)",NA,"60-79,999","yes","Caucasian","Juniata","Currently In College","some college"
"653","R_1eUFa1WXhNDBVJK","juniata",4.26666666666667,2.83333333333333,"male",19,"liberal (2)","democrat (2)",NA,"not say","yes",NA,"Juniata","Currently In College","some college"
"654","R_2PpcxPdlibydLUY","juniata",2,5,"male",19,"apolitical","somewhat democrat (3)",NA,"not say","yes","Caucasian","Juniata","Currently In College","some college"
"655","R_V4D8LV3EXOEHTbz","juniata",3.4,2.33333333333333,"female",19,"liberal (2)","democrat (2)",NA,"60-79,999","yes",NA,"","Currently In College","some college"
"656","R_20Sf4hHo03fvbk2","juniata",3.46666666666667,6.16666666666667,"female",19,"somewhat liberal (3)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","Juniata","Currently In College","some college"
"657","R_3NWmYIfHcm8nknY","juniata",3.66666666666667,2.16666666666667,"male",19,"conservative (6)","somewhat conservative (5)",NA,"100-199,999","yes","Caucasian","Juniata","Currently In College","some college"
"658","R_Zr6Xylj6BTWq5xf","juniata",3.13333333333333,3,"female",18,"strongly liberal (1)","democrat (2)",NA,"60-79,999","yes","Caucasian","Juniata","Currently In College","some college"
"659","R_2wtYc8x8aFkTttH","juniata",4.8,5,"male",18,"liberal (2)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","Juniata","Currently In College","some college"
"660","R_3F4cVzBBuNi1GcT","juniata",4.26666666666667,4.33333333333333,"female",18,"strongly liberal (1)","strongly democrat (1)",NA,"60-79,999","yes","Caucasian","Juniata","Currently In College","some college"
"661","R_AuIrKYR9YHLPOBr","juniata",3.93333333333333,5.5,"female",20,"somewhat liberal (3)","democrat (2)",NA,"60-79,999","yes","Caucasian","Juniata","Currently In College","some college"
"662","R_11h0k4wkLXg6f3l","juniata",4.13333333333333,4.16666666666667,"female",18,"center (4)","middle (4)",NA,"under20,000","yes","Caucasian","Juniata","Currently In College","some college"
"663","R_30c7SKPp2Y7ew1l","juniata",2.06666666666667,3,"female",19,"somewhat liberal (3)","middle (4)",NA,"200-999,999","yes","Caucasian","Juniata","Currently In College","some college"
"664","R_2D2oAbEON46HMFE","juniata",3.33333333333333,3.66666666666667,"female",20,"somewhat liberal (3)","somewhat democrat (3)",NA,"not say","yes","Caucasian","Juniata","Currently In College","some college"
"665","R_1H16CiKr35QhDiR","juniata",3.46666666666667,4,"female",19,"center (4)","democrat (2)",NA,"40-59,999","yes",NA,"Juniata","Currently In College","some college"
"666","R_27U0uZnuF8n1jxU","juniata",4.8,4.33333333333333,"female",21,"liberal (2)","middle (4)",NA,"under20,000","yes","Other race/ethincity","Juniata","Currently In College","some college"
"667","R_1ovtp5zyMHD0HY7","juniata",3.4,1,"female",20,"apolitical","independent",NA,"under20,000","no","Caucasian","Juniata","Currently In College","some college"
"668","R_1jDNyyKhf8ncDM9","juniata",3.4,3.5,"female",21,"center (4)","middle (4)",NA,"not say","yes","Caucasian","Juniata","Currently In College","some college"
"669","R_25G94qfUbXZWLw4","juniata",4.53333333333333,4.83333333333333,"male",19,"center (4)","somewhat conservative (5)",NA,"20-39,999","yes","Caucasian","Juniata","Currently In College","some college"
"670","R_pyKi5ZvQiCWqx57","juniata",4.06666666666667,3.16666666666667,"other",21,"somewhat liberal (3)","democrat (2)",NA,"80-99,999","yes",NA,"Juniata","Currently In College","some college"
"671","R_2Cf93GL3dDgqh7k","juniata",4.2,1.83333333333333,"male",18,"strongly liberal (1)","somewhat democrat (3)",NA,"under20,000","yes","Other race/ethincity","Juniata","Currently In College","some college"
"672","R_0PWnpufIzF3YIzT","juniata",4.26666666666667,5.16666666666667,"female",19,"liberal (2)","democrat (2)",NA,"not say","yes","Caucasian","Juniata","Currently In College","some college"
"673","R_2QhYuqcEe6cKRfo","juniata",2.06666666666667,2.83333333333333,"male",20,"apolitical","independent",NA,"200-999,999","yes","Caucasian","Juniata","Currently In College","some college"
"674","R_2Qfz9yD7B4UdoAK","juniata",3.4,3.66666666666667,"female",20,"center (4)","somewhat democrat (3)",NA,"not say","yes","Other race/ethincity","Juniata","Currently In College","some college"
"675","R_12mbwWnjAW2oAZr","juniata",3.26666666666667,5,"female",19,"center (4)","conservative (6)",NA,"40-59,999","yes","Caucasian","Juniata","Currently In College","some college"
"676","R_29vrHqNa2xfgDXh","juniata",3.06666666666667,6,"female",20,"somewhat liberal (3)","democrat (2)",NA,"80-99,999","yes","Caucasian","Juniata","Currently In College","some college"
"677","R_1IS4rpHSsyv5MEG","juniata",3.26666666666667,5.33333333333333,"male",20,"somewhat conservative (5)","somewhat conservative (5)",NA,"100-199,999","yes","Caucasian","Juniata","Currently In College","some college"
"678","R_5ciSD70FPl2VhSB","juniata",3.33333333333333,1.66666666666667,"female",NA,"somewhat conservative (5)","somewhat conservative (5)",NA,"not say","yes","Caucasian","Juniata","Currently In College","some college"
"2666","R_ehsuIRlh5PKWxmJ","juniata",2.93333333333333,4,"male",NA,"center (4)","middle (4)",NA,"20-39,999","no","Caucasian","YorkStJohn","Completed 2 year degree","some college"
"2667","R_6g9BqbHrusIBicJ","juniata",4.66666666666667,3,"other",NA,"liberal (2)","somewhat democrat (3)",NA,"not say","no","Caucasian","YorkCollege","Completed 2 year degree","some college"
"2668","R_1Ny2BCwwWm6gnFM","juniata",5.26666666666667,5.83333333333333,"female",23,"liberal (2)","democrat (2)",NA,"not say","yes","Other race/ethincity","Juniata","Completed 2 year degree","some college"
"2840","R_25ucqhLpKsB4JL5","juniata",3,2.33333333333333,"male",NA,"liberal (2)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","","Completed 4 year degree","some college"
"2841","R_4OuEP98r73xyFkp","juniata",2.73333333333333,3.83333333333333,"other",NA,"liberal (2)","strongly democrat (1)",NA,"not say","yes","Caucasian","","Completed 4 year degree","some college"
"2842","R_3r3kJgOeWF433jz","juniata",4.33333333333333,4.33333333333333,"female",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","","Completed 4 year degree","some college"
"2843","R_cXS9bgg9JShEbPv","juniata",3.46666666666667,4,"female",NA,"strongly liberal (1)","strongly democrat (1)",NA,"20-39,999","yes","Caucasian","","Completed 4 year degree","some college"
"2844","R_27W1MLByJiUKde2","juniata",3.4,3.5,"female",NA,"liberal (2)","democrat (2)",NA,"not say","yes","Other race/ethincity","","Completed 4 year degree","some college"
"2845","R_3EYadVYjoGK6WXS","juniata",3.06666666666667,2.33333333333333,"female",NA,"liberal (2)","somewhat democrat (3)",NA,"not say","yes","Caucasian","","Completed 4 year degree","some college"
"2846","R_1gokHwH7FBzM0ZJ","juniata",3.13333333333333,6.83333333333333,"male",NA,"liberal (2)","somewhat democrat (3)",NA,"20-39,999","no","Other race/ethincity","UofYork","Completed 4 year degree","some college"
"2847","R_3O2oeBO8Lu2GNbX","juniata",3.4,3.16666666666667,"female",NA,"conservative (6)","conservative (6)",NA,"not say","no","Caucasian","DurhamCC","Completed 4 year degree","some college"
"2848","R_2ayPRhcaIynqSgL","juniata",4.8,5.33333333333333,"female",NA,"liberal (2)","democrat (2)",NA,"not say","yes","Caucasian","","Completed 4 year degree","some college"
"2849","R_33DAJQjmKWD27wK","juniata",2.6,3.66666666666667,"female",NA,"liberal (2)","somewhat democrat (3)",NA,"20-39,999","yes","Caucasian","","Completed 4 year degree","some college"
"2850","R_2TR9WCCQdvL4OS1","juniata",3.86666666666667,4.83333333333333,"female",NA,"center (4)","somewhat conservative (5)","yes","100-199,999","yes","Caucasian","","Completed 4 year degree","some college"
"2851","R_31NooFxZGqG8TqE","juniata",3.2,3.66666666666667,"female",NA,"somewhat conservative (5)","conservative (6)",NA,"80-99,999","yes","Caucasian","","Completed 4 year degree","some college"
"2852","R_1es3002vvYiH33q","juniata",3,6.33333333333333,"female",NA,"liberal (2)","democrat (2)",NA,"20-39,999","yes","Caucasian","","Completed 4 year degree","some college"
"2973","R_2RWiZ7SHSn2e6wY","juniata",4.53333333333333,3.83333333333333,"female",NA,"strongly liberal (1)","strongly democrat (1)",NA,"under20,000","yes","Caucasian","SouthCarolina","Graduate Education",NA
"2974","R_1gOAfxnE83cNowd","juniata",4.13333333333333,4.66666666666667,"male",NA,"liberal (2)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","Salus","Graduate Education",NA
"2975","R_2aLiHR06Twt7hsB","juniata",3.53333333333333,3.16666666666667,"female",NA,"liberal (2)","democrat (2)",NA,"under20,000","yes","Caucasian","UNLV","Graduate Education",NA
"2976","R_23WF6zhk31YKoPF","juniata",2.46666666666667,6.33333333333333,"female",NA,"liberal (2)","somewhat democrat (3)",NA,"not say","yes","Caucasian","WakeForest","Graduate Education",NA
"2977","R_20YGc73juz6HVRU","juniata",3.93333333333333,6.16666666666667,"female",NA,"center (4)","independent",NA,"80-99,999","yes","Caucasian","","Graduate Education",NA
"2978","R_3egf4WsesGpEiBy","juniata",4.8,6,"female",NA,"strongly liberal (1)","strongly democrat (1)",NA,"100-199,999","yes","Caucasian","PCOM","Graduate Education",NA
