"","ResponseId","referrer","MindfulnessScale","SWBscale","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"1099","R_3EF1jmHQKMj1IP9","Norco",4.33333333333333,2.33333333333333,"female",20,"center (4)","strongly democrat (1)",NA,"80-99,999","yes","Other race/ethincity","RiversideCC","Currently In College","some college"
"1100","R_2bK9bo9wTtDaESO","Norco",4,1.33333333333333,"male",26,"somewhat liberal (3)","somewhat democrat (3)",NA,"20-39,999","yes","Other race/ethincity","CSU-Fullerton","Currently In College","some college"
"1101","R_3HzbGPxye5EsyaC","Norco",3.73333333333333,5.83333333333333,"female",19,"somewhat liberal (3)","democrat (2)",NA,"100-199,999","yes","Other race/ethincity","RiversideCC","Currently In College","some college"
"1102","R_1ml5YrmwOJCaknP","Norco",3.73333333333333,5,"female",42,"somewhat conservative (5)","strongly conservative (7)",NA,"100-199,999","yes","Caucasian","Norco","Currently In College","some college"
"1103","R_3gUHyWQVGEpfMaI","Norco",3.93333333333333,3,"female",20,"liberal (2)","middle (4)",NA,"40-59,999","yes","Other race/ethincity","Norco","Currently In College","some college"
"1104","R_30khxBWNF03NWP8","Norco",3.86666666666667,3.5,"female",24,"conservative (6)","somewhat conservative (5)",NA,"40-59,999","yes",NA,"RiversideCC","Currently In College","some college"
"1105","R_OEbHBhOayrRPsxb","Norco",5,5.66666666666667,"female",23,"strongly liberal (1)","strongly democrat (1)",NA,"60-79,999","yes","Other race/ethincity","Norco","Currently In College","some college"
"1106","R_3NP6lCf4W5PTWqC","Norco",4.26666666666667,3.83333333333333,"male",20,"center (4)","middle (4)",NA,"100-199,999","yes","Caucasian","RiversideCC","Currently In College","some college"
"1107","R_21pTYjW4eSAtdjL","Norco",4.2,2.16666666666667,"male",20,"center (4)","middle (4)",NA,"under20,000","yes","Caucasian","RiversideCC","Currently In College","some college"
"1108","R_28UQn8HPB2baDGY","Norco",3.86666666666667,4,"female",21,"center (4)","democrat (2)",NA,"20-39,999","yes","Caucasian","Norco","Currently In College","some college"
"1109","R_1fjY5WGwT4Ffaow","Norco",3.73333333333333,4.66666666666667,"female",25,"conservative (6)","somewhat conservative (5)",NA,"20-39,999","yes",NA,"GrandCanyon","Currently In College","some college"
"1110","R_1rHy3qoIOZAuoi8","Norco",2.73333333333333,1.5,"female",19,"liberal (2)","democrat (2)",NA,"20-39,999","yes",NA,"RiversideCC","Currently In College","some college"
"1111","R_7W1HSdguP3tr0VH","Norco",4.2,3.83333333333333,"female",22,"center (4)","independent",NA,"20-39,999","yes","Caucasian","LoneStar","Currently In College","some college"
"1112","R_3nvga38IA3sM9jB","Norco",3.33333333333333,4.5,"female",21,"somewhat liberal (3)","strongly democrat (1)",NA,"20-39,999","yes","Other race/ethincity","Norco","Currently In College","some college"
"1113","R_1OmHcZo78oTST0R","Norco",3.53333333333333,4.33333333333333,"female",22,"somewhat conservative (5)","strongly conservative (7)",NA,"under20,000","yes","Caucasian","LoneStar","Currently In College","some college"
"1114","R_6u7KxgHRZQUhu6J","Norco",5.13333333333333,3.33333333333333,"male",23,"somewhat liberal (3)","somewhat democrat (3)",NA,"80-99,999","yes","Caucasian","Norco","Currently In College","some college"
"1115","R_2eRsKNu2YYJvwUO","Norco",4,3.66666666666667,"female",21,"center (4)","middle (4)",NA,"not say","yes","Caucasian","Norco","Currently In College","some college"
"1116","R_3kHvlhbxEzJSeuU","Norco",3.06666666666667,3.66666666666667,"female",22,"somewhat conservative (5)","conservative (6)",NA,"60-79,999","yes","Caucasian","InteriorDesigners","Currently In College","some college"
"1117","R_RjWpEAvlQ68XYFb","Norco",4.66666666666667,5,"female",20,"apolitical","independent",NA,"not say","yes","Other race/ethincity","Norco","Currently In College","some college"
"1118","R_3QVqfBx4vLc21ro","Norco",4.13333333333333,4.16666666666667,"female",23,"liberal (2)","democrat (2)",NA,"not say","yes","Other race/ethincity","UC-SB","Currently In College","some college"
"1119","R_1resReit2tKj7TV","Norco",4.66666666666667,1.66666666666667,"female",28,"apolitical","democrat (2)",NA,"not say","yes","Other race/ethincity","RiversideCC","Currently In College","some college"
"1120","R_2aUBGLaJC5trdUH","Norco",2.4,5.66666666666667,"female",20,"liberal (2)","democrat (2)",NA,"not say","yes","Other race/ethincity","Norco","Currently In College","some college"
"1121","R_24Hl3IlUORzceOO","Norco",3.86666666666667,3.5,"female",22,"center (4)","somewhat democrat (3)",NA,"under20,000","yes",NA,"CSU-LongBeach","Currently In College","some college"
"1122","R_25GUrqW4A0VpYuW","Norco",3.26666666666667,2.66666666666667,"male",22,"center (4)","somewhat democrat (3)",NA,"80-99,999","yes","Other race/ethincity","SantaAna","Currently In College","some college"
"1123","R_1dAdQ4SKO3cCbl2","Norco",4.6,5.66666666666667,"female",20,"center (4)","somewhat democrat (3)",NA,"not say","yes","Other race/ethincity","Norco","Currently In College","some college"
"1124","R_1F3eLUtnUqenxLi","Norco",5,3.66666666666667,"female",26,"apolitical","independent",NA,"20-39,999","yes",NA,"SanJacinto","Currently In College","some college"
"1125","R_2QiCOHhzadXkDMa","Norco",3.93333333333333,2.5,"female",22,"somewhat liberal (3)","somewhat democrat (3)",NA,"not say","yes","Other race/ethincity","Norco","Currently In College","some college"
"1126","R_1q9isvEfz3YWxjb","Norco",4.2,4.66666666666667,"female",21,"liberal (2)","democrat (2)",NA,"under20,000","yes","Caucasian","Norco","Currently In College","some college"
"1127","R_1ohC7WLeB4p1ZYs","Norco",3.2,5.5,"male",21,"somewhat liberal (3)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","Norco","Currently In College","some college"
"1128","R_1NrKrCj77d4qcaQ","Norco",4.53333333333333,3.33333333333333,"male",20,"center (4)","somewhat conservative (5)",NA,"100-199,999","yes","Caucasian","Norco","Currently In College","some college"
"1129","R_3Oq3EGaUOt5fKxD","Norco",4,3.83333333333333,"female",22,"liberal (2)","strongly democrat (1)",NA,"20-39,999","yes","Other race/ethincity","Norco","Currently In College","some college"
"1130","R_3MbeRqw5AGCYebk","Norco",3.8,3.33333333333333,"female",20,"somewhat conservative (5)","democrat (2)","yes","20-39,999","yes","Other race/ethincity","","Currently In College","some college"
"1131","R_2f83SPTKnTCgoP3","Norco",3.73333333333333,5.5,"female",21,"liberal (2)","democrat (2)",NA,"40-59,999","yes","Other race/ethincity","CSU-Fullerton","Currently In College","some college"
"1132","R_32L2dFY2ctka0gb","Norco",2.93333333333333,5.66666666666667,"female",21,"somewhat liberal (3)","somewhat democrat (3)",NA,"60-79,999","yes","Caucasian","Norco","Currently In College","some college"
"1133","R_268x6tDEkJlZZBK","Norco",2.2,2.83333333333333,"other",24,"center (4)","middle (4)",NA,"not say","yes","Other race/ethincity","RiversideCC","Currently In College","some college"
"1134","R_bBMkBpBAvEEWieR","Norco",2.26666666666667,4,"female",21,"strongly liberal (1)","middle (4)",NA,"60-79,999","yes","Other race/ethincity","RiversideCC","Currently In College","some college"
"1135","R_3MJTiXNwjNZkKvg","Norco",5,4,"male",21,"center (4)","democrat (2)",NA,"not say","yes","Other race/ethincity","Norco","Currently In College","some college"
"1136","R_3IbKOM0Uq989F0E","Norco",1.93333333333333,4,"female",22,"liberal (2)","democrat (2)",NA,"under20,000","yes",NA,"Norco","Currently In College","some college"
"1137","R_2EbIB9mdQtYETrG","Norco",4.8,4,"male",22,"apolitical","independent",NA,"20-39,999","yes",NA,"RiversideCC","Currently In College","some college"
"1138","R_Ailq5RN6FOlkTnP","Norco",4.6,2.5,"female",20,"apolitical","somewhat democrat (3)",NA,"20-39,999","yes","Other race/ethincity","Norco","Currently In College","some college"
"1139","R_27Qi1buo57Iv5RF","Norco",2.6,2,"female",21,"somewhat liberal (3)","strongly democrat (1)",NA,"40-59,999","yes","Other race/ethincity","Norco","Currently In College","some college"
"1140","R_1IbcJe97wEYD9gL","Norco",3.46666666666667,3.5,"male",20,"somewhat liberal (3)","democrat (2)",NA,"40-59,999","yes","Other race/ethincity","Norco","Currently In College","some college"
"1141","R_1ps4iVMLegLpqEb","Norco",5.4,2.83333333333333,"female",26,"somewhat conservative (5)","democrat (2)",NA,"20-39,999","yes","Other race/ethincity","MorenoVC","Currently In College","some college"
"1142","R_2XjTZID4vORpKJF","Norco",4.66666666666667,2.33333333333333,"female",18,"apolitical","independent",NA,"not say","yes","Other race/ethincity","RiversideCC","Currently In College","some college"
"1143","R_ptqKoAoumFWxsAN","Norco",3.33333333333333,1,"male",28,"liberal (2)","middle (4)",NA,"under20,000","yes","Other race/ethincity","RiversideCC","Currently In College","some college"
"1144","R_1HkQvgoFlOQaC1K","Norco",4.46666666666667,5.5,"female",22,"liberal (2)","strongly democrat (1)",NA,"40-59,999","yes",NA,"CalPoly","Currently In College","some college"
"1145","R_sySFV365cdiXbgt","Norco",4.2,2,"female",22,"strongly liberal (1)","democrat (2)",NA,"100-199,999","yes","Other race/ethincity","Norco","Currently In College","some college"
"1146","R_27kuAyRncjZ1lny","Norco",4.26666666666667,5.16666666666667,"male",23,"apolitical","independent",NA,"not say","yes","Other race/ethincity","Norco","Currently In College","some college"
"2675","R_3iyfax9Wz3g6KpU","Norco",3.8,6.5,"female",22,"liberal (2)","democrat (2)",NA,"60-79,999","yes","Other race/ethincity","Norco","Completed 2 year degree","some college"
"2676","R_2rMYEUSOyA9Tqme","Norco",4.73333333333333,5.83333333333333,"female",22,"somewhat conservative (5)","democrat (2)",NA,"200-999,999","yes","Other race/ethincity","Norco","Completed 2 year degree","some college"
"2677","R_8BugLKRu4ivBluN","Norco",5.6,5.5,"male",24,"liberal (2)","middle (4)",NA,"40-59,999","yes","Caucasian","RiversideCC","Completed 2 year degree","some college"
"2678","R_2Tw1vanOGg94N12","Norco",4.46666666666667,6.5,"male",22,"conservative (6)","somewhat conservative (5)",NA,"under20,000","yes","Caucasian","RiversideCC","Completed 2 year degree","some college"
"2679","R_3D8clqjjzwdbxzC","Norco",3.66666666666667,4.5,"female",21,"center (4)","somewhat democrat (3)",NA,"40-59,999","yes","Other race/ethincity","","Completed 2 year degree","some college"
"2680","R_2uvQyj5NgGQmiGI","Norco",3.33333333333333,3.33333333333333,"female",21,"center (4)","somewhat democrat (3)",NA,"not say","yes","Caucasian","NorthGeorgia","Completed 2 year degree","some college"
"2681","R_1iaHJacpmRXp8tM","Norco",4.2,1.33333333333333,"female",23,"strongly liberal (1)","strongly democrat (1)",NA,"60-79,999","yes","Other race/ethincity","Norco","Completed 2 year degree","some college"
"2682","R_Wr1ZT9xEnPY0V9v","Norco",4.2,4.16666666666667,"female",23,"center (4)","strongly democrat (1)",NA,"20-39,999","yes","Other race/ethincity","","Completed 2 year degree","some college"
"2683","R_bl0bKn0zOPafeq5","Norco",3.13333333333333,5.5,"male",21,"somewhat conservative (5)","somewhat conservative (5)",NA,"100-199,999","yes","Caucasian","Norco","Completed 2 year degree","some college"
"2684","R_2ZUIwuHF4lharOz","Norco",4.53333333333333,5.83333333333333,"female",22,"liberal (2)","somewhat democrat (3)",NA,"80-99,999","yes","Caucasian","CalPoly","Completed 2 year degree","some college"
"2685","R_2YV5euZFQeD40O6","Norco",3.66666666666667,4.33333333333333,"male",22,"somewhat liberal (3)","democrat (2)",NA,"60-79,999","yes","Other race/ethincity","CSU-SB","Completed 2 year degree","some college"
"2686","R_0vtxu9tY1OZlZKh","Norco",3.26666666666667,4,"female",21,"somewhat conservative (5)","middle (4)",NA,"40-59,999","yes",NA,"Norco","Completed 2 year degree","some college"
"2871","R_pbC6SSg6t378gJr","Norco",4.06666666666667,2.5,"other",25,"strongly liberal (1)","somewhat democrat (3)",NA,"not say","yes","Caucasian","MorenoVC","Completed 4 year degree","some college"
"2872","R_3e8oRKq0hRcKh3n","Norco",3.13333333333333,4.5,"female",22,"strongly liberal (1)","strongly democrat (1)",NA,"20-39,999","yes","Caucasian","","Completed 4 year degree","some college"
"2873","R_2U4VhwkhOTYCiGH","Norco",4.93333333333333,4.66666666666667,"female",22,"somewhat liberal (3)","somewhat democrat (3)",NA,"20-39,999","yes","Other race/ethincity","","Completed 4 year degree","some college"
"2874","R_3QYn0yOBPRUmHFE","Norco",5.2,6.16666666666667,"female",38,"center (4)","somewhat democrat (3)",NA,"200-999,999","yes","Other race/ethincity","","Completed 4 year degree","some college"
"2875","R_24inmFCgE3hePF7","Norco",5,6.33333333333333,"female",61,"conservative (6)","conservative (6)",NA,"not say","yes","Caucasian","","Completed 4 year degree","some college"
"2876","R_2dhcIZn260osGse","Norco",3.53333333333333,3,"female",55,"center (4)","conservative (6)",NA,"60-79,999","yes","Caucasian","","Completed 4 year degree","some college"
"2877","R_0q8r4AJ0KRqJD6F","Norco",5.53333333333333,4.83333333333333,"female",43,"conservative (6)","democrat (2)",NA,"80-99,999","yes","Caucasian","","Completed 4 year degree","some college"
"2878","R_2WCfEi8LsMERmgL","Norco",5.73333333333333,7,"male",43,"liberal (2)","middle (4)","yes","200-999,999","yes","Caucasian","","Completed 4 year degree","some college"
"3014","R_1Nkb4lr7jbLrxZd","Norco",2.73333333333333,4.5,"female",36,"liberal (2)","strongly democrat (1)",NA,"100-199,999","yes","Caucasian","","Graduate Education",NA
"3015","R_3frQZvTfUxpJY4O","Norco",4.66666666666667,5.5,"female",22,"liberal (2)","middle (4)",NA,"20-39,999","yes",NA,"Norco","Graduate Education",NA
"3016","R_2rTuiAhLwyQdZE7","Norco",4.6,4.16666666666667,"male",61,"conservative (6)","strongly conservative (7)",NA,"100-199,999","yes","Caucasian","","Graduate Education",NA
"3017","R_3dWKufDlLK5LCmd","Norco",3.33333333333333,4.33333333333333,"female",32,"somewhat conservative (5)","middle (4)",NA,"not say","yes","Other race/ethincity","","Graduate Education",NA
"3018","R_3CDyrPVMlxI9pD6","Norco",5.46666666666667,6.33333333333333,"female",24,"liberal (2)","middle (4)",NA,"60-79,999","yes","Caucasian","","Graduate Education",NA
"3019","R_1dsDI3zBsKuHUD4","Norco",5.66666666666667,6.83333333333333,"male",29,"strongly conservative (7)","strongly conservative (7)",NA,"80-99,999","yes","Caucasian","","Graduate Education",NA
"3020","R_1E6VtbRvOaIBQtd","Norco",4.53333333333333,4.66666666666667,"female",23,"somewhat liberal (3)","democrat (2)",NA,"60-79,999","yes","Other race/ethincity","","Graduate Education",NA
"3021","R_24dEXp0QpQ0qThf","Norco",5.6,7,"male",34,"strongly conservative (7)","strongly democrat (1)",NA,"100-199,999","yes","Caucasian","","Graduate Education",NA
"3022","R_2OJUhLBbgCz8VdS","Norco",5,6.83333333333333,"male",38,"apolitical","independent","yes","100-199,999","yes","Caucasian","","Graduate Education",NA
"3023","R_33ro8nW7e2YYnno","Norco",4.2,5,"male",22,"somewhat conservative (5)","conservative (6)",NA,"not say","yes","Caucasian","UC-SD","Graduate Education",NA
