uID,variable,factor,.id,source,zav.dv.3,sex,Source.Global,Source.Primary,Source.Secondary,Country,Location,Language,Weird,Execution,SubjectPool,Setting,Tablet,Pencil,zav.include.strict,zav.condition,StudyOrderN,IDiffOrderN,study.order,analysis.type,subset,case.include
689,3,Cold,ML2_Slate2_EngUAE_r.csv,aus2,3,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Tversky.Gati|Savani|Schwarz|Ross.Slate2|Zhong|Hsee|Geissner|Knobe|Tversky|Risen|Hauser|Zaval|Shafir|Gray|Norenzayan,ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Mood|ID: TIPI for Big-Five|ID: Cognitive reflection,12,Global,NON-WEIRD,TRUE
698,3,Cold,ML2_Slate2_EngUAE_r.csv,aus2,3,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Zaval|Risen|Savani|Gray|Geissner|Shafir|Ross.Slate2|Schwarz|Tversky|Knobe|Hauser|Norenzayan|Zhong|Hsee|Tversky.Gati,ID: Mood|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: TIPI for Big-Five,1,Global,NON-WEIRD,TRUE
701,3,Cold,ML2_Slate2_EngUAE_r.csv,aus2,3,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Zhong|Hauser|Schwarz|Geissner|Risen|Shafir|Savani|Gray|Hsee|Ross.Slate2|Norenzayan|Tversky.Gati|Knobe|Zaval|Tversky,ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Mood,14,Global,NON-WEIRD,TRUE
702,1,Cold,ML2_Slate2_EngUAE_r.csv,aus2,1,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Zaval|Hauser|Schwarz|Knobe|Geissner|Hsee|Zhong|Tversky|Tversky.Gati|Shafir|Ross.Slate2|Savani|Gray|Norenzayan|Risen,ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Mood,1,Global,NON-WEIRD,TRUE
705,3,Cold,ML2_Slate2_EngUAE_r.csv,aus2,3,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Zaval|Savani|Schwarz|Norenzayan|Knobe|Shafir|Hsee|Hauser|Zhong|Geissner|Risen|Ross.Slate2|Gray|Tversky.Gati|Tversky,ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Mood|ID: TIPI for Big-Five|ID: Cognitive reflection,1,Global,NON-WEIRD,TRUE
707,3,Cold,ML2_Slate2_EngUAE_r.csv,aus2,3,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Hsee|Ross.Slate2|Hauser|Schwarz|Zhong|Zaval|Knobe|Savani|Geissner|Tversky.Gati|Risen|Gray|Shafir|Norenzayan|Tversky,ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Mood|ID: Cognitive reflection,6,Global,NON-WEIRD,TRUE
711,3,Cold,ML2_Slate2_EngUAE_r.csv,aus2,3,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Norenzayan|Gray|Risen|Zhong|Shafir|Geissner|Hsee|Hauser|Tversky.Gati|Savani|Ross.Slate2|Knobe|Zaval|Schwarz|Tversky,ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Mood,13,Global,NON-WEIRD,TRUE
713,3,Cold,ML2_Slate2_EngUAE_r.csv,aus2,3,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Hsee|Zhong|Schwarz|Norenzayan|Ross.Slate2|Knobe|Hauser|Tversky|Geissner|Gray|Tversky.Gati|Risen|Savani|Zaval|Shafir,ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood|ID: Cognitive reflection|ID: Global self-esteem SISE,14,Global,NON-WEIRD,TRUE
719,3,Cold,ML2_Slate2_EngUAE_r.csv,aus2,3,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Norenzayan|Zhong|Schwarz|Hsee|Ross.Slate2|Zaval|Tversky|Hauser|Knobe|Risen|Tversky.Gati|Shafir|Savani|Gray|Geissner,ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Mood,6,Global,NON-WEIRD,TRUE
720,3,Cold,ML2_Slate2_EngUAE_r.csv,aus2,3,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Zaval|Risen|Knobe|Tversky.Gati|Zhong|Hauser|Hsee|Tversky|Gray|Geissner|Shafir|Norenzayan|Schwarz|Savani|Ross.Slate2,ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Mood|ID: Subjective wellbeing,1,Global,NON-WEIRD,TRUE
723,3,Cold,ML2_Slate2_EngUAE_r.csv,aus2,3,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Knobe|Norenzayan|Zhong|Tversky.Gati|Hsee|Savani|Geissner|Gray|Schwarz|Risen|Hauser|Shafir|Zaval|Ross.Slate2|Tversky,ID: Global self-esteem SISE|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Mood|ID: Subjective wellbeing,13,Global,NON-WEIRD,TRUE
730,2,Cold,ML2_Slate2_EngUAE_r.csv,aus2,2,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Knobe|Risen|Savani|Norenzayan|Hauser|Hsee|Gray|Tversky|Tversky.Gati|Zaval|Ross.Slate2|Zhong|Geissner|Shafir|Schwarz,ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Mood|ID: Subjective wellbeing|ID: Global self-esteem SISE,10,Global,NON-WEIRD,TRUE
733,2,Cold,ML2_Slate2_EngUAE_r.csv,aus2,2,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Schwarz|Zaval|Geissner|Zhong|Risen|Hauser|Tversky|Hsee|Knobe|Norenzayan|Shafir|Ross.Slate2|Tversky.Gati|Savani|Gray,ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Mood,2,Global,NON-WEIRD,TRUE
737,3,Cold,ML2_Slate2_EngUAE_r.csv,aus2,3,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Tversky.Gati|Zaval|Hsee|Norenzayan|Risen|Zhong|Gray|Shafir|Savani|Geissner|Tversky|Schwarz|Ross.Slate2|Knobe|Hauser,ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Mood|ID: TIPI for Big-Five,2,Global,NON-WEIRD,TRUE
741,4,Cold,ML2_Slate2_EngUAE_r.csv,aus2,4,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Knobe|Hsee|Ross.Slate2|Risen|Zhong|Hauser|Gray|Tversky|Zaval|Norenzayan|Shafir|Schwarz|Tversky.Gati|Geissner|Savani,ID: Cognitive reflection|ID: Mood|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Global self-esteem SISE,9,Global,NON-WEIRD,TRUE
742,2,Cold,ML2_Slate2_EngUAE_r.csv,aus2,2,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Zhong|Ross.Slate2|Hsee|Tversky.Gati|Shafir|Schwarz|Hauser|Risen|Norenzayan|Knobe|Gray|Geissner|Tversky|Savani|Zaval,ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood,15,Global,NON-WEIRD,TRUE
744,4,Cold,ML2_Slate2_EngUAE_r.csv,aus2,4,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Gray|Tversky|Geissner|Hsee|Zhong|Tversky.Gati|Schwarz|Norenzayan|Knobe|Shafir|Savani|Zaval|Risen|Ross.Slate2|Hauser,ID: Cognitive reflection|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood|ID: Global self-esteem SISE,12,Global,NON-WEIRD,TRUE
747,1,Cold,ML2_Slate2_EngUAE_r.csv,aus2,1,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Norenzayan|Zhong|Tversky.Gati|Gray|Geissner|Hauser|Hsee|Shafir|Knobe|Zaval|Tversky|Ross.Slate2|Schwarz|Savani|Risen,ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Mood|ID: Cognitive reflection,10,Global,NON-WEIRD,TRUE
749,3,Cold,ML2_Slate2_EngUAE_r.csv,aus2,3,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Savani|Zhong|Ross.Slate2|Tversky|Schwarz|Hsee|Knobe|Zaval|Gray|Hauser|Risen|Shafir|Geissner|Tversky.Gati|Norenzayan,ID: Cognitive reflection|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Mood,8,Global,NON-WEIRD,TRUE
756,2,Cold,ML2_Slate2_EngUAE_r.csv,aus2,2,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Knobe|Zaval|Hsee|Ross.Slate2|Shafir|Norenzayan|Tversky.Gati|Schwarz|Risen|Savani|Hauser|Gray|Tversky|Zhong|Geissner,ID: Global self-esteem SISE|ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five,2,Global,NON-WEIRD,TRUE
759,1,Cold,ML2_Slate2_EngUAE_r.csv,aus2,1,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Hauser|Risen|Knobe|Tversky|Ross.Slate2|Savani|Shafir|Norenzayan|Tversky.Gati|Zaval|Hsee|Zhong|Schwarz|Gray|Geissner,ID: Cognitive reflection|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Mood,10,Global,NON-WEIRD,TRUE
763,2,Cold,ML2_Slate2_EngUAE_r.csv,aus2,2,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Hauser|Savani|Gray|Ross.Slate2|Tversky.Gati|Tversky|Knobe|Hsee|Shafir|Zhong|Geissner|Norenzayan|Zaval|Schwarz|Risen,ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing,13,Global,NON-WEIRD,TRUE
769,2,Cold,ML2_Slate2_EngUAE_r.csv,aus2,2,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Zaval|Zhong|Ross.Slate2|Risen|Hauser|Shafir|Hsee|Geissner|Knobe|Schwarz|Norenzayan|Gray|Tversky|Tversky.Gati|Savani,ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Mood,1,Global,NON-WEIRD,TRUE
775,1,Cold,ML2_Slate2_EngUAE_r.csv,aus2,1,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Geissner|Hsee|Schwarz|Risen|Norenzayan|Shafir|Zhong|Tversky|Hauser|Zaval|Gray|Tversky.Gati|Ross.Slate2|Savani|Knobe,ID: TIPI for Big-Five|ID: Mood|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection,10,Global,NON-WEIRD,TRUE
776,2,Cold,ML2_Slate2_EngUAE_r.csv,aus2,2,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Zhong|Tversky|Risen|Zaval|Geissner|Norenzayan|Hsee|Ross.Slate2|Shafir|Gray|Savani|Tversky.Gati|Schwarz|Hauser|Knobe,ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Mood|ID: Cognitive reflection|ID: Subjective wellbeing,4,Global,NON-WEIRD,TRUE
780,2,Cold,ML2_Slate2_EngUAE_r.csv,aus2,2,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Hsee|Zhong|Savani|Zaval|Norenzayan|Hauser|Shafir|Schwarz|Tversky.Gati|Gray|Geissner|Knobe|Tversky|Risen|Ross.Slate2,ID: Global self-esteem SISE|ID: Mood|ID: Cognitive reflection|ID: Subjective wellbeing|ID: TIPI for Big-Five,4,Global,NON-WEIRD,TRUE
781,2,Cold,ML2_Slate2_EngUAE_r.csv,aus2,2,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Ross.Slate2|Tversky|Savani|Geissner|Gray|Norenzayan|Tversky.Gati|Shafir|Hsee|Hauser|Risen|Knobe|Schwarz|Zhong|Zaval,ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Mood|ID: TIPI for Big-Five|ID: Subjective wellbeing,15,Global,NON-WEIRD,TRUE
782,1,Cold,ML2_Slate2_EngUAE_r.csv,aus2,1,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Hsee|Gray|Knobe|Tversky|Hauser|Geissner|Norenzayan|Ross.Slate2|Risen|Zaval|Savani|Tversky.Gati|Shafir|Zhong|Schwarz,ID: Cognitive reflection|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood|ID: Global self-esteem SISE,10,Global,NON-WEIRD,TRUE
792,1,Cold,ML2_Slate2_EngUAE_r.csv,aus2,1,2,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Tversky|Shafir|Gray|Risen|Savani|Hsee|Knobe|Zhong|Geissner|Tversky.Gati|Zaval|Norenzayan|Ross.Slate2|Schwarz|Hauser,ID: Mood|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Subjective wellbeing,11,Global,NON-WEIRD,TRUE
793,3,Cold,ML2_Slate2_EngUAE_r.csv,aus2,3,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Zaval|Tversky.Gati|Geissner|Norenzayan|Shafir|Savani|Schwarz|Gray|Risen|Hsee|Knobe|Hauser|Ross.Slate2|Zhong|Tversky,ID: Subjective wellbeing|ID: Mood|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five,1,Global,NON-WEIRD,TRUE
799,3,Cold,ML2_Slate2_EngUAE_r.csv,aus2,3,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Gray|Zaval|Tversky.Gati|Knobe|Risen|Savani|Shafir|Hauser|Hsee|Tversky|Schwarz|Geissner|Norenzayan|Ross.Slate2|Zhong,ID: TIPI for Big-Five|ID: Mood|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Subjective wellbeing,2,Global,NON-WEIRD,TRUE
804,2,Cold,ML2_Slate2_EngUAE_r.csv,aus2,2,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Ross.Slate2|Zaval|Zhong|Savani|Hsee|Norenzayan|Schwarz|Shafir|Tversky.Gati|Geissner|Knobe|Risen|Tversky|Hauser|Gray,ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Mood|ID: Subjective wellbeing,2,Global,NON-WEIRD,TRUE
807,2,Cold,ML2_Slate2_EngUAE_r.csv,aus2,2,1,aus2,aus2,aus2,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Geissner|Tversky.Gati|Hsee|Zhong|Schwarz|Zaval|Hauser|Risen|Norenzayan|Gray|Knobe|Savani|Shafir|Ross.Slate2|Tversky,ID: Mood|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection,6,Global,NON-WEIRD,TRUE
1119,4,Cold,ML2_Slate2_IndiaEng_Inlab_DEPLOY__Amity_r.csv,amity,4,2,amity,amity,amity,India,"Amity University, India",English,0,,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Savani|Schwarz|Shafir|Zhong|Hauser|Tversky.Gati|Zaval|Tversky|Geissner|Risen|Ross.Slate2|Norenzayan|Gray|Knobe|Hsee,ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five,7,Global,NON-WEIRD,TRUE
1123,3,Cold,ML2_Slate2_IndiaEng_Inlab_DEPLOY__Amity_r.csv,amityon,3,1,amityon,amityon,amityon,India,"Amity University, India",English,0,,No,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Tversky|Zaval|Hauser|Shafir|Tversky.Gati|Gray|Savani|Zhong|Risen|Ross.Slate2|Norenzayan|Hsee|Schwarz|Geissner|Knobe,ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood,2,Global,NON-WEIRD,TRUE
1125,4,Cold,ML2_Slate2_IndiaEng_Inlab_DEPLOY__Amity_r.csv,amityon,4,1,amityon,amityon,amityon,India,"Amity University, India",English,0,,No,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Norenzayan|Zhong|Shafir|Schwarz|Hauser|Hsee|Tversky|Ross.Slate2|Geissner|Risen|Tversky.Gati|Savani|Zaval|Gray|Knobe,ID: Cognitive reflection|ID: Mood|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Subjective wellbeing,13,Global,NON-WEIRD,TRUE
1153,3,Cold,ML2_Slate2_IndiaEng_Inlab_DEPLOY__Amity_r.csv,amity,3,2,amity,amity,amity,India,"Amity University, India",English,0,,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1,Zhong|Tversky.Gati|Norenzayan|Ross.Slate2|Knobe|Shafir|Geissner|Schwarz|Hsee|Gray|Tversky|Risen|Savani|Zaval|Hauser,ID: Subjective wellbeing|ID: Mood|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE,14,Global,NON-WEIRD,TRUE
