study,analysis,ori_ML2analysis,ori_stattype,ori_N,ori_N_weird,ori_n1_weird,ori_n2_weird,ori_N_lessweird,ML2_test,ML2_stattype,ML2_estimate,ML2_estimate1,ML2_estimate2,ML2_teststat,ML2_N,ML2_n1,ML2_n2,ML2_df,ML2_pval,ML2_sd.1,ML2_sd.2,ML2_d,ML2_r,ML2_OR,ML2_Q,N_ML2_pval,N_ori_pval,N_2.5ori_pval,N_50each_pval
"Tempting Fate (Risen & Gilovich, 2008)",Risen.3,Risen.3,t,120,120,60,60,,Two Sample t-test,t,,4.58228167592125,4.14091134224864,8.07556642416195,8000,3962,4038,7998,7.69681840406659e-16,2.43738430605487,2.45074447628688,0.18058,0.08993,1.38755,,8.88178419700125e-16,0.324649086424342,0.118909696688609,0.368792925345919
"Actions are Choices (Savani et al., 2010)",Savani.3a,Savani.2a,t,90,90,45,45,,GLMM Wald Z-test,Z,-0.334917588127623,,,-0.334917588127623,6010,2941,3069,,8.43924369425501e-31,,,-0.18465,-0.09193,0.7154,,,,,
"Intuitive Reasoning (Norenzayan et al., 2002)",Norenzayan.1,Norenzayan.1,OR,,1080,700,380,100,Welch Two Sample t-test,t,0.197779994110094,0.639367122552963,0.441587128442869,37.0481825443436,7396,3729,3667,7227.59276363914,3.03670295044991e-275,0.248283218200995,0.209491085027675,0.86162,0.39569,4.77216,,0,0,0,3.916323875508e-05
"Less is Better (Hsee, 1998)",Hsee.1,Hsee.1,t,83,83,41,42,,Welch Two Sample t-test,t,0.890340755135275,5.50493506493507,4.61459430979979,34.2001600001852,7646,3850,3796,6569.67076058692,4.53458440679825e-236,0.886726435147186,1.34067328917607,0.78226,0.36429,4.13243,,0,0.000617770803568618,5.76005696473203e-08,0.000169330776862431
"Moral Typecasting (Gray & Wegner, 2009)",Gray.1,Gray.1,t,69,69,34,35,,Welch Two Sample t-test,t,1.63360515145866,5.4083912611718,3.77478610971314,42.6234647801809,8002,4028,3974,7913.89069509914,0,1.63394555959615,1.78982733659939,0.95299,0.43019,5.63241,,0,0.00018562913809772,3.0608957590772e-09,6.55421905593201e-06
"Moral Cleansing (Zhong & Liljenquist, 2006)",Zhong.1,Zhong.1,f,27,27,14,13,,Two Sample t-test,t,,3.94692241626109,3.95079817559863,-0.112439093267686,7001,3493,3508,6999,0.910478484411713,1.45415227013372,1.42995248834915,-0.00269,-0.00134,0.99514,,0.910399630502096,0.994483029106532,0.991222928252514,0.989296119710858
"Assimilation & Contrast (Schwarz et al., 1991)",Schwarz.1a,Schwarz.1a,Z.f,100,100,50,50,,Fisher r-to-Z transformed test for difference between 2 independent correlations,Z.f,-0.0700854823361644,0.3772108,0.4357757,-3.03027180995318,7460,3769,3691,,0.00244333740339542,2.94337479701912,2.22404822729742,,-0.004125460960044,,-0.0702005744332444,0.00244333740339531,0.733623154467138,0.583496902485971,0.733623154467138
"Choosing or Rejecting (Shafir, 1993)",Shafir.1,Shafir.1,Z,170,170,85,85,,Z test,Z,-0.0342850953289549,,,-6.09503758325225,7901,3886,4015,7901,1.09411746329613e-09,0,0,-0.13732,-0.06849,1.28284,,5.47055845068201e-10,0.185648633027875,0.0787380914891012,0.313886220826547
"Priming Warmth (Zaval et al., 2014)",Zaval.3,Zaval.3,t,192,192,96,96,,Two Sample t-test,t,,2.47076023391813,2.50092936802974,-1.09292448445453,4204,2152,2052,4202,0.2744896098877,0.88638604142982,0.903227220588074,-0.03372,-0.01686,0.94067,,0.274516272457742,0.815532280197681,0.712005030360342,0.866458768356701
"Intentional Side-Effects (Knobe, 2003)",Knobe.1,Knobe.1,X2,78,78,39,39,,Welch Two Sample t-test,t,3.17450414364641,5.34025,2.16574585635359,78.1066885224225,7982,3982,4000,7843.86918358749,0,1.6876554128334,1.93556620698839,1.74849,0.65823,23.84113,,0,3.75730557777843e-11,0,6.43929354282591e-14
"Direction & Similarity (Tversky & Gati, 1978)",Gati.2,Gati.2,t.p,154,154,77,77,,One Sample t-test,t.p,0.0207433592048977,,,0.597275645419964,3549,3549,,3548,0.550361475702326,2.06898471064299,,0.42234,0.20661,2.15122,,0.994343926595202,0.972895093606211,0.982838488025979,0.952615290570718
