unique.id,study.id,study.slate,study.name,study.analysis,study.vars,study.vars.labels,study.cases.include,study.sites.include,study.global.include,study.primary.include,study.secondary.include,study.figure2.include,study.table1.include,study.table1.weird.split,stat.vars,stat.type,stat.test,stat.params,stat.ncp,stat.df,stat.p.value,orig.sample.nation,ori.sample.weird,ori.study.figure2.include,orig.stat.type,orig.test.alternative,orig.test.sample,orig.stat.df1,orig.stat.df2,orig.stat.n1,orig.stat.n2,orig.stat.N,orig.stat.estimate,orig.stat.estimate1,orig.stat.estimate2,orig.stat.ncp,orig.stat.ncp.ciL,orig.stat.ncp.ciU,orig.stat.p.value,orig.ES.d,orig.ES.d.ciL,orig.ES.d.ciU,orig.ES.r,orig.ES.r.ciL,orig.ES.r.ciU,orig.ES.cohensQ,orig.ES.cohensQ.ciL,orig.ES.cohensQ.ciU,comments,study.description,cohensQ
11,3,1,Alter,Alter.4,"list(Fluent=c('alt1.3','alt1.4','alt1.5','alt1.6','alt1.7','alt1.8'), DisFluent=c('alt2.3','alt2.4','alt2.5','alt2.6','alt2.7','alt2.8'))","list(Condition=c('Fluent','DisFluent'))","list(each=c('Condition','X > 0'))","list(c('Language==""English""&Setting==""In a lab"" '))",1,0,1,0,0,0,varfun.Alter.2,t,"t.test(x = DisFluent, y = Fluent, conf.level=stat.params$conf.level, var.equal = stat.params$var.equal, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=TRUE, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,US,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Incidental Disfluency (Alter et al., 2007)",
12,3,1,Alter,Alter.5,"list(Fluent=c('alt1.3','alt1.4','alt1.5','alt1.6','alt1.7','alt1.8'), DisFluent=c('alt2.3','alt2.4','alt2.5','alt2.6','alt2.7','alt2.8'))","list(Condition=c('Fluent','DisFluent'))","list(each=c('Condition','X > 0'))",list(c('all')),1,0,0,0,0,0,varfun.Alter.3,t,"t.test(x = DisFluent, y = Fluent, conf.level=stat.params$conf.level, var.equal = stat.params$var.equal, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=TRUE, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,US,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Incidental Disfluency (Alter et al., 2007)",
13,3,1,Alter,Alter.6,"list(Fluent=c('alt1.3','alt1.4','alt1.5','alt1.6','alt1.7','alt1.8'), DisFluent=c('alt2.3','alt2.4','alt2.5','alt2.6','alt2.7','alt2.8'))","list(Condition=c('Fluent','DisFluent'))","list(each=c('Condition','X > 0'))",list(c('all')),1,0,0,0,0,0,varfun.Alter.4,t,"t.test(x = DisFluent, y = Fluent, conf.level=stat.params$conf.level, var.equal = stat.params$var.equal, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=TRUE, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,US,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Incidental Disfluency (Alter et al., 2007)",
14,4,1,Graham,Graham.1,"list(Binding=c('grah1.8','grah1.9','grah1.10','grah1.11','grah1.12','grah1.13','grah1.14','grah1.15','grah1.16'),Politics=c('politics'))","list(Condition=c('Binding','Politics'),Politics=c('politics'))","list(sep=rbind(c('Condition','X > 0'), c('Politics','between(X,1,7)')))",list(c('all')),1,1,0,1,1,0,varfun.Graham.1,Z.f,"cor_test_fisherZ(r1=matrix(c(Binding,Politics),ncol=2), r2=NULL, n1=N[1], n2=NULL, conf.level=stat.params$conf.level, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=NA, censorNA=TRUE, alternative='two.sided',alpha=.05, within=TRUE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,"Various (mainly US, GB and Canada). ",1,1,t.r,two.sided,paired,1207,,1209,,1209,0.25,0.25,,8.97,6.98,10.96,,0.52,0.40,0.63,0.25,0.20,0.30,,,,,"Moral Foundations (Graham et al., 2009)",
15,4,1,Graham,Graham.2,"list(Individual=c('grah1.2','grah1.3','grah1.4','grah1.5','grah1.6','grah1.7'),Politics=c('politics'))","list(Condition=c('Individual','Politics'),Politics=c('politics'))","list(sep=rbind(c('Condition','X > 0'), c('Politics','between(X,1,7)')))",list(c('all')),1,0,1,0,0,0,varfun.Graham.2,Z.f,"cor_test_fisherZ(r1=matrix(c(Individual,Politics),ncol=2), r2=NULL, n1=N[1], n2=NULL, conf.level=stat.params$conf.level, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=NA, censorNA=TRUE, alternative='two.sided',alpha=.05, within=TRUE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,"Various (mainly US, GB and Canada). ",1,0,t.r,two.sided,paired,1207,,1209,,1209,-0.21,-0.21,,-7.46,-9.44,-5.48,,-0.43,-0.55,-0.31,-0.21,-0.26,-0.16,,,,,"Moral Foundations (Graham et al., 2009)",
16,5,1,Rottenstreich,Rottenstreich.1,"list(Low=c('rott2.1'), Certain=c('rott1.1'))","list(Condition=c('Low','Certain'), Response=c('MovieStar','Money'))","list(each=c('Condition','X > 0'))",list(c('all')),1,1,0,1,1,0,varfun.Rottenstreich.1,OR,"fisher.exact(Condition,Response)","list(conf.level=.95, var.equal=NA, censorNA=TRUE, alternative='greater',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,US,1,1,X2,NA,,1,,20,20,40,4.91,,,4.91,0.00,17.44,0.03,0.74,0.00,1.74,0.35,0.00,0.66,,,,Symmetric exact CI based on X2 failed for lower bounds ,"Affect & Risk (Rottenstreich & Hsee, 2001)",
17,6,1,Bauer,Bauer.1,"list(Consumer=c('bau1.1','baudv.4'), Individual=c('bau2.1','baudv.4'))","list(Condition=c('Consumer','Individual'), Trust=c('baudv.4','baudv.4'))","list(each=rbind(c('Condition','X > 0'),c('Trust', 'X < 8')))",list(c('all')),1,1,0,1,1,0,varfun.Bauer.1,t,"t.test(y = Consumer, x = Individual, conf.level=stat.params$conf.level, var.equal = stat.params$var.equal, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=TRUE, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,MTurk,1,1,t,two.sided,independent,76,,39,38,77,,,,3.86,1.79,5.90,0.00,0.87,0.41,1.34,0.40,0.20,0.56,,,,,"Priming Consumerism (Bauer et al., 2012)",
18,6,1,Bauer,Bauer.2,"list(Consumer=c('bau1.1','baudv.2'), Individual=c('bau2.1','baudv.2'))","list(Condition=c('Consumer','Individual'), Responsible=c('baudv.2','baudv.2'))","list(each=rbind(c('Condition','X > 0'),c('Responsible', 'X < 8')))",list(c('all')),1,0,1,0,0,0,varfun.Bauer.1,t,"t.test(y = Consumer, x = Individual, conf.level=stat.params$conf.level, var.equal = stat.params$var.equal, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=TRUE, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,MTurk,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Priming Consumerism (Bauer et al., 2012)",
19,6,1,Bauer,Bauer.3,"list(Consumer=c('bau1.1','baudv.3'), Individual=c('bau2.1','baudv.3'))","list(Condition=c('Consumer','Individual'), Obligation=c('baudv.3','baudv.3'))","list(each=rbind(c('Condition','X > 0'),c('Obligation', 'X < 8')))",list(c('all')),1,0,1,0,0,0,varfun.Bauer.1,t,"t.test(y = Consumer, x = Individual, conf.level=stat.params$conf.level, var.equal = stat.params$var.equal, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=TRUE, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,MTurk,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Priming Consumerism (Bauer et al., 2012)",
20,6,1,Bauer,Bauer.4,"list(Consumer=c('bau1.1','baudv.5'), Individual=c('bau2.1','baudv.5'))","list(Condition=c('Consumer','Individual'), Partner=c('baudv.5','baudv.5'))","list(each=rbind(c('Condition','X > 0'),c('Partner', 'X < 8')))",list(c('all')),1,0,1,0,0,0,varfun.Bauer.1,t,"t.test(y = Consumer, x = Individual, conf.level=stat.params$conf.level, var.equal = stat.params$var.equal, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=TRUE, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,MTurk,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Priming Consumerism (Bauer et al., 2012)",
21,6,1,Bauer,Bauer.5,"list(Consumer=c('bau1.1','baudv.6'), Individual=c('bau2.1','baudv.6'))","list(Condition=c('Consumer','Individual'), UseLess=c('baudv.6','baudv.6'))","list(each=rbind(c('Condition','X > 0'),c('UseLess', 'X < 8')))",list(c('all')),1,0,1,0,0,0,varfun.Bauer.1,t,"t.test(y = Consumer, x = Individual, conf.level=stat.params$conf.level, var.equal = stat.params$var.equal, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=TRUE, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,MTurk,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Priming Consumerism (Bauer et al., 2012)",
22,7,1,Miyamoto,Miyamoto.1,"list(CapitalCon=c('miya2.4','miya2.7'),CapitalPro=c('miya1.4','miya1.7'))","list(Condition=c('CapitalCon','CapitalPro'))","list(each=c('Condition','X > 0'))",list(c('all')),1,1,0,1,1,1,varfun.Miyamoto.1,lm.t,summary(lm(Attitude ~ Constraint + Condition)),"list(conf.level=.95, var.equal=NA, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)","stat.test$coefficients[3,'t value'] ",stat.test$df[2],"stat.test$coefficients[3,'Pr(>|t|)'] ",US,1,1,t,two.sided,independent,27,,14,15,29,,,,6.66,3.99,9.26,0.00,2.47,1.48,3.44,0.79,0.61,0.87,,,,,"Correspondence Bias (Miyamoto & Kitayama, 2002)",
23,7,1,Miyamoto,Miyamoto.2,"list(CapitalCon=c('miya2.5','miya2.7'),CapitalPro=c('miya1.5','miya1.7'))","list(Condition=c('CapitalCon','CapitalPro'))","list(each=c('Condition','X > 0'))",list(c('all')),1,0,1,0,0,0,varfun.Miyamoto.1,lm.t,summary(lm(Attitude ~ Constraint + Condition)),"list(conf.level=.95, var.equal=NA, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)","stat.test$coefficients[3,'t value'] ",stat.test$df[2],"stat.test$coefficients[3,'Pr(>|t|)'] ",US & Japan,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Correspondence Bias (Miyamoto & Kitayama, 2002)",
24,7,1,Miyamoto,Miyamoto.3,"list(CapitalCon=c('miya2.4','miya2.7','miya2.6'),CapitalPro=c('miya1.4','miya1.7','miya1.6'))","list(Condition=c('CapitalCon','CapitalPro'))","list(each=c('Condition','X > 0'))",list(c('all')),1,0,1,0,0,0,varfun.Miyamoto.2,lm.t,summary(lm(Attitude ~ Constraint + Moderator * Condition)),"list(conf.level=.95, var.equal=NA, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)","stat.test$coefficients[5,'t value'] ",stat.test$df[2],"stat.test$coefficients[5,'Pr(>|t|)'] ",Japan,0,1,t,two.sided,independent,23,,12,13,25,,,,1.84,-0.21,3.85,0.07,0.74,-0.08,1.54,0.36,-0.04,0.63,,,,the original effet size refer to japanese participants only,"Correspondence Bias (Miyamoto & Kitayama, 2002)",
25,7,1,Miyamoto,Miyamoto.4,"list(CapitalCon=c('miya2.4','miya2.7','miya2.8'),CapitalPro=c('miya1.4','miya1.7','miya1.8'))","list(Condition=c('CapitalCon','CapitalPro'))","list(each=c('Condition','X > 0'))",list(c('all')),1,0,1,0,0,0,varfun.Miyamoto.2,lm.t,summary(lm(Attitude ~ Constraint + Moderator * Condition)),"list(conf.level=.95, var.equal=NA, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)","stat.test$coefficients[5,'t value'] ",stat.test$df[2],"stat.test$coefficients[5,'Pr(>|t|)'] ",US & Japan,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Correspondence Bias (Miyamoto & Kitayama, 2002)",
26,8,1,Inbar,Inbar.1a,"list(SameKiss=c('inba1.3','disg1.11','disg1.12','disg2.10','disg2.12','disg2.13'), DiffKiss=c('inba2.3','disg1.11','disg1.12','disg2.10','disg2.12','disg2.13'))","list(Condition=c('SameKiss','DiffKiss'))","list(each=c('Condition','X > 0'))",list(c('all')),1,1,0,1,1,0,varfun.Inbar.1,Z.f,"cor_test_fisherZ(r1=r1,r2=r2,n1=N[1],n2=N[2], conf.level=stat.params$conf.level, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=NA, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,US,1,1,Z.f,two.sided,independent,21,21,22,22,44,,0.72,0.2,,,,0.03,,,,,,,0.70,0.05,1.36,,"Disgust & Homophobia (Inbar et al., 2009)",1
27,8,1,Inbar,Inbar.1b,"list(SameKiss=c('inba1.3','disg1.11','disg1.12','disg2.10','disg2.12','disg2.13'), DiffKiss=c('inba2.3','disg1.11','disg1.12','disg2.10','disg2.12','disg2.13'))","list(Condition=c('SameKiss','DiffKiss'))","list(each=c('Condition','X > 0'))",list(c('all')),1,0,1,0,0,0,varfun.Inbar.1,Z.f,"cor_test_fisherZ(r1=r1, r2=NULL, n1=N[1], n2=NULL, conf.level=stat.params$conf.level, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=NA, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,US,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Disgust & Homophobia (Inbar et al., 2009)",
28,8,1,Inbar,Inbar.1c,"list(SameKiss=c('inba1.3','disg1.11','disg1.12','disg2.10','disg2.12','disg2.13'), DiffKiss=c('inba2.3','disg1.11','disg1.12','disg2.10','disg2.12','disg2.13'))","list(Condition=c('SameKiss','DiffKiss'))","list(each=c('Condition','X > 0'))",list(c('all')),1,0,1,0,0,0,varfun.Inbar.1,Z.f,"cor_test_fisherZ(r1=r2, r2=NULL, n1=N[2], n2=NULL, conf.level=stat.params$conf.level, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=NA, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,US,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Disgust & Homophobia (Inbar et al., 2009)",
29,8,1,Inbar,Inbar.2a,"list(SameKiss=c('inba1.4','disg1.11','disg1.12','disg2.10','disg2.12','disg2.13'), DiffKiss=c('inba2.4','disg1.11','disg1.12','disg2.10','disg2.12','disg2.13'))","list(Condition=c('SameKiss','DiffKiss'))","list(each=c('Condition','X > 0'))",list(c('all')),1,0,1,0,0,0,varfun.Inbar.1,Z.f,"cor_test_fisherZ(r1=r1,r2=r2,n1=N[1],n2=N[2], conf.level=stat.params$conf.level, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=NA, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,US,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Disgust & Homophobia (Inbar et al., 2009)",1
30,8,1,Inbar,Inbar.2b,"list(SameKiss=c('inba1.4','disg1.11','disg1.12','disg2.10','disg2.12','disg2.13'), DiffKiss=c('inba2.4','disg1.11','disg1.12','disg2.10','disg2.12','disg2.13'))","list(Condition=c('SameKiss','DiffKiss'))","list(each=c('Condition','X > 0'))",list(c('all')),1,0,1,0,0,0,varfun.Inbar.1,Z.f,"cor_test_fisherZ(r1=r1, r2=NULL, n1=N[1], n2=NULL, conf.level=stat.params$conf.level, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=NA, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,US,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Disgust & Homophobia (Inbar et al., 2009)",
31,8,1,Inbar,Inbar.2c,"list(SameKiss=c('inba1.4','disg1.11','disg1.12','disg2.10','disg2.12','disg2.13'), DiffKiss=c('inba2.4','disg1.11','disg1.12','disg2.10','disg2.12','disg2.13'))","list(Condition=c('SameKiss','DiffKiss'))","list(each=c('Condition','X > 0'))",list(c('all')),1,0,1,0,0,0,varfun.Inbar.1,Z.f,"cor_test_fisherZ(r1=r2, r2=NULL, n1=N[2], n2=NULL, conf.level=stat.params$conf.level, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=NA, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,US,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Disgust & Homophobia (Inbar et al., 2009)",
32,8,1,Inbar,Inbar.3a,"list(SameKiss=c('inba1.5','disg1.11','disg1.12','disg2.10','disg2.12','disg2.13'), DiffKiss=c('inba2.5','disg1.11','disg1.12','disg2.10','disg2.12','disg2.13'))","list(Condition=c('SameKiss','DiffKiss'))","list(each=c('Condition','X > 0'))",list(c('all')),1,0,1,0,0,0,varfun.Inbar.1,Z.f,"cor_test_fisherZ(r1=r1,r2=r2,n1=N[1],n2=N[2], conf.level=stat.params$conf.level, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=NA, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,US,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Disgust & Homophobia (Inbar et al., 2009)",1
33,8,1,Inbar,Inbar.3b,"list(SameKiss=c('inba1.5','disg1.11','disg1.12','disg2.10','disg2.12','disg2.13'), DiffKiss=c('inba2.5','disg1.11','disg1.12','disg2.10','disg2.12','disg2.13'))","list(Condition=c('SameKiss','DiffKiss'))","list(each=c('Condition','X > 0'))",list(c('all')),1,0,1,0,0,0,varfun.Inbar.1,Z.f,"cor_test_fisherZ(r1=r1, r2=NULL, n1=N[1], n2=NULL, conf.level=stat.params$conf.level, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=NA, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,US,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Disgust & Homophobia (Inbar et al., 2009)",
