"","lab","r","n","ci.low","ci.high","other_lab_capture","meta_effect","meta_analysis_capture","same_size_replication_capture","same_size_replication_count","N","recruitment.methods","researcher","insitution","location","Country","USAorNot","CarnegieID","SIZESET2018","BASIC2018","IPUG2018","ENRPROFILE2018","SECTOR","OBEREG","LOCALE","HIS","MSI","ACTCAT"
"11","mercer",-0.0814968473959099,92,-0.28161356544122,0.125413963050265,0.606060606060606,0.0580142687673632,TRUE,0.704,500,92,"institution participant pool, email invitations","Tanya Sharon","Mercer University","GA, USA","USA","USA",140447,"Four-year, medium, primarily residential","Doctoral Universities: High Research Activity","Professions plus arts & sciences, some graduate coexistence","Majority undergraduate","Private not-for-profit, 4-year or above","Southeast AL AR FL GA KY LA MS NC SC TN VA WV","City Midsize","No","No","More selective"
"12","michiganstate",-0.0118114027772683,191,-0.153533275887143,0.130386596925265,0.515151515151515,0.0566241394552751,TRUE,0.738,500,192,"institution participant pool","William Chopik","Michigan State University","Michigan, USA","USA","USA",171100,"Four-year, large, primarily residential","Doctoral Universities: Very High Research Activity","Balanced arts & sciences/professions, high graduate coexistence","High undergraduate","Public, 4-year or above","Great Lakes IL IN MI OH WI","City Small","No","No","More selective"
"13","mountida",0.254404894816502,18,-0.241101813329765,0.644701206728477,0.939393939393939,0.0515616109343386,TRUE,0.858,500,18,"","Hayley M Skulborstad","Mount Ida College","MA, USA","USA","USA",166948,"Four-year, small, highly residential","Baccalaureate Colleges: Diverse Fields","Professions focus, some graduate coexistence","Very high undergraduate","Private not-for-profit, 4-year or above","New England CT ME MA NH RI VT","City Small","No","No","Inclusive"
"14","MtStMary",0.260954715473756,61,0.00977642243512553,0.481156807765103,0.515151515151515,0.0480134534725442,TRUE,0.672,500,61,"email invitations","Caitlin Faas","Mount St. Mary's University","MD, USA","USA","USA",163462,"Four-year, small, highly residential","Master's Colleges & Universities: Medium Programs","Balanced arts & sciences/professions, some graduate coexistence","High undergraduate","Private not-for-profit, 4-year or above","Mid East DE DC MD NJ NY PA","Town Fringe","No","No","Selective"
"15","none",0.0614343429070205,65,-0.185240368711752,0.300825943075294,0.848484848484849,0.0534245291495859,TRUE,0.94,500,66,"responded to open link, not directly recruited","unknown","various","various",NA,"NotUSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Norco",0.11908831596507,100,-0.0791819549703398,0.308295071908942,0.818181818181818,0.0513799736979947,TRUE,0.928,500,103,"","Laura Adams","Norco College","CA, USA","USA","USA",460464,"Two-year, medium","Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional","Associate's Colleges: High Transfer","Exclusively undergraduate two-year","Public, 2-year","Far West AK CA HI NV OR WA","Suburb Large","Yes","Yes","Inclusive"
"17","northwestnazarene",-0.0552477603384596,78,-0.274404893174191,0.169365226968436,0.666666666666667,0.0568184623463878,TRUE,0.808,500,79,"","Elizabeth List","Northwest Nazarene University","Idaho, USA","USA","USA",142461,"Four-year, small, highly residential","Master's Colleges & Universities: Larger Programs","Professions plus arts & sciences, some graduate coexistence","Majority undergraduate","Private not-for-profit, 4-year or above","Rocky Mountains CO ID MT UT WY","Suburb Midsize","No","No","Selective"
"18","OhioWesleyan",-0.0567337041201237,78,-0.275782705118024,0.167917003062124,0.666666666666667,0.0568624143878775,TRUE,0.784,500,78,"institution participant pool, email to department and psyc alumni","Vicki DiLillo","Ohio Wesleyan University","Delaware, OH","USA","USA",204909,"Four-year, small, highly residential","Baccalaureate Colleges: Arts & Sciences Focus","Arts & sciences plus professions, no graduate coexistence","Exclusively undergraduate four-year","Private not-for-profit, 4-year or above","Great Lakes IL IN MI OH WI","Suburb Large","No","No","Inclusive"
"19","OSUmansfield",0.25945088500744,41,-0.0523805873754885,0.525181266223295,0.636363636363636,0.049412979647967,TRUE,0.792,500,41,"email invitations","Amy Brunell","Ohio State University-Mansfield Campus","OH, USA","USA","USA",204680,"Four-year, very small, primarily nonresidential","Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's","Baccalaureate/Associates Colleges","Very high undergraduate","Public, 4-year or above","Great Lakes IL IN MI OH WI","Rural Fringe","No","No","Inclusive"
"20","paradise",0.231569651076145,136,0.0658017740517302,0.384898872170465,0.424242424242424,0.0460897493990368,FALSE,0.522,500,136,"institution participant pool","Julie Lazzara","Paradise Valley Community College","Phoenix, AZ USA","USA","USA",364016,"Two-year, medium","Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional","Associate's Colleges: High Transfer","Exclusively undergraduate two-year","Public, 2-year","Southwest AZ NM OK TX","City Large","No","No","Inclusive"
"21","plu",0.0732708285588227,178,-0.0746180256068739,0.218006067770556,0.606060606060606,0.0527554981524615,TRUE,0.944,500,178,"email invitations","Jon Grahe","Pacific Lutheran University","WA, USA","USA","USA",236230,"Four-year, small, highly residential","Master's Colleges & Universities: Medium Programs","Arts & sciences plus professions, some graduate coexistence","Very high undergraduate","Private not-for-profit, 4-year or above","Far West AK CA HI NV OR WA","Suburb Large","No","No","Selective"
"22","reed",-0.077845650750217,71,-0.305599189822425,0.158333689278228,0.696969696969697,0.0572668661704257,TRUE,0.742,500,71,"email invitations","Kathy Oleson","Reed College","Oregon, USA","USA","USA",209922,"Four-year, small, highly residential","Baccalaureate Colleges: Arts & Sciences Focus","Arts & sciences focus, no graduate coexistence","Very high undergraduate","Private not-for-profit, 4-year or above","Far West AK CA HI NV OR WA","City Large","No","No","More selective"
"23","riversidecc",0.141550133825745,113,-0.0443390916971021,0.317965623198626,0.636363636363636,0.0503848849611704,TRUE,0.904,500,113,"","Marc Wolpoff","Riverside City College","California, USA","USA","USA",121901,"Two-year, very large","Associate's Colleges: High Transfer-High Traditional","Associate's Colleges: High Transfer","Exclusively undergraduate two-year","Public, 2-year","Far West AK CA HI NV OR WA","City Large","Yes","Yes","Inclusive"
"24","samaug",-0.0542552575878724,129,-0.224999535176223,0.119721906965538,0.545454545454545,0.0578124450128827,TRUE,0.714,500,129,"institution participant pool","Dana C. Leighton","Southern Arkansas University Main Campus","Arkansas, USA","USA","USA",107983,"Four-year, medium, highly residential","Master's Colleges & Universities: Larger Programs","Professions plus arts & sciences, some graduate coexistence","High undergraduate","Public, 4-year or above","Southeast AL AR FL GA KY LA MS NC SC TN VA WV","Town Remote","No","No","Selective"
"25","snevada",0.133067673383683,95,-0.0703623718164303,0.325871186654181,0.787878787878788,0.0509652860272897,TRUE,0.906,500,96,"institution participant pool, email invitations","Danielle Richards","College of Southern Nevada","Las Vegas, NV","USA","USA",182005,"Four-year, large, primarily nonresidential","Baccalaureate/Associate's Colleges: Associate's Dominant","Baccalaureate/Associates Colleges","Exclusively undergraduate four-year","Public, 4-year or above","Far West AK CA HI NV OR WA","City Large","Yes","Yes","Inclusive"
"26","StGeorges",0.213569013942647,81,-0.00501421627525175,0.412674314059756,0.515151515151515,0.0485827062665354,TRUE,0.728,500,82,"","Barbara Landon","St. Georges University","True Blue, Grenada","Grenada","NotUSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","stmartin",0.241011778204287,73,0.0115869870688609,0.446330509022917,0.515151515151515,0.0480009281328204,TRUE,0.734,500,73,"","Robert Hauhart","Saint Martin's University","WA, USA","USA","USA",236452,"Four-year, small, highly residential","Master's Colleges & Universities: Medium Programs","Professions plus arts & sciences, some graduate coexistence","Very high undergraduate","Private not-for-profit, 4-year or above","Far West AK CA HI NV OR WA","Suburb Midsize","No","No","Selective"
"28","stockton",0.113261509234078,144,-0.0512641807826166,0.271801802226619,0.606060606060606,0.051177939586505,TRUE,0.908,500,144,"institution participant pool","Elizabeth Shobe","Stockton University","New Jersey","USA","USA",186876,"Four-year, medium, primarily residential","Master's Colleges & Universities: Larger Programs","Balanced arts & sciences/professions, some graduate coexistence","Very high undergraduate","Public, 4-year or above","Mid East DE DC MD NJ NY PA","Suburb Midsize","No","No","Selective"
"29","SUNYfredonia",-0.0829586134462839,169,-0.23102541069098,0.0688638270795094,0.484848484848485,0.0596878417627668,TRUE,0.456,500,169,"institution participant pool","Joseph McFall","SUNY at Fredonia","New York, USA","USA","USA",196158,"Four-year, medium, highly residential","Master's Colleges & Universities: Medium Programs","Balanced arts & sciences/professions, some graduate coexistence","Very high undergraduate","Public, 4-year or above","Mid East DE DC MD NJ NY PA","Town Distant","No","No","Selective"
"30","swansea",0.0397887017025818,184,-0.105479439645329,0.183394123228376,0.636363636363636,0.0542529335776371,TRUE,0.934,500,187,"","Adrew Kemp","Swansea University","England","England","NotUSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","tennknox",-0.0171586866737454,86,-0.228204370783012,0.195427110642584,0.666666666666667,0.0558252548012135,TRUE,0.858,500,86,"institution participant pool","Jerika Norona","The University of Tennessee-Knoxville","TN, USA","USA","USA",221759,"Four-year, large, primarily residential","Doctoral Universities: Very High Research Activity","Professions plus arts & sciences, high graduate coexistence","High undergraduate","Public, 4-year or above","Southeast AL AR FL GA KY LA MS NC SC TN VA WV","City Midsize","No","No","More selective"
"32","trinitycollege",-0.277284715793251,14,-0.704253348356275,0.296988155320626,0.939393939393939,0.0563628995694038,TRUE,0.734,500,14,"recruited spanish speaking respondents from local hispanic serving community organizations","debbie haris-obrien","Trinity College","Washington DC","USA","USA",130590,"Four-year, small, highly residential","Baccalaureate Colleges: Arts & Sciences Focus","Arts & sciences focus, some graduate coexistence","Very high undergraduate","Private not-for-profit, 4-year or above","New England CT ME MA NH RI VT","City Midsize","No","No","More selective"
"33","willamette",-0.059095355516405,127,-0.230932480353275,0.116316796464671,0.545454545454545,0.0579698225075088,TRUE,0.676,500,127,"","Erik Noftle","Willamette University","Willamette, OR","USA","USA",210401,"Four-year, small, highly residential","Baccalaureate Colleges: Arts & Sciences Focus","Arts & sciences focus, no graduate coexistence","High undergraduate","Private not-for-profit, 4-year or above","Far West AK CA HI NV OR WA","City Midsize","No","No","Inclusive"
