"","ResponseId","referrer","IDEA8_negativity","Stress","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"2669","R_3pbc87w1PIHYVAj","",3,3.1,"female",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"20-39,999","no","Caucasian","McDaniel","Completed 2 year degree","some college"
"2803","R_0BRR4WuOgQsX7Zr","",3,2.4,"male",NA,"liberal (2)","somewhat democrat (3)",NA,"under20,000","yes","Other race/ethincity","Indiana","Completed 4 year degree","some college"
"2804","R_30uz2LZr9cSBaHA","",4,2.8,"female",NA,"center (4)","somewhat democrat (3)",NA,"100-199,999","yes","Caucasian","","Completed 4 year degree","some college"
"2805","R_s83qscBROEGLD6p","",4,3.7,"female",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"40-59,999","yes","Caucasian","","Completed 4 year degree","some college"
"2806","R_Q68W4iyitSVOxq1","",3.5,2.1,"female",NA,"apolitical","conservative (6)",NA,"40-59,999","yes","Caucasian","","Completed 4 year degree","some college"
"2807","R_1HejK7J6PtwHNc5","",2,3,"female",NA,"center (4)","middle (4)",NA,"20-39,999","yes","Caucasian","","Completed 4 year degree","some college"
"2808","R_1re5uNvR8Cmvpto","",3,2.7,"female",NA,"somewhat liberal (3)","democrat (2)",NA,"under20,000","yes","Other race/ethincity","","Completed 4 year degree","some college"
"2809","R_3rOftQIMTajEheL","",4,4.1,"male",NA,"somewhat liberal (3)","middle (4)",NA,"40-59,999","yes","Caucasian","","Completed 4 year degree","some college"
"2810","R_1Fh9c0RHPNan3VY","",4,3.3,"male",NA,"liberal (2)","somewhat democrat (3)",NA,"20-39,999","yes","Caucasian","","Completed 4 year degree","some college"
"2811","R_3oKKDwlr32EpfE6","",4,2.9,"female",NA,"apolitical","independent",NA,"20-39,999","yes","Caucasian","","Completed 4 year degree","some college"
"2812","R_2xWySWycXfxMLTj","",4,3.4,"female",NA,"apolitical","independent",NA,"not say","yes","Caucasian","","Completed 4 year degree","some college"
"2813","R_1pGUWLGVawOxHUJ","",3.5,1.8,"male",NA,"strongly liberal (1)","strongly conservative (7)",NA,"60-79,999","yes","Caucasian","","Completed 4 year degree","some college"
"2853","R_1gtqnTOd8h8RCMG","",3.5,2.2,"male",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"40-59,999","yes","Other race/ethincity","McDaniel","Completed 4 year degree","some college"
"2940","R_3gYmhtC4EdtD8Yz","",3,2.3,"female",NA,"liberal (2)","democrat (2)",NA,"40-59,999","yes","Caucasian","","Graduate Education",NA
"2941","R_29cA8MrCnsDzs7G","",3,3.3,"female",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"80-99,999","yes","Caucasian","","Graduate Education",NA
"2942","R_5AReMDX307CEki9","",4,3.6,"female",NA,"liberal (2)","strongly democrat (1)",NA,"under20,000","yes","Caucasian","Illinois","Graduate Education",NA
"2943","R_3Ge748SlAaui82Y","",4,2.6,"female",NA,"liberal (2)","democrat (2)",NA,"20-39,999","yes","Caucasian","Loyola-MD","Graduate Education",NA
"2944","R_PvuHAg8HK0C0MG5","",3.5,3.2,"female",NA,"center (4)","democrat (2)",NA,"40-59,999","yes","Caucasian","","Graduate Education",NA
"2945","R_vdgvyY8llNSDDEZ","",4,2.6,"female",NA,"strongly liberal (1)","strongly democrat (1)",NA,"not say","yes","Caucasian","","Graduate Education",NA
"2946","R_2UawiHHao41RGQn","",4,3.1,"female",NA,"liberal (2)","strongly democrat (1)",NA,"60-79,999","yes","Caucasian","UofMiami","Graduate Education",NA
"2947","R_3L73ERHXVTjkSB9","",3,2.4,"female",NA,"liberal (2)","democrat (2)",NA,"60-79,999","yes","Caucasian","","Graduate Education",NA
"2948","R_3PFGleZRa3xtZsC","",4,3,"female",NA,"liberal (2)","somewhat democrat (3)",NA,"20-39,999","yes","Other race/ethincity","UofMiami","Graduate Education",NA
"2949","R_1jNChEwStapm2fw","",4,3.5,"female",NA,"liberal (2)","democrat (2)",NA,"under20,000","yes","Caucasian","UofMiami","Graduate Education",NA
