"","ResponseId","referrer","IDEA8_negativity","Stress","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"2522","R_CltMG5cz07Um7rX","willamette",4,3.7,"female",18,"liberal (2)","democrat (2)",NA,"100-199,999","yes",NA,"Willamette","Currently In College","some college"
"2523","R_3nNtjJKjvMHDlus","willamette",4,3.2,"female",18,"liberal (2)","democrat (2)",NA,"200-999,999","yes","Other race/ethincity","Willamette","Currently In College","some college"
"2524","R_XTCu6Anhjie1wJj","willamette",4,2.7,"female",19,"liberal (2)","strongly democrat (1)",NA,"20-39,999","yes","Other race/ethincity","Willamette","Currently In College","some college"
"2525","R_2e9d0OXUNRbhmMf","willamette",4,3,"female",19,"strongly liberal (1)","strongly democrat (1)",NA,"40-59,999","yes","Caucasian","Willamette","Currently In College","some college"
"2526","R_urnzs4hgmaq3fu9","willamette",3.5,2.8,"male",20,"liberal (2)","democrat (2)",NA,"not say","yes",NA,"Willamette","Currently In College","some college"
"2527","R_2X6W5mk7zZ7HnJU","willamette",4,2.9,"male",21,"apolitical","independent",NA,"not say","yes","Caucasian","Willamette","Currently In College","some college"
"2528","R_238fREDLPhVowSO","willamette",4,3.6,"female",19,"liberal (2)","strongly democrat (1)",NA,"100-199,999","yes",NA,"Willamette","Currently In College","some college"
"2529","R_1kHnMlZb4A9Z8Ot","willamette",2.5,2.2,"male",20,"center (4)","somewhat democrat (3)",NA,"200-999,999","yes",NA,"Willamette","Currently In College","some college"
"2530","R_3D5z3rgScl2BaBf","willamette",4,3.1,"male",22,"somewhat liberal (3)","democrat (2)",NA,"not say","yes","Other race/ethincity","Willamette","Currently In College","some college"
"2531","R_302HNVEcGR4cYyt","willamette",2.5,2.1,"male",18,"somewhat liberal (3)","somewhat democrat (3)",NA,"100-199,999","yes","Caucasian","Willamette","Currently In College","some college"
"2532","R_AN9fVjuvDUAFWWB","willamette",3.5,3.3,"female",18,"somewhat liberal (3)","democrat (2)",NA,"80-99,999","yes","Other race/ethincity","Willamette","Currently In College","some college"
"2533","R_1pGScDM332rPPFu","willamette",3,3.3,"female",18,"somewhat liberal (3)","independent",NA,"200-999,999","yes","Other race/ethincity","Willamette","Currently In College","some college"
"2534","R_1rfajKtE8pJqw6Z","willamette",3,2.8,"female",18,"strongly liberal (1)","democrat (2)",NA,"60-79,999","yes","Caucasian","Willamette","Currently In College","some college"
"2535","R_3me3semRSRK14z5","willamette",2.5,2.6,"female",18,"liberal (2)","democrat (2)",NA,"80-99,999","yes","Caucasian","Willamette","Currently In College","some college"
"2536","R_2f73jAiUH5Rl7Ld","willamette",4,3.4,"male",20,"apolitical","independent",NA,"40-59,999","yes","Other race/ethincity","Willamette","Currently In College","some college"
"2537","R_3Jtq3PLFQqhEETw","willamette",4,3.5,"female",18,"liberal (2)","strongly democrat (1)",NA,"20-39,999","yes",NA,"Willamette","Currently In College","some college"
"2538","R_1Q3eB09fBBbUb33","willamette",4,2.8,"male",18,"liberal (2)","democrat (2)",NA,"20-39,999","yes","Caucasian","Willamette","Currently In College","some college"
"2539","R_1gNoV3Obt2jMdun","willamette",4,3.5,"female",18,"liberal (2)","strongly democrat (1)",NA,"40-59,999","yes",NA,"Willamette","Currently In College","some college"
"2540","R_3paKndCDEsqxeue","willamette",3.5,3.2,"female",18,"strongly liberal (1)","independent",NA,"200-999,999","yes",NA,"Willamette","Currently In College","some college"
"2541","R_2tnDnTsHraa9SWn","willamette",3,2.7,"female",19,"somewhat liberal (3)","somewhat democrat (3)",NA,"60-79,999","yes","Other race/ethincity","Willamette","Currently In College","some college"
"2542","R_2z7Uueb4CKRZLs2","willamette",3,2.8,"male",22,"conservative (6)","somewhat conservative (5)",NA,"under20,000","yes","Caucasian","Willamette","Currently In College","some college"
"2543","R_10qEDsOS2lof6ZX","willamette",3,3.6,"female",18,"conservative (6)","conservative (6)",NA,"40-59,999","yes","Caucasian","Willamette","Currently In College","some college"
"2544","R_1CygJEsM94OqSPG","willamette",3.5,2.1,"female",18,"liberal (2)","strongly democrat (1)",NA,"100-199,999","yes","Other race/ethincity","Willamette","Currently In College","some college"
"2545","R_2ahTaJPYH2wVna5","willamette",3.5,3,"male",18,"strongly liberal (1)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","Willamette","Currently In College","some college"
"2546","R_3Rt5oP2FIagcRYE","willamette",4,2.3,"female",21,"strongly liberal (1)","strongly democrat (1)",NA,"80-99,999","yes","Caucasian","Willamette","Currently In College","some college"
"2547","R_C3aAHU5Xv1ytnvr","willamette",3.5,2.6,"female",19,"somewhat liberal (3)","democrat (2)",NA,"not say","yes","Other race/ethincity","Willamette","Currently In College","some college"
"2548","R_1is0wGrqEBlU4Nr","willamette",4,3.8,"female",18,"liberal (2)","somewhat democrat (3)",NA,"100-199,999","yes","Caucasian","Willamette","Currently In College","some college"
"2549","R_sTrLUHjZowmvUDn","willamette",3,2.9,"female",19,"liberal (2)","strongly democrat (1)",NA,"200-999,999","yes","Caucasian","Willamette","Currently In College","some college"
"2550","R_1irLHr6ZXR1jjon","willamette",3.5,2.9,"female",21,"somewhat liberal (3)","somewhat democrat (3)",NA,"40-59,999","yes",NA,"Willamette","Currently In College","some college"
"2551","R_1QbGX3qAXNFrYJt","willamette",3.5,3.6,"female",18,"liberal (2)","democrat (2)",NA,"not say","yes","Caucasian","Willamette","Currently In College","some college"
"2552","R_3I4gy7N6EBahwio","willamette",4,3.8,"female",18,"strongly liberal (1)","strongly democrat (1)",NA,"100-199,999","yes","Caucasian","Willamette","Currently In College","some college"
"2553","R_3ika2xag9wM9sMX","willamette",3.5,2.9,"female",18,"liberal (2)","democrat (2)",NA,"not say","yes",NA,"Willamette","Currently In College","some college"
"2554","R_2bWptFcIaRkU70G","willamette",4,3.8,"female",19,"liberal (2)","democrat (2)",NA,"100-199,999","yes","Caucasian","Willamette","Currently In College","some college"
"2555","R_5vU7MFqWlgzC0tb","willamette",3,2.5,"other",18,"liberal (2)","somewhat democrat (3)",NA,"not say","yes",NA,"Willamette","Currently In College","some college"
"2556","R_yR612aOKU7sQFih","willamette",3.5,3.6,"female",18,"liberal (2)","strongly democrat (1)",NA,"not say","yes","Caucasian","Willamette","Currently In College","some college"
"2557","R_1Kl5OeixT5fDDY1","willamette",4,3.3,"female",20,"liberal (2)","strongly democrat (1)",NA,"20-39,999","yes","Caucasian","Willamette","Currently In College","some college"
"2558","R_1LdOqV8VX4aM9bW","willamette",3,2.4,"female",21,"somewhat conservative (5)","somewhat conservative (5)",NA,"80-99,999","yes","Caucasian","Willamette","Currently In College","some college"
"2559","R_3h3AXVbbsAie76s","willamette",3.5,3.1,"female",20,"strongly liberal (1)","strongly democrat (1)",NA,"100-199,999","yes","Caucasian","Willamette","Currently In College","some college"
"2560","R_bNt2IeUGEETQSsl","willamette",3,2.4,"female",19,"liberal (2)","democrat (2)",NA,"not say","yes","Caucasian","Willamette","Currently In College","some college"
"2561","R_2wQPs8xRFFxp0Py","willamette",4,3,"female",20,"liberal (2)","democrat (2)",NA,"under20,000","yes","Other race/ethincity","Willamette","Currently In College","some college"
"2562","R_XzSvdxyrgLSdpXb","willamette",4,2.8,"male",21,"center (4)","somewhat conservative (5)",NA,"under20,000","yes",NA,"Willamette","Currently In College","some college"
"2563","R_2q7RqQXKGRbBgFN","willamette",4,2.9,"female",18,"conservative (6)","strongly conservative (7)",NA,"not say","yes","Caucasian","Willamette","Currently In College","some college"
"2564","R_qQM1lOFfovCkijf","willamette",4,4.5,"female",18,"liberal (2)","strongly democrat (1)",NA,"200-999,999","yes","Caucasian","Willamette","Currently In College","some college"
"2565","R_3NPzqXTdHIjd9LA","willamette",3.5,3.2,"female",19,"center (4)","middle (4)",NA,"not say","yes","Caucasian","Willamette","Currently In College","some college"
"2566","R_1QotLhnUHXyv76P","willamette",4,3.6,"female",18,"center (4)","somewhat conservative (5)",NA,"80-99,999","yes","Caucasian","Willamette","Currently In College","some college"
"2567","R_3iRssyW1XrPo3hI","willamette",4,2.8,"female",18,"liberal (2)","democrat (2)",NA,"200-999,999","yes","Caucasian","Willamette","Currently In College","some college"
"2568","R_8dg9hDWaZuSKc6Z","willamette",3,3.5,"male",18,"center (4)","democrat (2)",NA,"100-199,999","yes","Caucasian","Willamette","Currently In College","some college"
"2569","R_2xIQbvCFSaCjptn","willamette",3,2.7,"female",21,"strongly liberal (1)","strongly democrat (1)",NA,"20-39,999","yes","Caucasian","Willamette","Currently In College","some college"
"2570","R_28A7h50ZJILaLTY","willamette",3.5,2.7,"female",20,"strongly liberal (1)","strongly democrat (1)",NA,"not say","yes","Caucasian","Willamette","Currently In College","some college"
"2571","R_2RWaAN0OJ5LAMWE","willamette",2.5,2.2,"female",19,"conservative (6)","somewhat conservative (5)",NA,"100-199,999","yes","Caucasian","Willamette","Currently In College","some college"
"2572","R_3lyPT75FBNWR7Fc","willamette",4,3.3,"female",19,"liberal (2)","democrat (2)",NA,"80-99,999","yes","Caucasian","Willamette","Currently In College","some college"
"2573","R_1JCu1lU6l9tU14M","willamette",3,4.2,"female",19,"apolitical","independent",NA,"not say","yes","Other race/ethincity","Willamette","Currently In College","some college"
"2574","R_2YAkbZbmpi5SF3s","willamette",4,2.7,"female",19,"strongly liberal (1)","strongly democrat (1)",NA,"not say","yes","Caucasian","Willamette","Currently In College","some college"
"2575","R_1AAIjIxYsrkDKF3","willamette",3,3,"male",18,"center (4)","independent",NA,"60-79,999","yes",NA,"Willamette","Currently In College","some college"
"2576","R_1LYyPyigdlWD5bX","willamette",3.5,3.7,"female",18,"apolitical","independent",NA,"not say","yes","Other race/ethincity","Willamette","Currently In College","some college"
"2577","R_1hMeUyKTmnfeNJG","willamette",4,2.7,"female",20,"strongly liberal (1)","strongly democrat (1)",NA,"100-199,999","yes","Caucasian","Willamette","Currently In College","some college"
"2578","R_1Ov3GdSMSwSisk6","willamette",4,3.2,"female",18,"liberal (2)","somewhat democrat (3)",NA,"20-39,999","yes","Caucasian","Willamette","Currently In College","some college"
"2579","R_3OrKk6syeLIcN3w","willamette",4,3.5,"male",22,"conservative (6)","strongly conservative (7)",NA,"under20,000","yes","Caucasian","Willamette","Currently In College","some college"
"2580","R_1gOvMzi4DgeqVGg","willamette",4,3.9,"female",20,"liberal (2)","democrat (2)",NA,"100-199,999","yes","Caucasian","Willamette","Currently In College","some college"
"2581","R_3EgsEgmCKNtDkL4","willamette",4,2.8,"female",19,"liberal (2)","somewhat democrat (3)",NA,"40-59,999","yes","Other race/ethincity","Willamette","Currently In College","some college"
"2582","R_3FKlcc677W1kccm","willamette",4,3.3,"male",18,"center (4)","democrat (2)",NA,"not say","yes","Other race/ethincity","Willamette","Currently In College","some college"
"2583","R_1nT20uKMv9excnO","willamette",4,3.1,"female",18,"liberal (2)","strongly democrat (1)",NA,"not say","yes",NA,"Willamette","Currently In College","some college"
"2584","R_3HTffKLS3Hx0BRT","willamette",3.5,2.7,"male",18,"somewhat liberal (3)","democrat (2)",NA,"not say","yes","Caucasian","Willamette","Currently In College","some college"
"2585","R_1IQNRi9zmn9PWNa","willamette",4,4.3,"female",19,"center (4)","somewhat conservative (5)",NA,"200-999,999","yes",NA,"Willamette","Currently In College","some college"
"2586","R_08MSceiScQuWWMV","willamette",3.5,1.9,"male",19,"conservative (6)","strongly conservative (7)",NA,"not say","yes","Caucasian","Willamette","Currently In College","some college"
"2587","R_2wMsmslAQa5DCDU","willamette",4,2.7,"female",18,"liberal (2)","democrat (2)",NA,"not say","yes","Other race/ethincity","Willamette","Currently In College","some college"
"2588","R_p6Q9uZiXAnNjzI5","willamette",4,3.6,"female",19,"strongly liberal (1)","somewhat democrat (3)",NA,"40-59,999","yes","Other race/ethincity","Willamette","Currently In College","some college"
"2589","R_vvJoqvaCodMk8yR","willamette",4,3.3,"male",21,"strongly liberal (1)","strongly democrat (1)",NA,"80-99,999","yes",NA,"Willamette","Currently In College","some college"
"2590","R_Ui5EEg1cOrONd1D","willamette",4,2.8,"female",18,"center (4)","somewhat democrat (3)",NA,"40-59,999","yes","Caucasian","Willamette","Currently In College","some college"
"2591","R_1DRRPakJVtTAalx","willamette",4,2.7,"female",19,"liberal (2)","democrat (2)",NA,"not say","yes","Caucasian","Willamette","Currently In College","some college"
"2592","R_2CdAmoD9siNV0Q2","willamette",4,4,"male",18,"center (4)","somewhat conservative (5)",NA,"80-99,999","yes","Caucasian","Willamette","Currently In College","some college"
"2593","R_1M6TwmUq5Gh8m1L","willamette",3.5,3.8,"female",19,"somewhat liberal (3)","democrat (2)",NA,"60-79,999","yes","Caucasian","Willamette","Currently In College","some college"
"2594","R_6tG6fV3uWx7ZooV","willamette",3.5,3.1,"female",18,"liberal (2)","democrat (2)",NA,"100-199,999","yes","Caucasian","Willamette","Currently In College","some college"
"2595","R_2DZYJGyDSzDOJzG","willamette",4,4,"male",18,"liberal (2)","democrat (2)",NA,"not say","yes","Caucasian","Willamette","Currently In College","some college"
"2596","R_1kSmDZ4E6NFC3V4","willamette",4,3.2,"female",19,"liberal (2)","democrat (2)",NA,"not say","yes",NA,"Willamette","Currently In College","some college"
"2597","R_30oQJGRQbZSa7wT","willamette",4,2.9,"female",20,"somewhat liberal (3)","independent",NA,"under20,000","no","Other race/ethincity","Willamette","Currently In College","some college"
"2598","R_x0fEkXigXSx3YPf","willamette",4,3.6,"female",18,"center (4)","somewhat conservative (5)",NA,"200-999,999","yes","Other race/ethincity","Willamette","Currently In College","some college"
"2599","R_zeQs23FAQQ9Cy3L","willamette",4,2.6,"female",18,"somewhat conservative (5)","somewhat conservative (5)",NA,"not say","yes","Caucasian","Willamette","Currently In College","some college"
"2600","R_1KpPiBKu0IpgjyX","willamette",3,3.5,"female",19,"center (4)","independent",NA,"not say","yes","Caucasian","Willamette","Currently In College","some college"
"2601","R_2ZELAbu8kiCxOHX","willamette",4,3.6,"female",18,"somewhat liberal (3)","democrat (2)",NA,"200-999,999","yes","Caucasian","Willamette","Currently In College","some college"
"2602","R_2QRMHiixCUD83Rg","willamette",3.5,2.3,"male",21,"somewhat liberal (3)","democrat (2)",NA,"40-59,999","yes","Other race/ethincity","Willamette","Currently In College","some college"
"2603","R_3ksTyLfExPqpdx6","willamette",3,2.9,"male",18,"liberal (2)","strongly democrat (1)",NA,"under20,000","yes",NA,"Willamette","Currently In College","some college"
"2604","R_O3Upun7jahl8As9","willamette",4,2.6,"male",19,"liberal (2)","democrat (2)",NA,"100-199,999","yes",NA,"Willamette","Currently In College","some college"
"2605","R_3LiMYvJaqcARmFr","willamette",3.5,3,"male",19,"liberal (2)","democrat (2)",NA,"80-99,999","yes","Caucasian","Willamette","Currently In College","some college"
"2606","R_1iscfjtg5irAy1T","willamette",4,3.5,"female",19,"liberal (2)","somewhat democrat (3)",NA,"40-59,999","yes",NA,"Willamette","Currently In College","some college"
"2607","R_8AL5BQ21Vko9ONP","willamette",3,2.8,"male",18,"apolitical","independent",NA,"not say","yes","Caucasian","Willamette","Currently In College","some college"
"2608","R_3gLdRrBN0TAThTO","willamette",3,3.6,"female",18,"liberal (2)","strongly democrat (1)",NA,"100-199,999","yes","Caucasian","Willamette","Currently In College","some college"
"2609","R_27EEQdi5ndrtgzN","willamette",4,3.7,"male",20,"center (4)","middle (4)",NA,"under20,000","yes",NA,"Willamette","Currently In College","some college"
"2610","R_rjcsRdDkFU5LcoV","willamette",3,2.5,"male",18,"center (4)","democrat (2)",NA,"60-79,999","yes","Caucasian","Willamette","Currently In College","some college"
"2611","R_10HtfDDQWAF0TUu","willamette",4,2.8,"female",18,"liberal (2)","democrat (2)",NA,"80-99,999","yes",NA,"Willamette","Currently In College","some college"
"2612","R_3qDm8Jolu0UpP5C","willamette",4,2.9,"male",19,"liberal (2)","strongly democrat (1)",NA,"not say","yes","Caucasian","Willamette","Currently In College","some college"
"2613","R_4Uy4XvElGsECj5P","willamette",4,3.2,"other",18,"strongly liberal (1)","strongly democrat (1)",NA,"not say","yes","Caucasian","Willamette","Currently In College","some college"
"2614","R_21pvqXgw7WDXQqU","willamette",3.5,2.7,"male",21,"apolitical","independent","yes","not say","yes","Other race/ethincity","Willamette","Currently In College","some college"
"2615","R_2tiesUGhdHaoUDZ","willamette",3.5,2.8,"female",19,"somewhat conservative (5)","conservative (6)",NA,"40-59,999","yes","Caucasian","Willamette","Currently In College","some college"
"2616","R_3Hn6tCObnESlYVW","willamette",4,3.6,"female",18,"somewhat liberal (3)","somewhat democrat (3)",NA,"not say","yes",NA,"Willamette","Currently In College","some college"
"2617","R_2tb6i1kKhPYpdHM","willamette",3.5,3.5,"male",18,"center (4)","middle (4)",NA,"40-59,999","yes","Caucasian","Willamette","Currently In College","some college"
"2618","R_1pL1dbiLgEw5KOM","willamette",3,2.3,"female",18,"center (4)","middle (4)",NA,"not say","yes","Other race/ethincity","Willamette","Currently In College","some college"
"2619","R_WkbXsjnNFOBmO5P","willamette",4,3.2,"male",18,"center (4)","middle (4)",NA,"not say","yes","Caucasian","Willamette","Currently In College","some college"
"2620","R_33rmjLoeWpYkkfr","willamette",4,3.3,"female",18,"liberal (2)","democrat (2)",NA,"100-199,999","yes","Caucasian","Willamette","Currently In College","some college"
"2621","R_3OfxEtP9szChj3j","willamette",4,3.7,"male",18,"somewhat liberal (3)","democrat (2)",NA,"100-199,999","yes","Other race/ethincity","Willamette","Currently In College","some college"
"2622","R_2oyrfkYPI37VtW9","willamette",3.5,2.9,"male",19,"somewhat liberal (3)","somewhat democrat (3)",NA,"not say","yes","Other race/ethincity","Willamette","Currently In College","some college"
"2623","R_qUactYBgQwMbYUF","willamette",4,3.5,"male",20,"center (4)","somewhat democrat (3)",NA,"100-199,999","yes","Other race/ethincity","Willamette","Currently In College","some college"
"2802","R_4TOLTdvemU5EKoV","willamette",3,3,"male",20,"somewhat liberal (3)","somewhat democrat (3)",NA,"60-79,999","yes",NA,"Willamette","Completed 2 year degree","some college"
"3133","R_2B4juFQQHXzLoDM","willamette",4,3,"female",19,"liberal (2)","democrat (2)",NA,"100-199,999","yes","Caucasian","Willamette","Graduate Education",NA
"3134","R_1FEBtEAKnHsa9GP","willamette",3,3.1,"female",18,"strongly conservative (7)","strongly conservative (7)",NA,"100-199,999","yes","Other race/ethincity","Willamette","Graduate Education",NA
