"","ResponseId","referrer","IDEA8_between","Stress","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"186","R_1lnrXaqZtH0FNyu","adamsstate",3.5,1.7,"male",NA,"center (4)","middle (4)",NA,"not say","yes","Caucasian","AdamState","Currently In College","some college"
"187","R_3s7G4EoZYlytnqI","adamsstate",3,1.8,"female",NA,"strongly liberal (1)","somewhat democrat (3)",NA,"20-39,999","yes",NA,"AdamState","Currently In College","some college"
"188","R_2wiXfn81WjN9CCA","adamsstate",3.5,2.3,"male",NA,"somewhat liberal (3)","democrat (2)",NA,"not say","yes","Caucasian","AdamState","Currently In College","some college"
"189","R_2t8TVzgbfitGYuf","adamsstate",3.5,3,"female",NA,"somewhat conservative (5)","somewhat conservative (5)",NA,"20-39,999","yes","Caucasian","AdamState","Currently In College","some college"
"190","R_2vhWwi8omEHJoQb","adamsstate",2.5,2.7,"male",NA,"center (4)","somewhat democrat (3)",NA,"under20,000","yes","Other race/ethincity","AdamState","Currently In College","some college"
"191","R_1kZUJAgZ9Er8Ymt","adamsstate",3.5,2.6,"female",NA,"apolitical","middle (4)",NA,"not say","yes",NA,"AdamState","Currently In College","some college"
"192","R_25AvT73POzTQTHl","adamsstate",3.5,2.7,"male",NA,"apolitical","somewhat democrat (3)",NA,"40-59,999","yes","Other race/ethincity","AdamState","Currently In College","some college"
"193","R_1MSaNdq2vhUYlfO","adamsstate",3,2.7,"female",NA,"apolitical","independent",NA,"not say","yes",NA,"AdamState","Currently In College","some college"
"194","R_e9zWTIyNHJivzoJ","adamsstate",4,3,"female",NA,"apolitical","independent",NA,"under20,000","yes","Caucasian","AdamState","Currently In College","some college"
"195","R_3QSGwZzi7Zdfudg","adamsstate",3.5,3.3,"female",NA,"somewhat conservative (5)","somewhat conservative (5)",NA,"under20,000","yes",NA,"AdamState","Currently In College","some college"
"196","R_22XORUYiZOT7ZLc","adamsstate",4,3.5,"female",NA,"liberal (2)","democrat (2)",NA,"40-59,999","yes","Caucasian","AdamState","Currently In College","some college"
"197","R_2fuPn9UrBY6Ch2E","adamsstate",3.5,3,"female",NA,"somewhat liberal (3)","middle (4)",NA,"under20,000","yes","Caucasian","AdamState","Currently In College","some college"
"198","R_2YiatLaan4m5S1J","adamsstate",4,2.3,"female",NA,"liberal (2)","middle (4)",NA,"20-39,999","yes","Caucasian","AdamState","Currently In College","some college"
"199","R_2OIw0zLCY1sFAj7","adamsstate",1.5,2.8,"male",NA,"conservative (6)","somewhat conservative (5)",NA,"not say","yes","Caucasian","AdamState","Currently In College","some college"
"200","R_W8xMpW2yYzwS45r","adamsstate",3,2.8,"female",NA,"apolitical","independent",NA,"not say","yes","Other race/ethincity","AdamState","Currently In College","some college"
"201","R_3NKVQuq6rQcJCoK","adamsstate",4,3.8,"female",NA,"center (4)","somewhat democrat (3)",NA,"under20,000","yes",NA,"AdamState","Currently In College","some college"
"202","R_1exZrxCtJfE2tGl","adamsstate",4,1.7,"female",NA,"somewhat conservative (5)","somewhat conservative (5)",NA,"40-59,999","yes",NA,"AdamState","Currently In College","some college"
"203","R_33a8cgHtdI7GgsF","adamsstate",3,3.8,"female",NA,"center (4)","strongly democrat (1)",NA,"20-39,999","yes","Other race/ethincity","AdamState","Currently In College","some college"
"204","R_2CHWY9cgsktyVYf","adamsstate",1,1.6,"female",NA,"liberal (2)","somewhat conservative (5)","yes","under20,000","yes","Caucasian","AdamState","Currently In College","some college"
"205","R_2477ZFX3l2ZFpkI","adamsstate",3.5,3.5,"female",NA,"apolitical","independent",NA,"under20,000","yes","Other race/ethincity","AdamState","Currently In College","some college"
"206","R_2sYD9YJyJKduYqm","adamsstate",4,2.6,"female",NA,"center (4)","middle (4)",NA,"not say","yes","Caucasian","AdamState","Currently In College","some college"
"207","R_2fkOEEsQ19YdR8b","adamsstate",3.5,3.3,"female",NA,"center (4)","middle (4)",NA,"100-199,999","yes",NA,"AdamState","Currently In College","some college"
"208","R_vce5QHcFKQLqDtf","adamsstate",3,2.8,"male",NA,"conservative (6)","conservative (6)",NA,"200-999,999","yes","Caucasian","AdamState","Currently In College","some college"
"209","R_ZrApYB5flld5sBz","adamsstate",4,2.4,"female",NA,"center (4)","somewhat democrat (3)",NA,"under20,000","yes",NA,"AdamState","Currently In College","some college"
"210","R_2zOQQ34iRF3gYf6","adamsstate",4,4,"female",NA,"center (4)","democrat (2)","yes","100-199,999","yes",NA,"AdamState","Currently In College","some college"
"211","R_1gSHYUR3KfuMuPe","adamsstate",3.5,3,"female",NA,"center (4)","somewhat conservative (5)",NA,"under20,000","yes","Caucasian","AdamState","Currently In College","some college"
"212","R_sKXTaQN8ofK5Vzr","adamsstate",4,2.7,"female",NA,"apolitical","independent",NA,"not say","yes",NA,"","Currently In College","some college"
"213","R_2ffFqNzeEMToxHk","adamsstate",3.5,3.5,"female",NA,"apolitical","middle (4)",NA,"20-39,999","yes","Caucasian","","Currently In College","some college"
"214","R_WpaxxZp37UO9I2d","adamsstate",3.5,3,"female",NA,"liberal (2)","democrat (2)",NA,"20-39,999","yes",NA,"AdamState","Currently In College","some college"
"215","R_ezCEBm4mWp6uiqh","adamsstate",4,3.2,"female",NA,"center (4)","somewhat conservative (5)",NA,"not say","yes","Caucasian","AdamState","Currently In College","some college"
"216","R_1kU2Yp8tO8ApWHq","adamsstate",4,3.5,"female",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"under20,000","yes",NA,"AdamState","Currently In College","some college"
"217","R_1DYxkI738N4dxAd","adamsstate",3.5,3.4,"female",NA,"center (4)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","AdamState","Currently In College","some college"
"218","R_vHX4vHKybfiI1jj","adamsstate",3.5,2.8,"male",NA,"strongly liberal (1)","democrat (2)",NA,"100-199,999","yes","Caucasian","AdamState","Currently In College","some college"
"219","R_1P2cbj9HSZcvyRR","adamsstate",4,2.7,"female",NA,"conservative (6)","conservative (6)",NA,"under20,000","yes","Caucasian","AdamState","Currently In College","some college"
"220","R_cNiK4BN34cdlcsN","adamsstate",4,1.4,"male",NA,"center (4)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","AdamState","Currently In College","some college"
"221","R_oZX0m3Z6QQMfjwZ","adamsstate",3.5,3.3,"female",NA,"strongly conservative (7)","somewhat conservative (5)",NA,"not say","yes",NA,"AdamState","Currently In College","some college"
"222","R_1C42QZHqEWxKZXt","adamsstate",2.5,2.7,"female",NA,"liberal (2)","somewhat democrat (3)",NA,"20-39,999","yes","Other race/ethincity","AdamState","Currently In College","some college"
"223","R_3qPtRIXh25twRu7","adamsstate",3,2.4,"male",NA,"center (4)","middle (4)",NA,"100-199,999","yes","Caucasian","AdamState","Currently In College","some college"
"224","R_eqysbif22J7wdwd","adamsstate",4,3.3,"female",NA,"somewhat conservative (5)","conservative (6)",NA,"60-79,999","yes","Caucasian","AdamState","Currently In College","some college"
"225","R_3KCQokqq3s0qwpf","adamsstate",4,2.6,"male",NA,"center (4)","middle (4)",NA,"40-59,999","yes",NA,"AdamState","Currently In College","some college"
"226","R_2uDPfbzPFv94SVv","adamsstate",4,3.1,"male",21,"somewhat liberal (3)","somewhat conservative (5)",NA,"80-99,999","yes","Caucasian","AdamState","Currently In College","some college"
"227","R_2Se5ZCMastLQ3HO","adamsstate",3,2.4,"female",18,"somewhat conservative (5)","conservative (6)",NA,"20-39,999","yes","Caucasian","AdamState","Currently In College","some college"
"228","R_2v7c78VqBRFPSYS","adamsstate",1,2.2,"female",50,"strongly liberal (1)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","AdamState","Currently In College","some college"
"229","R_3iEGKRK35218wIp","adamsstate",3.5,3.6,"male",23,"somewhat liberal (3)","somewhat democrat (3)",NA,"100-199,999","yes",NA,"AdamState","Currently In College","some college"
"230","R_2X0eCyHssR1JvQa","adamsstate",4,3.8,"female",19,"apolitical","independent",NA,"not say","yes","Caucasian","AdamState","Currently In College","some college"
"231","R_2RU2DqGnyvp0uwc","adamsstate",4,3,"female",19,"apolitical","independent",NA,"80-99,999","yes","Other race/ethincity","AdamState","Currently In College","some college"
"232","R_3LdsfD1Ncw2X7lY","adamsstate",4,3.9,"female",18,"conservative (6)","strongly conservative (7)",NA,"80-99,999","yes","Caucasian","AdamState","Currently In College","some college"
"233","R_1DU10SWcgZFbjXG","adamsstate",4,3.5,"female",21,"somewhat liberal (3)","somewhat democrat (3)",NA,"40-59,999","yes","Other race/ethincity","AdamState","Currently In College","some college"
"234","R_2VQmEY76wWpFosE","adamsstate",4,2.3,"female",18,"center (4)","somewhat conservative (5)",NA,"not say","yes","Caucasian","","Currently In College","some college"
"235","R_11Z2ipgG06JlwQh","adamsstate",3.5,3.1,"female",18,"apolitical","somewhat conservative (5)",NA,"not say","yes","Caucasian","AdamState","Currently In College","some college"
"236","R_C2D1r2nK4U7tKNP","adamsstate",2,2.3,"female",20,"apolitical","independent",NA,"under20,000","yes",NA,"AdamState","Currently In College","some college"
"237","R_3PmNoPfDD4C50Mz","adamsstate",4,2.6,"female",22,"liberal (2)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","AdamState","Currently In College","some college"
"238","R_3PZ7Rsea4aeBSuT","adamsstate",4,2.3,"female",18,"liberal (2)","somewhat democrat (3)",NA,"under20,000","yes","Other race/ethincity","AdamState","Currently In College","some college"
"239","R_3mawxBuWu5kbj9f","adamsstate",3,2.6,"female",20,"center (4)","independent",NA,"not say","yes","Other race/ethincity","AdamState","Currently In College","some college"
"240","R_3JegLPKfKy6diqc","adamsstate",4,2.4,"female",22,"center (4)","somewhat democrat (3)",NA,"40-59,999","yes","Other race/ethincity","AdamState","Currently In College","some college"
"241","R_12DRYQVQXW9FAJy","adamsstate",4,3.7,"female",20,"apolitical","somewhat democrat (3)",NA,"20-39,999","yes","Other race/ethincity","AdamState","Currently In College","some college"
"242","R_2CP0lQh5MzT1TC2","adamsstate",2.5,2.1,"male",21,"center (4)","middle (4)",NA,"under20,000","yes","Caucasian","AdamState","Currently In College","some college"
"243","R_eswmkl3wwqxsd4R","adamsstate",4,3,"female",18,"apolitical","independent",NA,"not say","yes","Caucasian","AdamState","Currently In College","some college"
"244","R_1rrxtcIY9MlGAFS","adamsstate",3.5,2.4,"female",21,"conservative (6)","somewhat conservative (5)",NA,"not say","yes",NA,"AdamState","Currently In College","some college"
"245","R_1jfZ2xqMl7yRWFS","adamsstate",4,3.5,"female",18,"center (4)",NA,NA,"20-39,999","yes",NA,"AdamState","Currently In College","some college"
"246","R_vqusUfIe7EnqWoV","adamsstate",3,2.5,"female",18,"somewhat liberal (3)","somewhat democrat (3)",NA,"100-199,999","yes",NA,"AdamState","Currently In College","some college"
"247","R_1JKLN0RqFfEzvka","adamsstate",3,3.1,"male",20,"center (4)","somewhat conservative (5)",NA,"20-39,999","no","Caucasian","AdamState","Currently In College","some college"
"248","R_3KxxXrxlbwUKuF5","adamsstate",3,3.4,"female",21,"somewhat conservative (5)","somewhat conservative (5)",NA,"under20,000","yes","Caucasian","AdamState","Currently In College","some college"
"249","R_2WD055214YN8Frf","adamsstate",3.5,3,"female",21,"center (4)","somewhat democrat (3)",NA,"100-199,999","yes","Other race/ethincity","AdamState","Currently In College","some college"
"250","R_ODmF2Pu3cawsPh7","adamsstate",4,3.6,"male",22,"liberal (2)","democrat (2)",NA,"100-199,999","yes","Caucasian","AdamState","Currently In College","some college"
"251","R_2VK4t7qQCkk869G","adamsstate",3.5,3.7,"male",27,"conservative (6)","somewhat conservative (5)",NA,"under20,000","yes",NA,"AdamState","Currently In College","some college"
"252","R_28NidkfMxNuT8S1","adamsstate",4,2.6,"female",18,"conservative (6)","strongly conservative (7)",NA,"40-59,999","yes","Caucasian","AdamState","Currently In College","some college"
"253","R_3poluutpFeuYVIP","adamsstate",3.5,4.4,"female",21,"strongly liberal (1)","democrat (2)",NA,"under20,000","yes","Caucasian","AdamState","Currently In College","some college"
"254","R_3dZc3Z6vO7Juufo","adamsstate",3.5,2.2,"male",22,"center (4)","somewhat democrat (3)",NA,"20-39,999","yes","Caucasian","AdamState","Currently In College","some college"
"255","R_bpdFg1P1LSEFuh3","adamsstate",3.5,3.5,"female",23,"apolitical","independent",NA,"40-59,999","yes","Other race/ethincity","AdamState","Currently In College","some college"
"256","R_3MifLQgbPLked0W","adamsstate",4,2.6,"female",22,"strongly conservative (7)","strongly conservative (7)",NA,"under20,000","yes","Caucasian","AdamState","Currently In College","some college"
"257","R_0eSMVCDA6q7DlTP","adamsstate",3.5,2.9,"male",22,"center (4)","somewhat democrat (3)",NA,"40-59,999","yes","Other race/ethincity","AdamState","Currently In College","some college"
"258","R_3qE7OrZ2O8y82Uy","adamsstate",4,2.3,"male",19,"conservative (6)","strongly conservative (7)",NA,"under20,000","yes","Caucasian","AdamState","Currently In College","some college"
"259","R_6xInYuAlpciaVup","adamsstate",3.5,3.9,"female",21,"conservative (6)","conservative (6)",NA,"under20,000","yes","Caucasian","AdamState","Currently In College","some college"
"260","R_2R92EHB9V3oo0U6","adamsstate",2.5,4.4,"male",20,"somewhat liberal (3)","somewhat democrat (3)",NA,"200-999,999","yes","Caucasian","AdamState","Currently In College","some college"
"261","R_2ziH8qv0hedKwKO","adamsstate",4,3.2,"female",18,"center (4)","middle (4)",NA,"not say","yes","Other race/ethincity","AdamState","Currently In College","some college"
"262","R_2qDJrtWzednutSl","adamsstate",3.5,2.3,"female",22,"strongly conservative (7)","strongly conservative (7)",NA,"under20,000","yes","Caucasian","AdamState","Currently In College","some college"
"263","R_3PS8WmDhr6p9fPm","adamsstate",3.5,2.7,"female",20,"conservative (6)","somewhat conservative (5)",NA,"under20,000","yes",NA,"AdamState","Currently In College","some college"
"264","R_1Ol9Z1K70FqgWnM","adamsstate",4,2.3,"female",19,"somewhat conservative (5)","somewhat conservative (5)",NA,"over1,000,000","yes","Caucasian","AdamState","Currently In College","some college"
"265","R_ZymeVsrbugX4jPr","adamsstate",4,3.4,"female",18,"apolitical","middle (4)",NA,"not say","yes",NA,"AdamState","Currently In College","some college"
"266","R_4ZTHZqKEPqiuVbj","adamsstate",4,3.2,"female",18,"somewhat conservative (5)","independent",NA,"under20,000","yes","Other race/ethincity","AdamState","Currently In College","some college"
"267","R_1IGiF2kmzKngcQn","adamsstate",3,2.3,"female",22,"conservative (6)","strongly conservative (7)",NA,"20-39,999","yes","Caucasian","AdamState","Currently In College","some college"
"268","R_u4SyE6Gm022bGpj","adamsstate",2.5,2.2,"male",20,"somewhat conservative (5)","conservative (6)",NA,"60-79,999","yes","Caucasian","AdamState","Currently In College","some college"
"269","R_Qi6SKBkIjvw1ey5","adamsstate",3,3.4,"female",21,"somewhat liberal (3)","democrat (2)",NA,"80-99,999","yes",NA,"AdamState","Currently In College","some college"
"270","R_1dF66xA0Q0neCpg","adamsstate",3.5,2.3,"female",19,"somewhat conservative (5)","somewhat conservative (5)",NA,"40-59,999","yes","Caucasian","AdamState","Currently In College","some college"
"271","R_2pJI2dNRgEGHVwx","adamsstate",4,2.9,"female",21,"conservative (6)","somewhat conservative (5)",NA,"not say","yes","Other race/ethincity","AdamState","Currently In College","some college"
"272","R_1oCgHLfO44lrA9h","adamsstate",4,2.2,"female",21,"somewhat conservative (5)","conservative (6)",NA,"80-99,999","yes","Caucasian","AdamState","Currently In College","some college"
"273","R_1LzB794VlE4Oast","adamsstate",2.5,2.7,"female",20,"apolitical","independent",NA,"not say","yes","Other race/ethincity","AdamState","Currently In College","some college"
"274","R_33f2623UsptdsLx","adamsstate",3.5,3.1,"male",19,"conservative (6)","somewhat conservative (5)",NA,"not say","yes","Other race/ethincity","AdamState","Currently In College","some college"
"275","R_30qqzXauJeZqkFK","adamsstate",4,3.7,"female",NA,"apolitical","somewhat democrat (3)",NA,"not say","yes","Caucasian","Azusa","Currently In College","some college"
"2635","R_3iDYsRk0VI3zgUY","adamsstate",3.5,4.2,"female",NA,"liberal (2)","independent",NA,"under20,000","yes","Caucasian","AdamState","Completed 2 year degree","some college"
"2636","R_2eOP8wv8rqPkqow","adamsstate",3.5,4.1,"female",NA,"apolitical","independent",NA,"200-999,999","yes","Caucasian","AdamState","Completed 2 year degree","some college"
"2637","R_1NxGzMJDE0mvG1L","adamsstate",2.5,1.9,"female",NA,"liberal (2)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","AdamState","Completed 2 year degree","some college"
"2638","R_2rw4X7D69qCmiO1","adamsstate",4,2.5,"female",NA,"apolitical","independent",NA,"under20,000","yes","Other race/ethincity","AdamState","Completed 2 year degree","some college"
"2639","R_234x0Ltnxt2QQtY","adamsstate",4,4.7,"female",NA,"apolitical","middle (4)",NA,"under20,000","yes","Caucasian","AdamState","Completed 2 year degree","some college"
"2640","R_3PNbiKROSuqWrVG","adamsstate",3,2.7,"female",22,"liberal (2)","somewhat democrat (3)",NA,"20-39,999","yes","Other race/ethincity","AdamState","Completed 2 year degree","some college"
"2641","R_cFQnM69fIdK2Ok1","adamsstate",2.5,2.6,"female",21,"somewhat conservative (5)","conservative (6)",NA,"under20,000","yes","Caucasian","AdamState","Completed 2 year degree","some college"
"2642","R_2wnxaCr5iGH6fhN","adamsstate",1,2.6,"female",33,"somewhat liberal (3)","middle (4)",NA,"40-59,999","yes","Caucasian","AdamState","Completed 2 year degree","some college"
"2643","R_2DUCsXsCxl24cYx","adamsstate",2,3.2,"male",21,"somewhat conservative (5)","somewhat conservative (5)",NA,"20-39,999","yes","Caucasian","AdamState","Completed 2 year degree","some college"
"2644","R_pQaqELFXM21ZwyJ","adamsstate",4,3.4,"female",20,"apolitical","independent",NA,"60-79,999","yes","Caucasian","AdamState","Completed 2 year degree","some college"
"2645","R_a4XLV9khBQeoizL","adamsstate",1,3.2,"female",22,"apolitical","strongly democrat (1)",NA,"20-39,999","yes","Other race/ethincity","AdamState","Completed 2 year degree","some college"
"2646","R_XYyvbarNtY0wueR","adamsstate",4,3,"female",21,"somewhat liberal (3)","democrat (2)",NA,"60-79,999","yes","Other race/ethincity","AdamState","Completed 2 year degree","some college"
"2647","R_1KsaFktoftBhvVp","adamsstate",3,3,"male",24,"somewhat liberal (3)","independent",NA,"20-39,999","yes","Other race/ethincity","AdamState","Completed 2 year degree","some college"
"2648","R_Xwe7JaGKKFYDyRb","adamsstate",3.5,3,"female",23,"apolitical","democrat (2)",NA,"not say","yes","Other race/ethincity","AdamState","Completed 2 year degree","some college"
"2649","R_UQrDfjqqLSvZ5pD","adamsstate",4,3.3,"female",21,"somewhat liberal (3)","somewhat democrat (3)",NA,"not say","yes",NA,"AdamState","Completed 2 year degree","some college"
"2650","R_2QXabPvPCKbkgqk","adamsstate",3.5,3,"male",23,"conservative (6)","conservative (6)",NA,"100-199,999","yes","Caucasian","AdamState","Completed 2 year degree","some college"
"2651","R_1cSoMVBYZtTafkJ","adamsstate",3.5,3.2,"female",20,"conservative (6)","conservative (6)",NA,"under20,000","yes",NA,"AdamState","Completed 2 year degree","some college"
"2652","R_3qUuaV2lPeXRTb3","adamsstate",3,3.3,"female",24,"strongly liberal (1)","middle (4)",NA,"under20,000","yes","Caucasian","AdamState","Completed 2 year degree","some college"
"2653","R_3fcmWqE88kpkWE1","adamsstate",2.5,3.1,"female",54,"center (4)","democrat (2)",NA,"60-79,999","yes","Caucasian","AdamState","Completed 2 year degree","some college"
"2955","R_1mz4jFAVeTPli8t","adamsstate",3.5,2.3,"female",NA,"center (4)","somewhat conservative (5)","yes","20-39,999","yes","Caucasian","AdamState","Graduate Education",NA
"2956","R_pzs7J6lagr7ZTdD","adamsstate",2.5,2.3,"male",NA,"somewhat conservative (5)","democrat (2)",NA,"80-99,999","yes","Caucasian","AdamState","Graduate Education",NA
"2957","R_2SivGMXVEjaxYQf","adamsstate",1,1.9,"male",NA,"conservative (6)","conservative (6)","yes","not say","yes","Caucasian","AdamState","Graduate Education",NA
"2958","R_1Ictg09cZ8TiT3d","adamsstate",2.5,2.7,"male",NA,"center (4)","somewhat conservative (5)",NA,"20-39,999","yes","Caucasian","AdamState","Graduate Education",NA
"2959","R_1NzDRvSnWdx3pTo","adamsstate",3.5,3.5,"female",41,"somewhat liberal (3)","somewhat democrat (3)",NA,"200-999,999","yes","Caucasian","AdamState","Graduate Education",NA
"2960","R_1E4He93IpQWmcMq","adamsstate",4,2.9,"female",22,"somewhat conservative (5)","somewhat conservative (5)",NA,"20-39,999","yes",NA,"AdamState","Graduate Education",NA
"2961","R_2tAqEwIFF9D27dC","adamsstate",3,3.3,"female",23,"liberal (2)","somewhat democrat (3)",NA,"not say","yes","Caucasian","AdamState","Graduate Education",NA
"2962","R_3er7odfDCAzPFG8","adamsstate",2,2.1,"female",43,"conservative (6)","somewhat conservative (5)",NA,"20-39,999","yes",NA,"AdamState","Graduate Education",NA
"2963","R_22DEFA4s1YmcRNI","adamsstate",3.5,3.3,"female",26,"strongly liberal (1)","strongly democrat (1)",NA,"under20,000","yes","Caucasian","AdamState","Graduate Education",NA
