"","ResponseId","referrer","IDEA8_exp","Stress","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"2725","R_3yf859JBVQzCiEp","StGeorges",3.5,2.2,"female",25,"apolitical","independent",NA,"not say","no","Other race/ethincity","StGeorges","Completed 2 year degree","some college"
"2726","R_1mdZ6Y7glZMWYlm","StGeorges",4,3.7,"female",23,"apolitical","somewhat democrat (3)",NA,"under20,000","no","Other race/ethincity","StGeorges","Completed 2 year degree","some college"
"2727","R_SDY9XhwDsN4NOed","StGeorges",3,3.3,"female",26,"center (4)","somewhat democrat (3)",NA,"not say","no","Other race/ethincity","StGeorges","Completed 2 year degree","some college"
"2728","R_3EnzaCMnz8RkM3U","StGeorges",3.5,3.7,"female",21,"somewhat liberal (3)","democrat (2)",NA,"not say","no","Other race/ethincity","StGeorges","Completed 2 year degree","some college"
"2729","R_3Ey6uKMmxdRRor4","StGeorges",2.5,2.1,"female",39,"liberal (2)","middle (4)",NA,"under20,000","no","Other race/ethincity","StGeorges","Completed 2 year degree","some college"
"2730","R_pGegqZ1cOTuxjLH","StGeorges",4,3.6,"female",20,"somewhat liberal (3)","democrat (2)",NA,"not say","no","Other race/ethincity","StGeorges","Completed 2 year degree","some college"
"2731","R_2Ei3NjONJeL65DG","StGeorges",3,3.2,"female",22,"apolitical","middle (4)",NA,"not say","no","Other race/ethincity","StGeorges","Completed 2 year degree","some college"
"2732","R_1rBbT3vcgKbVWMY","StGeorges",4,3.4,"male",21,"liberal (2)","democrat (2)",NA,"under20,000","no","Other race/ethincity","StGeorges","Completed 2 year degree","some college"
"2733","R_1PRdEdPOqQyUthI","StGeorges",3,3.5,"female",22,"center (4)",NA,NA,"under20,000","no","Other race/ethincity","StGeorges","Completed 2 year degree","some college"
"2734","R_125dBqVsrnXFXde","StGeorges",4,3,"other",21,"center (4)","strongly democrat (1)",NA,"not say","no","Other race/ethincity","StGeorges","Completed 2 year degree","some college"
"2735","R_2TFeiWAfftzR1yh","StGeorges",4,4.6,"male",24,"apolitical","independent",NA,"40-59,999","no","Other race/ethincity","StGeorges","Completed 2 year degree","some college"
"2736","R_2YV22NaywxStZma","StGeorges",3.5,3.1,"female",27,"center (4)","democrat (2)",NA,"not say","no","Other race/ethincity","StGeorges","Completed 2 year degree","some college"
"2737","R_vxAiSahnhiOuH85","StGeorges",3.5,2.4,"female",24,"strongly conservative (7)","strongly democrat (1)",NA,NA,"no","Other race/ethincity","StGeorges","Completed 2 year degree","some college"
"2738","R_2YMqN4SGkP9OSwA","StGeorges",3,3.1,"female",20,"apolitical","independent",NA,"not say","no","Other race/ethincity","StGeorges","Completed 2 year degree","some college"
"2739","R_O703Clkgt2jXHCp","StGeorges",3.5,3.3,"female",30,"apolitical","independent",NA,"20-39,999","no","Other race/ethincity","StGeorges","Completed 2 year degree","some college"
"2740","R_C4cgNcf4Macn3Hj","StGeorges",4,2.9,"female",22,"liberal (2)","strongly democrat (1)",NA,"20-39,999","no","Other race/ethincity","StGeorges","Completed 2 year degree","some college"
"2741","R_9ZG9NCWOFwPLo89","StGeorges",4,2.7,"female",23,"center (4)","democrat (2)",NA,"under20,000","no","Other race/ethincity","StGeorges","Completed 2 year degree","some college"
"2742","R_25F8UxasHRogEou","StGeorges",4,4.3,"female",23,"liberal (2)","strongly democrat (1)",NA,"under20,000","no","Other race/ethincity","StGeorges","Completed 2 year degree","some college"
"2743","R_2uCBaOsAKEcrgSZ","StGeorges",3.5,2.3,"female",21,"center (4)","independent",NA,"not say","no","Other race/ethincity","StGeorges","Completed 2 year degree","some college"
"2744","R_1f2daygD74wsLAo","StGeorges",4,2,"male",23,"center (4)","independent",NA,"80-99,999","no","Other race/ethincity","StGeorges","Completed 2 year degree","some college"
"2745","R_31vIbIAI2o7KsMm","StGeorges",4,4,"male",26,"apolitical","independent",NA,NA,"no","Other race/ethincity","StGeorges","Completed 2 year degree","some college"
"2746","R_21nS3V3Yg6mcY2r","StGeorges",3,3.8,"female",21,"center (4)","somewhat conservative (5)",NA,"under20,000","no","Other race/ethincity","StGeorges","Completed 2 year degree","some college"
"2747","R_W1EGf2QJG0hn77H","StGeorges",3.5,3.1,"female",25,"center (4)","somewhat democrat (3)",NA,"not say","no","Other race/ethincity","StGeorges","Completed 2 year degree","some college"
"2748","R_27xoiuqkkhmho6q","StGeorges",3.5,2.8,"male",25,"liberal (2)","independent",NA,"not say","no","Other race/ethincity","","Completed 2 year degree","some college"
"2749","R_3QMk8Es0Z9cTMSC","StGeorges",4,2.8,"female",39,"liberal (2)","middle (4)",NA,"under20,000","no","Other race/ethincity","StGeorges","Completed 2 year degree","some college"
"2750","R_1OIFHRbAFU0RRwM","StGeorges",3,2.6,"female",30,"strongly conservative (7)","independent",NA,"not say","no","Other race/ethincity","StGeorges","Completed 2 year degree","some college"
"2751","R_2xQRVyPs6WOd9pF","StGeorges",4,2.3,"female",28,"strongly conservative (7)","strongly democrat (1)",NA,"not say","no","Other race/ethincity","StGeorges","Completed 2 year degree","some college"
"2752","R_RfTmHpdulLopW9z","StGeorges",3,3.2,"female",25,"center (4)","independent",NA,"not say","no","Other race/ethincity","StGeorges","Completed 2 year degree","some college"
"2909","R_1r2FOePqfjsd0hD","StGeorges",3,2.8,"female",22,"center (4)","somewhat democrat (3)",NA,"under20,000","no","Other race/ethincity","StGeorges","Completed 4 year degree","some college"
"2910","R_DzUNSZG6k1sa6wF","StGeorges",3.5,2.7,"male",28,"strongly liberal (1)","democrat (2)","yes","under20,000","no","Other race/ethincity","StGeorges","Completed 4 year degree","some college"
"2911","R_WcZa6G916pFjJbr","StGeorges",3.5,3.1,"female",21,"apolitical","somewhat democrat (3)",NA,"under20,000","no","Other race/ethincity","StGeorges","Completed 4 year degree","some college"
"2912","R_af01PvBynQCngxH","StGeorges",3.5,2.3,"female",21,"apolitical","independent",NA,"under20,000","no","Other race/ethincity","StGeorges","Completed 4 year degree","some college"
"2913","R_262UaIaw7b9QIlB","StGeorges",3.5,2.7,"female",28,"center (4)",NA,NA,NA,"no","Other race/ethincity","StGeorges","Completed 4 year degree","some college"
"2914","R_1Qbiig9PZn5S0Kr","StGeorges",3.5,2.5,"male",23,"apolitical","middle (4)",NA,"100-199,999","no",NA,"","Completed 4 year degree","some college"
"2915","R_2XhthSNQJ82EGWR","StGeorges",4,3.6,"female",34,"center (4)","democrat (2)",NA,"not say","no",NA,"StGeorges","Completed 4 year degree","some college"
"2916","R_1QEhfxHsPU43xF2","StGeorges",4,2.1,"female",22,"center (4)","strongly democrat (1)",NA,"under20,000","no","Other race/ethincity","StGeorges","Completed 4 year degree","some college"
"2917","R_3O7AknlOSXjXXEZ","StGeorges",4,3.3,"female",23,"conservative (6)","independent",NA,NA,"no","Other race/ethincity","StGeorges","Completed 4 year degree","some college"
"2918","R_1ff6IAASXqOv2IJ","StGeorges",3.5,3.6,"male",21,"apolitical","independent",NA,"not say","no","Other race/ethincity","StGeorges","Completed 4 year degree","some college"
"2919","R_2CldCh7zHHPelMi","StGeorges",3,3.5,"female",29,"somewhat conservative (5)","strongly democrat (1)",NA,"not say","no","Other race/ethincity","StGeorges","Completed 4 year degree","some college"
"2920","R_1CattXKeuxQvaJh","StGeorges",4,3.1,"female",26,"center (4)",NA,NA,NA,"no","Other race/ethincity","","Completed 4 year degree","some college"
"2921","R_2an4JGYlF9txVWc","StGeorges",3.5,2.8,"female",26,"conservative (6)",NA,NA,"not say","no","Other race/ethincity","","Completed 4 year degree","some college"
"3053","R_2QX1ghn36WbzFJ2","StGeorges",3.5,1.8,"female",41,"liberal (2)","strongly democrat (1)",NA,"not say","no","Other race/ethincity","StGeorges","Graduate Education",NA
"3054","R_20O22Ib7ODTK4xd","StGeorges",4,2,"male",30,"apolitical","independent",NA,"40-59,999","no","Other race/ethincity","StGeorges","Graduate Education",NA
"3055","R_2E03GOsLWaqza3F","StGeorges",3,2.7,"female",28,"strongly liberal (1)","strongly democrat (1)",NA,"20-39,999","no","Other race/ethincity","StGeorges","Graduate Education",NA
"3056","R_BLEv5k2bE7p4k3T","StGeorges",4,3.5,"female",21,"liberal (2)","independent",NA,"40-59,999","no","Other race/ethincity","StGeorges","Graduate Education",NA
"3057","R_1dtBAIcx9qOPEfy","StGeorges",3,2.6,"female",25,"somewhat liberal (3)","somewhat democrat (3)",NA,"not say","no","Other race/ethincity","","Graduate Education",NA
"3058","R_YXiLIxboMOeLF6h","StGeorges",4,2.9,"female",26,"apolitical","strongly democrat (1)",NA,"under20,000","no","Other race/ethincity","WestIndes","Graduate Education",NA
"3059","R_1mqmju4PCj7Siul","StGeorges",3,3.7,"female",25,NA,NA,NA,"not say","no","Other race/ethincity","WestIndes","Graduate Education",NA
"3060","R_2aEMq8AFQN29Frn","StGeorges",3.5,3.1,"female",27,"conservative (6)","independent",NA,"not say","no","Other race/ethincity","StGeorges","Graduate Education",NA
"3061","R_pyBSEH8XGZJaGUV","StGeorges",3,2.4,"male",29,"somewhat conservative (5)",NA,NA,"under20,000","no","Other race/ethincity","","Graduate Education",NA
"3062","R_2dRtH1J6AZ91gZj","StGeorges",4,3.3,"female",25,"center (4)","middle (4)",NA,"not say","no","Other race/ethincity","WestIndes","Graduate Education",NA
"3063","R_2Sw1Csgi3SjVrgj","StGeorges",2,2.5,"other",44,"liberal (2)","strongly democrat (1)",NA,"under20,000","no","Other race/ethincity","StGeorges","Graduate Education",NA
