"","Participant_ID","referrer","PowerCond","Sincerity","age","year","Genderfactor","ethnicity","AttentionCheck"
"2765","71","UCDavis","HighPower",5,"20","Junior","Female","Asian-American","Pass"
"2766","72","UCDavis","LowPower",3,"19","Sophomore","Male","Asian-American","Fail"
"2767","73","UCDavis","HighPower",2,"18","First-year","Female","Asian-American","Fail"
"2768","74","UCDavis","HighPower",2,"19","Sophomore","Female","Asian-American","Pass"
"2769","75","UCDavis","HighPower",4,"21","Senior","Female","Asian-American","Fail"
"2770","76","UCDavis","HighPower",5,"we","Other","Male","Asian-American","Fail"
"2771","77","UCDavis","LowPower",2,"22","Other","Female","Latino or Hispanic","Pass"
"2772","78","UCDavis","HighPower",3,"19","Sophomore","Female","Latino or Hispanic","Pass"
"2773","79","UCDavis","LowPower",4,"20","Junior","Male","Asian-American","Fail"
"2775","80","UCDavis","HighPower",3,"21","Senior","Female","Asian-American","Pass"
"2777","82","UCDavis","HighPower",2,"19","Sophomore","Female","Asian-American","Pass"
"2779","84","UCDavis","LowPower",3,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"2780","85","UCDavis","HighPower",4,"21","Senior","Male","Asian-American","Pass"
"2781","86","UCDavis","HighPower",5,"19","Sophomore","Female","Latino or Hispanic","Pass"
"2782","87","UCDavis","HighPower",5,"19","Sophomore","Female","Asian-American","Pass"
"2784","89","UCDavis","HighPower",3,"19","Sophomore","Female","Other","Fail"
"2786","90","UCDavis","LowPower",4,"21","Senior","Female","Asian-American","Pass"
"2787","91","UCDavis","LowPower",2,"21","Senior","Female","Asian-American","Pass"
"2788","912044691","UCDavis","HighPower",4,"18","First-year","Female","Asian-American","Fail"
"2790","92","UCDavis","HighPower",2,"18","First-year","Female","Asian-American","Pass"
"2791","93","UCDavis","LowPower",4,"18","First-year","Female","Latino or Hispanic","Pass"
"2792","94","UCDavis","LowPower",3,"18","First-year","Male","Other","Pass"
"2794","96","UCDavis","LowPower",3,"20","Junior","Male","Asian-American","Fail"
"2795","97","UCDavis","LowPower",3,"19","Sophomore","Male","Asian-American","Fail"
"2796","98","UCDavis","HighPower",1,"20","Sophomore","Male","Latino or Hispanic","Pass"
"2797","99","UCDavis","HighPower",5,"21","Junior","Female","Multiracial","Pass"
"2798","997562295","UCDavis","HighPower",2,"21","Senior","Female","Latino or Hispanic","Fail"
"2801","998809465","UCDavis","LowPower",5,"20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2802","998815611","UCDavis","HighPower",3,"19","Sophomore","Female","Latino or Hispanic","Pass"
"2803","999041730","UCDavis","HighPower",1,"19","Sophomore","Female","Asian-American","Pass"
"2804","999688562","UCDavis","LowPower",5,"18","First-year","Female","Other","Pass"
"2805",NA,"UCDavis","HighPower",6,"20","Junior","Female","Multiracial","Pass"
"2806",NA,"UCDavis","LowPower",3,"21","Sophomore","Female","Asian-American","Pass"
"2807",NA,"UCDavis","HighPower",3,"19","Sophomore","Female","Asian-American","Fail"
"2808",NA,"UCDavis","HighPower",2,NA,NA,NA,NA,"Pass"
"2810",NA,"UCDavis","LowPower",4,"18","First-year","Female","Latino or Hispanic","Fail"
"2811",NA,"UCDavis","LowPower",2,"20","Junior","Female","Other","Pass"
"2812",NA,"UCDavis","HighPower",2,NA,NA,NA,NA,NA
"2813",NA,"UCDavis","LowPower",1,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"2814",NA,"UCDavis","LowPower",3,NA,NA,NA,NA,NA
