"","Participant_ID","referrer","TempCond","tempestclean","age","year","Genderfactor","ethnicity","AttentionCheck"
"2045","84","OSUNewark","Communal",74,"20","Other","Female","White, non-Hispanic or latino","Fail"
"2046","85","OSUNewark","Communal",65,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2047","86","OSUNewark","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2048","87","OSUNewark","Communal",68,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2049","88","OSUNewark","Agentic",65,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2050","89","OSUNewark","Communal",70,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"2051","9","OSUNewark","Agentic",65,"19","First-year","Female","White, non-Hispanic or latino","Fail"
"2052","90","OSUNewark","Agentic",65,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"2053","91","OSUNewark","Agentic",70,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2054","92","OSUNewark","Agentic",68,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"2055","93","OSUNewark","Communal",80,"22","First-year","Male","Multiracial","Fail"
"2056","94","OSUNewark","Communal",65,"18","First-year","Male","Asian-American","Fail"
"2057","95","OSUNewark","Agentic",73,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2058","96","OSUNewark","Communal",70,"19","First-year","Male","African-American","Fail"
"2059","97","OSUNewark","Communal",76,"19","First-year","Female","African-American","Pass"
"2060","98","OSUNewark","Agentic",67,"19","First-year","Male","African-American","Pass"
"2061","99","OSUNewark","Agentic",72,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2062",NA,"OSUNewark","Communal",70,NA,NA,NA,NA,NA
"2063",NA,"OSUNewark","Agentic",70,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2064",NA,"OSUNewark","Communal",72,"18","First-year","Male","White, non-Hispanic or latino","Fail"
