.id,source,haus1.1,haus1.1t_1,haus1.2,haus2.1,haus2.1t_1,haus2.2,Source.Global,Source.Primary,Source.Secondary,Country,Location,Language,Weird,Execution,SubjectPool,Setting,Tablet,Pencil,StudyOrderN,IDiffOrderN,uID,study.order,analysis.type,subset,case.include
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,2,33.829,1,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Graham|Hauser|Anderson|Rottenstrich|VanLange|Bauer|Alter|Ross.Slate1|Miyamoto|Kay|Critcher|Huang,ID: Subjective wellbeing|ID: Mood|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five,4580,2,Secondary,all,TRUE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,43.186,1,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Alter|Graham|Ross.Slate1|Critcher|Rottenstrich|Anderson|Hauser|VanLange|Huang|Kay|Bauer|Miyamoto,ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Mood,4581,7,Secondary,all,TRUE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,,,,2,39.339,2,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",VanLange|Ross.Slate1|Alter|Anderson|Hauser|Graham|Rottenstrich|Bauer|Critcher|Miyamoto|Kay|Huang,ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Mood|ID: Cognitive reflection|ID: Subjective wellbeing,4582,5,Secondary,all,FALSE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,47.602,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Graham|Ross.Slate1|Rottenstrich|Critcher|Miyamoto|Anderson|Alter|Bauer|Kay|Huang|VanLange,ID: Global self-esteem SISE|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Mood,4583,1,Secondary,all,FALSE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,36.882,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Huang|Ross.Slate1|Kay|Miyamoto|Hauser|Anderson|Graham|Critcher|VanLange|Rottenstrich|Bauer|Alter,ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE,4584,5,Secondary,all,FALSE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,,,,2,41.337,2,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Critcher|Graham|Bauer|Anderson|Kay|Huang|Alter|VanLange|Rottenstrich|Ross.Slate1|Hauser|Miyamoto,ID: Global self-esteem SISE|ID: Mood|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Cognitive reflection,4585,11,Secondary,all,FALSE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,,,,2,51.141,2,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Critcher|Bauer|Graham|VanLange|Huang|Alter|Anderson|Rottenstrich|Kay|Hauser|Miyamoto|Ross.Slate1,ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Mood|ID: Cognitive reflection,4586,10,Secondary,all,FALSE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,2,37.867,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Huang|Ross.Slate1|Kay|Anderson|Bauer|Critcher|Miyamoto|VanLange|Hauser|Rottenstrich|Graham|Alter,ID: Global self-esteem SISE|ID: Mood|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Cognitive reflection,4587,9,Secondary,all,FALSE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,,,,2,31.828,2,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",VanLange|Graham|Rottenstrich|Ross.Slate1|Anderson|Critcher|Alter|Kay|Miyamoto|Hauser|Bauer|Huang,ID: Mood|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Subjective wellbeing,4588,10,Secondary,all,FALSE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,60.722,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Graham|Ross.Slate1|Huang|Alter|Miyamoto|Critcher|Kay|Anderson|VanLange|Rottenstrich|Bauer,ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Mood|ID: Global self-esteem SISE,4589,1,Secondary,all,FALSE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,56.926,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Critcher|Miyamoto|Huang|Alter|Rottenstrich|Ross.Slate1|Kay|Bauer|Anderson|VanLange|Graham,ID: Mood|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Global self-esteem SISE,4590,1,Secondary,all,FALSE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,,,,2,60.318,2,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate1|Bauer|Hauser|VanLange|Critcher|Rottenstrich|Anderson|Miyamoto|Huang|Graham|Kay|Alter,ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: TIPI for Big-Five,4591,3,Secondary,all,FALSE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,,,,2,33.281,1,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Anderson|Graham|Alter|Kay|Rottenstrich|Ross.Slate1|Huang|VanLange|Miyamoto|Critcher|Bauer,ID: Mood|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: TIPI for Big-Five,4592,1,Secondary,all,TRUE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,,,,2,37.034,2,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Ross.Slate1|Graham|Bauer|Alter|Miyamoto|Anderson|Kay|Huang|VanLange|Critcher|Rottenstrich,ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Mood|ID: Global self-esteem SISE,4593,1,Secondary,all,FALSE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,22.529,1,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",VanLange|Rottenstrich|Critcher|Kay|Ross.Slate1|Anderson|Bauer|Graham|Miyamoto|Alter|Hauser|Huang,ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Mood|ID: Subjective wellbeing|ID: TIPI for Big-Five,4594,11,Secondary,all,TRUE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,2,54.524,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Graham|Bauer|Hauser|Ross.Slate1|VanLange|Rottenstrich|Anderson|Alter|Huang|Miyamoto|Critcher|Kay,ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Mood,4595,3,Secondary,all,FALSE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,2,36.349,1,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate1|Graham|Critcher|Anderson|Rottenstrich|Kay|Huang|Hauser|Miyamoto|VanLange|Alter|Bauer,ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE,4596,8,Secondary,all,TRUE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,,,,2,50.939,2,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Alter|Anderson|Kay|Hauser|Graham|Huang|VanLange|Ross.Slate1|Bauer|Critcher|Rottenstrich|Miyamoto,ID: Mood|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: TIPI for Big-Five,4597,4,Secondary,all,FALSE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,2,55.661,1,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Anderson|Miyamoto|Alter|Bauer|Rottenstrich|Graham|Kay|Hauser|Critcher|Huang|Ross.Slate1|VanLange,ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Mood|ID: Subjective wellbeing,4598,8,Secondary,all,TRUE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,2,39.479,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Critcher|Anderson|Hauser|Bauer|Rottenstrich|Kay|Graham|Ross.Slate1|Alter|Miyamoto|Huang|VanLange,ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Mood,4599,3,Secondary,all,FALSE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,24.498,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Bauer|Anderson|Huang|Critcher|Kay|Ross.Slate1|VanLange|Graham|Hauser|Miyamoto|Rottenstrich|Alter,ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Mood|ID: TIPI for Big-Five|ID: Subjective wellbeing,4600,9,Secondary,all,FALSE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,,,,2,40.064,1,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Critcher|Rottenstrich|Hauser|Graham|Huang|Anderson|Miyamoto|VanLange|Alter|Bauer|Kay|Ross.Slate1,ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Mood|ID: Cognitive reflection,4601,3,Secondary,all,TRUE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,33.803,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Rottenstrich|Alter|Miyamoto|Graham|VanLange|Bauer|Kay|Ross.Slate1|Critcher|Huang|Anderson|Hauser,ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Mood,4602,12,Secondary,all,FALSE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,2,76.722,1,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Rottenstrich|Graham|Bauer|Critcher|Huang|Kay|Hauser|Alter|Ross.Slate1|Anderson|VanLange|Miyamoto,ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Mood|ID: Cognitive reflection,4603,7,Secondary,all,TRUE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,,,,2,54.906,1,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Miyamoto|Kay|Hauser|Huang|Alter|Critcher|Ross.Slate1|Rottenstrich|Anderson|Graham|VanLange|Bauer,ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood|ID: Cognitive reflection|ID: Global self-esteem SISE,4604,3,Secondary,all,TRUE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,2,56.396,1,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Huang|Kay|VanLange|Bauer|Ross.Slate1|Rottenstrich|Hauser|Alter|Graham|Anderson|Miyamoto|Critcher,ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood|ID: Cognitive reflection,4605,7,Secondary,all,TRUE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,2,50.473,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Huang|Miyamoto|Kay|VanLange|Bauer|Ross.Slate1|Graham|Hauser|Anderson|Rottenstrich|Critcher|Alter,ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Mood|ID: Global self-esteem SISE|ID: Cognitive reflection,4606,8,Secondary,all,FALSE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,,,,2,72.43,2,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Graham|Kay|Ross.Slate1|Bauer|Alter|Huang|Hauser|Rottenstrich|Anderson|Miyamoto|VanLange|Critcher,ID: Mood|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing,4607,7,Secondary,all,FALSE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,,,,2,29.359,1,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Miyamoto|Hauser|Ross.Slate1|Alter|VanLange|Rottenstrich|Huang|Anderson|Kay|Graham|Bauer|Critcher,ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Mood,4608,2,Secondary,all,TRUE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,,,,2,67.654,2,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Huang|Ross.Slate1|Hauser|Rottenstrich|Anderson|Kay|Miyamoto|Graham|VanLange|Alter|Bauer|Critcher,ID: Mood|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection,4609,3,Secondary,all,FALSE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,,,,2,26.089,1,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Alter|Kay|Miyamoto|VanLange|Hauser|Graham|Anderson|Critcher|Bauer|Rottenstrich|Huang|Ross.Slate1,ID: Cognitive reflection|ID: Mood|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: TIPI for Big-Five,4610,5,Secondary,all,TRUE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,,,,2,51.816,2,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",VanLange|Miyamoto|Alter|Kay|Graham|Huang|Bauer|Anderson|Rottenstrich|Critcher|Hauser|Ross.Slate1,ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Mood,4611,11,Secondary,all,FALSE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,56.707,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Ross.Slate1|Miyamoto|Kay|Critcher|Rottenstrich|Anderson|Bauer|Graham|Alter|Huang|VanLange,ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood|ID: TIPI for Big-Five|ID: Global self-esteem SISE,4612,1,Secondary,all,FALSE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,41.303,1,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Miyamoto|Hauser|Critcher|Kay|Bauer|Graham|Rottenstrich|VanLange|Ross.Slate1|Anderson|Alter|Huang,ID: Cognitive reflection|ID: Mood|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: TIPI for Big-Five,4613,2,Secondary,all,TRUE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,76.523,1,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Ross.Slate1|Critcher|Huang|Kay|Anderson|Graham|Miyamoto|VanLange|Alter|Bauer|Rottenstrich,ID: Mood|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Global self-esteem SISE,4614,1,Secondary,all,TRUE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,37.155,1,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Huang|Graham|Hauser|Bauer|Critcher|Ross.Slate1|Anderson|Miyamoto|Kay|VanLange|Alter|Rottenstrich,ID: Cognitive reflection|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Mood,4615,3,Secondary,all,TRUE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,,,,2,25.027,1,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Miyamoto|Huang|Ross.Slate1|Hauser|Kay|Alter|Anderson|Bauer|Critcher|Graham|VanLange|Rottenstrich,ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Mood,4616,4,Secondary,all,TRUE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,50.233,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",VanLange|Alter|Ross.Slate1|Rottenstrich|Bauer|Huang|Kay|Graham|Miyamoto|Anderson|Critcher|Hauser,ID: Mood|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing,4617,12,Secondary,all,FALSE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,2,38.968,1,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate1|Critcher|VanLange|Anderson|Miyamoto|Kay|Huang|Hauser|Graham|Bauer|Rottenstrich|Alter,ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Mood,4618,8,Secondary,all,TRUE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,40.997,1,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Miyamoto|Rottenstrich|Critcher|Ross.Slate1|Alter|Anderson|Kay|Hauser|Huang|VanLange|Graham|Bauer,ID: Cognitive reflection|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Mood,4619,8,Secondary,all,TRUE
