"","Participant_ID","referrer","SRCondition","SRMeetingResponse","SRTFCorrect","age","year","Genderfactor","ethnicity","AttentionCheck"
"2134","67","PacificLutheranUniversity","ego-centric","Ego-Consistent","Yes","17","First-year","Female","White, non-Hispanic or latino","Pass"
"2135","68","PacificLutheranUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2136","69","PacificLutheranUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2137","7","PacificLutheranUniversity","ego-centric","Ego-Inconsistent","Yes","17","First-year","Female","White, non-Hispanic or latino","Pass"
"2141","73","PacificLutheranUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2142","74","PacificLutheranUniversity","ego-centric","Ego-Consistent","Yes","17","First-year","Female","Latino or Hispanic","Pass"
"2144","76","PacificLutheranUniversity","object-centric","Ego-Consistent","Yes","19","First-year","Male","White, non-Hispanic or latino","Fail"
"2147","79","PacificLutheranUniversity","ego-centric","Ego-Consistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Pass"
"2148","8","PacificLutheranUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2149","80","PacificLutheranUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Male","Asian-American","Pass"
"2150","81","PacificLutheranUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2155","86","PacificLutheranUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"2159","9","PacificLutheranUniversity","object-centric","Ego-Consistent","Yes","24","Sophomore","Female","White, non-Hispanic or latino","Fail"
"2161","91","PacificLutheranUniversity","ego-centric","Ego-Consistent","Yes","20","Junior","Female","Asian-American","Fail"
"2167","97","PacificLutheranUniversity","ego-centric","Ego-Consistent","Yes","20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2168","98","PacificLutheranUniversity","ego-centric","Ego-Inconsistent","Yes","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2169","99","PacificLutheranUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
