"","Participant_ID","referrer","SRCondition","SRMeetingResponse","SRTFCorrect","age","year","Genderfactor","ethnicity","AttentionCheck"
"917","14","MontanaStateUniversity","ego-centric","Ego-Consistent","Yes","19","First-year","Female","Latino or Hispanic","Pass"
"919","16","MontanaStateUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"921","19","MontanaStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Asian-American","Pass"
"922","20","MontanaStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Pass"
"923","21","MontanaStateUniversity","object-centric","Ego-Inconsistent","Yes","17","First-year","Female","White, non-Hispanic or latino","Pass"
"927","25","MontanaStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Native American and Alaska Native","Pass"
"928","26","MontanaStateUniversity","ego-centric","Ego-Inconsistent","Yes","27","Other","Female",NA,"Pass"
"933","31","MontanaStateUniversity","ego-centric","Ego-Inconsistent","Yes","27","Sophomore","Female","Other","Fail"
"934","32","MontanaStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"936","34","MontanaStateUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Male","Latino or Hispanic","Pass"
"939","37","MontanaStateUniversity","ego-centric","Ego-Consistent","Yes","21","Senior","Female","White, non-Hispanic or latino","Pass"
"940","38","MontanaStateUniversity","ego-centric","Ego-Consistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Pass"
"941","39","MontanaStateUniversity","object-centric","Ego-Consistent","Yes","22","Sophomore","Male","White, non-Hispanic or latino","Pass"
"942","40","MontanaStateUniversity","object-centric","Ego-Inconsistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Fail"
"945","43","MontanaStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Pass"
"946","44","MontanaStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"948","46","MontanaStateUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"951","49","MontanaStateUniversity","ego-centric","Ego-Consistent","Yes","18","Sophomore","Female","Latino or Hispanic","Fail"
"952","50","MontanaStateUniversity","ego-centric","Ego-Consistent","Yes","20","Junior","Female","White, non-Hispanic or latino","Pass"
"953","51","MontanaStateUniversity","object-centric","Ego-Consistent","Yes","25","First-year","Female","White, non-Hispanic or latino","Fail"
"958","57","MontanaStateUniversity","object-centric","Ego-Consistent","Yes","25","Other","Male","White, non-Hispanic or latino","Pass"
"959","58","MontanaStateUniversity","object-centric","Ego-Inconsistent","Yes","22","Junior","Male","White, non-Hispanic or latino","Fail"
"962","61","MontanaStateUniversity","ego-centric","Ego-Consistent","Yes",NA,"First-year","Male","White, non-Hispanic or latino","Pass"
"963","62","MontanaStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"965","64","MontanaStateUniversity","object-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"968","67","MontanaStateUniversity","ego-centric","Ego-Consistent","Yes","30","Junior","Female","White, non-Hispanic or latino","Fail"
"969","68","MontanaStateUniversity","ego-centric","Ego-Inconsistent","Yes","19","Other","Female","White, non-Hispanic or latino","Pass"
"970","69","MontanaStateUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"971","7","MontanaStateUniversity","ego-centric","Ego-Consistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Pass"
"975","74","MontanaStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"976","75","MontanaStateUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"977","76","MontanaStateUniversity","object-centric","Ego-Inconsistent","Yes","21","Junior","Male","White, non-Hispanic or latino","Pass"
"980","79","MontanaStateUniversity","ego-centric","Ego-Consistent","Yes","22","Senior","Male","White, non-Hispanic or latino","Pass"
"981","8","MontanaStateUniversity","ego-centric","Ego-Consistent","Yes","19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"982","80","MontanaStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"984","82","MontanaStateUniversity","object-centric","Ego-Inconsistent","Yes","23","Senior","Female","Asian-American","Fail"
"988","86","MontanaStateUniversity","ego-centric","Ego-Consistent","Yes","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"989","87","MontanaStateUniversity","object-centric","Ego-Consistent","Yes","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"990","88","MontanaStateUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"992","9","MontanaStateUniversity","object-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"994","91","MontanaStateUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"995","92","MontanaStateUniversity","ego-centric","Ego-Consistent","Yes","19","First-year","Male","White, non-Hispanic or latino","Fail"
"996","93","MontanaStateUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Pass"
"1000","97","MontanaStateUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"1001","98","MontanaStateUniversity","ego-centric","Ego-Consistent","Yes","24","First-year","Female","White, non-Hispanic or latino","Pass"
"1002","99","MontanaStateUniversity","object-centric","Ego-Consistent","Yes","18","Sophomore","Female","White, non-Hispanic or latino","Pass"
