"","Participant_ID","referrer","SRCondition","SRMeetingResponse","SRTFCorrect","age","year","Genderfactor","ethnicity","AttentionCheck"
"1956","145","OSUNewark","ego-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Fail"
"1957","146","OSUNewark","ego-centric","Ego-Consistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Fail"
"1963","151","OSUNewark","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"1964","152","OSUNewark","ego-centric","Ego-Inconsistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Fail"
"1965","153","OSUNewark","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"1966","154","OSUNewark","object-centric","Ego-Consistent","Yes","19","First-year","Male","White, non-Hispanic or latino","Pass"
"1969","157","OSUNewark","ego-centric","Ego-Consistent","Yes","19","First-year","Female","Other","Fail"
"1973","19","OSUNewark","ego-centric","Ego-Inconsistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Pass"
"1975","20","OSUNewark","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"1976","21","OSUNewark","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"1977","22","OSUNewark","object-centric","Ego-Consistent","Yes","19","First-year","Male","Asian-American","Fail"
"1980","25","OSUNewark","ego-centric","Ego-Consistent","Yes","18","First-year","Male","African-American","Pass"
"1981","26","OSUNewark","ego-centric","Ego-Inconsistent","Yes",NA,"First-year","Male","White, non-Hispanic or latino","Fail"
"1987","31","OSUNewark","ego-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Fail"
"1988","32","OSUNewark","ego-centric","Ego-Consistent","Yes","19","First-year","Male","White, non-Hispanic or latino","Fail"
"1989","33","OSUNewark","object-centric","Ego-Inconsistent","Yes","19","First-year","Male","White, non-Hispanic or latino","Pass"
"1990","34","OSUNewark","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"1993","37","OSUNewark","ego-centric","Ego-Consistent","Yes","19","First-year","Male","African-American","Fail"
"1994","38","OSUNewark","ego-centric","Ego-Inconsistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Fail"
"1995","39","OSUNewark","object-centric","Ego-Consistent","Yes","19","First-year","Male","White, non-Hispanic or latino","Fail"
"2000","43","OSUNewark","ego-centric","Ego-Consistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Fail"
"2002","45","OSUNewark","object-centric","Ego-Consistent","Yes","19","First-year","Male","White, non-Hispanic or latino","Fail"
"2006","49","OSUNewark","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2008","50","OSUNewark","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"2009","51","OSUNewark","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2010","52","OSUNewark","object-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Fail"
"2014","56","OSUNewark","ego-centric","Ego-Inconsistent","Yes","19",NA,"Female","African-American","Pass"
"2016","58","OSUNewark","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","African-American","Fail"
"2021","62","OSUNewark","ego-centric","Ego-Inconsistent","Yes","20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2026","67","OSUNewark","ego-centric","Ego-Consistent","Yes","18","First-year","Male","Asian-American","Fail"
"2027","68","OSUNewark","ego-centric","Ego-Consistent","Yes","20","First-year","Male","White, non-Hispanic or latino","Fail"
"2028","69","OSUNewark","object-centric","Ego-Consistent","Yes","18","First-year","Female","Asian-American","Pass"
"2029","7","OSUNewark","ego-centric","Ego-Consistent","Yes","18","First-year","Male","African-American","Pass"
"2030","70","OSUNewark","object-centric","Ego-Inconsistent","Yes","21","Junior","Male","White, non-Hispanic or latino","Pass"
"2033","73","OSUNewark","ego-centric","Ego-Inconsistent","Yes","19","First-year","Male","White, non-Hispanic or latino","Fail"
"2034","74","OSUNewark","ego-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Fail"
"2036","76","OSUNewark","object-centric","Ego-Inconsistent","Yes","20","First-year","Male","White, non-Hispanic or latino","Pass"
"2039","79","OSUNewark","ego-centric","Ego-Consistent","Yes","18","First-year","Male","Asian-American","Pass"
"2040","8","OSUNewark","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2041","80","OSUNewark","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"2042","81","OSUNewark","object-centric","Ego-Inconsistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Fail"
"2043","82","OSUNewark","object-centric","Ego-Inconsistent","Yes","33","First-year","Female","White, non-Hispanic or latino","Pass"
"2046","85","OSUNewark","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2047","86","OSUNewark","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"2048","87","OSUNewark","object-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Pass"
"2051","9","OSUNewark","object-centric","Ego-Consistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Fail"
"2053","91","OSUNewark","ego-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Pass"
"2054","92","OSUNewark","ego-centric","Ego-Inconsistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Fail"
"2055","93","OSUNewark","object-centric","Ego-Consistent","Yes","22","First-year","Male","Multiracial","Fail"
"2059","97","OSUNewark","ego-centric","Ego-Consistent","Yes","19","First-year","Female","African-American","Pass"
"2060","98","OSUNewark","ego-centric","Ego-Inconsistent","Yes","19","First-year","Male","African-American","Pass"
"2061","99","OSUNewark","object-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Pass"
