"","lab","r","n","ci.low","ci.high","other_lab_capture","meta_effect","meta_analysis_capture","same_size_replication_capture","same_size_replication_count","N","recruitment.methods","researcher","insitution","location","Country","USAorNot","CarnegieID","SIZESET2018","BASIC2018","IPUG2018","ENRPROFILE2018","SECTOR","OBEREG","LOCALE","HIS","MSI","ACTCAT"
"11","mercer",0.0592853237161622,92,-0.147320949378011,0.260934289758481,0.909090909090909,0.0318551557329203,TRUE,0.922,500,92,"institution participant pool, email invitations","Tanya Sharon","Mercer University","GA, USA","USA","USA",140447,"Four-year, medium, primarily residential","Doctoral Universities: High Research Activity","Professions plus arts & sciences, some graduate coexistence","Majority undergraduate","Private not-for-profit, 4-year or above","Southeast AL AR FL GA KY LA MS NC SC TN VA WV","City Midsize","No","No","More selective"
"12","michiganstate",-0.069923594606394,191,-0.209819908820147,0.0727782712938092,0.606060606060606,0.0386235360125875,TRUE,0.71,500,192,"institution participant pool","William Chopik","Michigan State University","Michigan, USA","USA","USA",171100,"Four-year, large, primarily residential","Doctoral Universities: Very High Research Activity","Balanced arts & sciences/professions, high graduate coexistence","High undergraduate","Public, 4-year or above","Great Lakes IL IN MI OH WI","City Small","No","No","More selective"
"13","mountida",-0.117122904025919,18,-0.553715178963181,0.3699780029768,0.96969696969697,0.0333287234178247,TRUE,0.908,500,18,"","Hayley M Skulborstad","Mount Ida College","MA, USA","USA","USA",166948,"Four-year, small, highly residential","Baccalaureate Colleges: Diverse Fields","Professions focus, some graduate coexistence","Very high undergraduate","Private not-for-profit, 4-year or above","New England CT ME MA NH RI VT","City Small","No","No","Inclusive"
"14","MtStMary",0.183485286218124,61,-0.0716458793188415,0.416080843266528,0.818181818181818,0.0290903116988874,TRUE,0.79,500,61,"email invitations","Caitlin Faas","Mount St. Mary's University","MD, USA","USA","USA",163462,"Four-year, small, highly residential","Master's Colleges & Universities: Medium Programs","Balanced arts & sciences/professions, some graduate coexistence","High undergraduate","Private not-for-profit, 4-year or above","Mid East DE DC MD NJ NY PA","Town Fringe","No","No","Selective"
"15","none",-0.0322195488435216,65,-0.273965748905008,0.213356182557398,0.818181818181818,0.0339664207125035,TRUE,0.92,500,66,"responded to open link, not directly recruited","unknown","various","various",NA,"NotUSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Norco",-0.0796384862307688,100,-0.271804911469314,0.118635378425316,0.666666666666667,0.0361025025234125,TRUE,0.814,500,103,"","Laura Adams","Norco College","CA, USA","USA","USA",460464,"Two-year, medium","Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional","Associate's Colleges: High Transfer","Exclusively undergraduate two-year","Public, 2-year","Far West AK CA HI NV OR WA","Suburb Large","Yes","Yes","Inclusive"
"17","northwestnazarene",-0.0286230371745457,78,-0.249564192541785,0.195150732622123,0.787878787878788,0.0341795856484443,TRUE,0.898,500,79,"","Elizabeth List","Northwest Nazarene University","Idaho, USA","USA","USA",142461,"Four-year, small, highly residential","Master's Colleges & Universities: Larger Programs","Professions plus arts & sciences, some graduate coexistence","Majority undergraduate","Private not-for-profit, 4-year or above","Rocky Mountains CO ID MT UT WY","Suburb Midsize","No","No","Selective"
"18","OhioWesleyan",0.119717517216595,78,-0.105627235994621,0.333367097195611,0.909090909090909,0.0301906891004853,TRUE,0.886,500,78,"institution participant pool, email to department and psyc alumni","Vicki DiLillo","Ohio Wesleyan University","Delaware, OH","USA","USA",204909,"Four-year, small, highly residential","Baccalaureate Colleges: Arts & Sciences Focus","Arts & sciences plus professions, no graduate coexistence","Exclusively undergraduate four-year","Private not-for-profit, 4-year or above","Great Lakes IL IN MI OH WI","Suburb Large","No","No","Inclusive"
"19","OSUmansfield",0.169045938300389,41,-0.14620837353535,0.453130403562094,0.939393939393939,0.030502114141746,TRUE,0.858,500,41,"email invitations","Amy Brunell","Ohio State University-Mansfield Campus","OH, USA","USA","USA",204680,"Four-year, very small, primarily nonresidential","Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's","Baccalaureate/Associates Colleges","Very high undergraduate","Public, 4-year or above","Great Lakes IL IN MI OH WI","Rural Fringe","No","No","Inclusive"
"20","paradise",0.0595894723098739,136,-0.10984525282415,0.225658800701192,0.787878787878788,0.0315648686667311,TRUE,0.93,500,136,"institution participant pool","Julie Lazzara","Paradise Valley Community College","Phoenix, AZ USA","USA","USA",364016,"Two-year, medium","Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional","Associate's Colleges: High Transfer","Exclusively undergraduate two-year","Public, 2-year","Southwest AZ NM OK TX","City Large","No","No","Inclusive"
"21","plu",0.11114102680991,178,-0.0365410087236291,0.254072363706468,0.696969696969697,0.0274402691172066,TRUE,0.83,500,178,"email invitations","Jon Grahe","Pacific Lutheran University","WA, USA","USA","USA",236230,"Four-year, small, highly residential","Master's Colleges & Universities: Medium Programs","Arts & sciences plus professions, some graduate coexistence","Very high undergraduate","Private not-for-profit, 4-year or above","Far West AK CA HI NV OR WA","Suburb Large","No","No","Selective"
"22","reed",0.196550364123484,71,-0.0385197280512507,0.411006988887531,0.727272727272727,0.0280453043268944,TRUE,0.716,500,71,"email invitations","Kathy Oleson","Reed College","Oregon, USA","USA","USA",209922,"Four-year, small, highly residential","Baccalaureate Colleges: Arts & Sciences Focus","Arts & sciences focus, no graduate coexistence","Very high undergraduate","Private not-for-profit, 4-year or above","Far West AK CA HI NV OR WA","City Large","No","No","More selective"
"23","riversidecc",0.0178786030004044,113,-0.167404107816375,0.201941472043186,0.818181818181818,0.033302975138542,TRUE,0.948,500,113,"","Marc Wolpoff","Riverside City College","California, USA","USA","USA",121901,"Two-year, very large","Associate's Colleges: High Transfer-High Traditional","Associate's Colleges: High Transfer","Exclusively undergraduate two-year","Public, 2-year","Far West AK CA HI NV OR WA","City Large","Yes","Yes","Inclusive"
"24","samaug",-0.0931582354799556,129,-0.261796950643621,0.0810004813165069,0.606060606060606,0.0374644436161505,TRUE,0.728,500,129,"institution participant pool","Dana C. Leighton","Southern Arkansas University Main Campus","Arkansas, USA","USA","USA",107983,"Four-year, medium, highly residential","Master's Colleges & Universities: Larger Programs","Professions plus arts & sciences, some graduate coexistence","High undergraduate","Public, 4-year or above","Southeast AL AR FL GA KY LA MS NC SC TN VA WV","Town Remote","No","No","Selective"
"25","snevada",0.299009286399192,95,0.103716575642011,0.472101906982693,0.303030303030303,0.0221129836197342,FALSE,0.212,500,96,"institution participant pool, email invitations","Danielle Richards","College of Southern Nevada","Las Vegas, NV","USA","USA",182005,"Four-year, large, primarily nonresidential","Baccalaureate/Associate's Colleges: Associate's Dominant","Baccalaureate/Associates Colleges","Exclusively undergraduate four-year","Public, 4-year or above","Far West AK CA HI NV OR WA","City Large","Yes","Yes","Inclusive"
"26","StGeorges",0.0314197454897244,81,-0.188220944987673,0.248067288092019,0.878787878787879,0.0326953195787917,TRUE,0.938,500,82,"","Barbara Landon","St. Georges University","True Blue, Grenada","Grenada","NotUSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","stmartin",-0.0407727561223614,73,-0.268323035163297,0.191087008255594,0.787878787878788,0.0343418374126679,TRUE,0.918,500,73,"","Robert Hauhart","Saint Martin's University","WA, USA","USA","USA",236452,"Four-year, small, highly residential","Master's Colleges & Universities: Medium Programs","Professions plus arts & sciences, some graduate coexistence","Very high undergraduate","Private not-for-profit, 4-year or above","Far West AK CA HI NV OR WA","Suburb Midsize","No","No","Selective"
"28","stockton",0.0256047074880687,144,-0.138551515636806,0.188391590311739,0.787878787878788,0.0331740564858802,TRUE,0.936,500,144,"institution participant pool","Elizabeth Shobe","Stockton University","New Jersey","USA","USA",186876,"Four-year, medium, primarily residential","Master's Colleges & Universities: Larger Programs","Balanced arts & sciences/professions, some graduate coexistence","Very high undergraduate","Public, 4-year or above","Mid East DE DC MD NJ NY PA","Suburb Midsize","No","No","Selective"
"29","SUNYfredonia",0.0380559742846406,169,-0.113556428444197,0.187936321972189,0.757575757575758,0.0326099663963838,TRUE,0.944,500,169,"institution participant pool","Joseph McFall","SUNY at Fredonia","New York, USA","USA","USA",196158,"Four-year, medium, highly residential","Master's Colleges & Universities: Medium Programs","Balanced arts & sciences/professions, some graduate coexistence","Very high undergraduate","Public, 4-year or above","Mid East DE DC MD NJ NY PA","Town Distant","No","No","Selective"
"30","swansea",-0.059158549713954,184,-0.202090090669281,0.0862405059902406,0.606060606060606,0.0377773339216212,TRUE,0.784,500,187,"","Adrew Kemp","Swansea University","England","England","NotUSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","tennknox",0.115323776798811,86,-0.0989697988401472,0.319394919180979,0.909090909090909,0.0300949315443539,TRUE,0.886,500,86,"institution participant pool","Jerika Norona","The University of Tennessee-Knoxville","TN, USA","USA","USA",221759,"Four-year, large, primarily residential","Doctoral Universities: Very High Research Activity","Professions plus arts & sciences, high graduate coexistence","High undergraduate","Public, 4-year or above","Southeast AL AR FL GA KY LA MS NC SC TN VA WV","City Midsize","No","No","More selective"
"32","trinitycollege",-0.481567589749572,14,-0.806164171667965,0.0658328596312961,0.636363636363636,0.0358286261822965,TRUE,0.576,500,14,"recruited spanish speaking respondents from local hispanic serving community organizations","debbie haris-obrien","Trinity College","Washington DC","USA","USA",130590,"Four-year, small, highly residential","Baccalaureate Colleges: Arts & Sciences Focus","Arts & sciences focus, some graduate coexistence","Very high undergraduate","Private not-for-profit, 4-year or above","New England CT ME MA NH RI VT","City Midsize","No","No","More selective"
"33","willamette",0.0199584336011603,127,-0.15479443304107,0.193500261724255,0.787878787878788,0.0333221813972527,TRUE,0.928,500,127,"","Erik Noftle","Willamette University","Willamette, OR","USA","USA",210401,"Four-year, small, highly residential","Baccalaureate Colleges: Arts & Sciences Focus","Arts & sciences focus, no graduate coexistence","High undergraduate","Private not-for-profit, 4-year or above","Far West AK CA HI NV OR WA","City Midsize","No","No","Inclusive"
