study.labels,source.Source,loc,dens,offset,offset_dens,offset_fix,offset_densN,tsize,relSize
"Affect & Risk (Rottenstreich & Hsee, 2001)",brasilia,-0.08978,0.337043610050653,1,1.33704361005065,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",cas,-0.1118,0.315268477487853,1,1.31526847748785,1.2,1,3,1.16666666666667
"Affect & Risk (Rottenstreich & Hsee, 2001)",doshisha,0.07662,0.255621375687417,1,1.25562137568742,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",eindhoven,0.04689,0.362861029876792,1,1.36286102987679,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",elte,-0.00052,0.449922467002476,1,1.44992246700248,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",hawaiion,-0.07667,0.35296706488506,1,1.35296706488506,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",hkust,0.05232,0.344642138076061,1,1.34464213807606,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",hunancomp,-0.15892,0.262782144203872,1,1.26278214420387,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",ithaca,0.10399,0.15960888108061,1,1.15960888108061,1.2,1,3,1.16666666666667
"Affect & Risk (Rottenstreich & Hsee, 2001)",johannesburg,-0.30585,0.0401924278508931,1,1.04019242785089,1.2,1,3,1.16666666666667
"Affect & Risk (Rottenstreich & Hsee, 2001)",koc,-0.1608,0.259819471715245,1,1.25981947171525,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",lausanne,0.02654,0.418898204437446,1,1.41889820443745,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",leuven,-0.15943,0.261992335713732,1,1.26199233571373,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",lundon,0.00791,0.446254488741175,1,1.44625448874118,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",marian,-0.04062,0.40960111536701,1,1.40960111536701,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",mturk,-0.01156,0.446874340859635,1,1.44687434085963,1.2,3,3,1.5
"Affect & Risk (Rottenstreich & Hsee, 2001)",mturk_india,-0.05108,0.391990630644983,1,1.39199063064498,1.2,3,3,1.5
"Affect & Risk (Rottenstreich & Hsee, 2001)",navarra,-0.07081,0.361018698023358,1,1.36101869802336,1.2,1,3,1.16666666666667
"Affect & Risk (Rottenstreich & Hsee, 2001)",ntnu,0.04184,0.378785554904044,1,1.37878555490404,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",occid,0.02042,0.430744470147028,1,1.43074447014703,1.2,1,3,1.16666666666667
"Affect & Risk (Rottenstreich & Hsee, 2001)",plu,-0.24673,0.101280090083033,1,1.10128009008303,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",poitiers,-0.20708,0.16987278024675,1,1.16987278024675,1.2,1,3,1.16666666666667
"Affect & Risk (Rottenstreich & Hsee, 2001)",potsdam,-0.09409,0.332381546969584,1,1.33238154696958,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",pscio,-0.20519,0.17369077600383,1,1.17369077600383,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",psuabington,0.03327,0.402940039185065,1,1.40294003918507,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",psumain,-0.05944,0.378251964957915,1,1.37825196495791,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",purkyne,-0.00675,0.449212775041449,1,1.44921277504145,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",sandiegosu,-0.12964,0.298813542154459,1,1.29881354215446,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",santiagoon,-0.09527,0.331143358470952,1,1.33114335847095,1.2,1,3,1.16666666666667
"Affect & Risk (Rottenstreich & Hsee, 2001)",swps,0.00895,0.445435873613855,1,1.44543587361385,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",tamu,-0.13736,0.290897047859495,1,1.29089704785949,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",tilburg,0.16909,0.0410895615726857,1,1.04108956157269,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",tilburgcaf,-0.08219,0.345921216238675,1,1.34592121623867,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",tilburgcomm,0.24309,0.0233695836418309,1,1.02336958364183,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",toronto,0.0234,0.425297929934805,1,1.42529792993481,1.2,3,3,1.5
"Affect & Risk (Rottenstreich & Hsee, 2001)",tufts,-0.02716,0.430500074302542,1,1.43050007430254,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",ubc,0.08258,0.233505262919715,1,1.23350526291971,1.2,1,3,1.16666666666667
"Affect & Risk (Rottenstreich & Hsee, 2001)",ucron,0.09466,0.190366602802303,1,1.1903666028023,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",udd,-0.25613,0.0887259035194173,1,1.08872590351942,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",ufl,0.07407,0.26515819818482,1,1.26515819818482,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",uiuc,-0.14973,0.276026396120755,1,1.27602639612076,1.2,3,3,1.5
"Affect & Risk (Rottenstreich & Hsee, 2001)",umich,-0.05315,0.388530152888264,1,1.38853015288826,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",unam,-0.01561,0.443794046334375,1,1.44379404633437,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",unibelgrade,0.04921,0.355203053067146,1,1.35520305306715,1.2,1,3,1.16666666666667
"Affect & Risk (Rottenstreich & Hsee, 2001)",uniporto,-0.13299,0.295476812056863,1,1.29547681205686,1.2,1,3,1.16666666666667
"Affect & Risk (Rottenstreich & Hsee, 2001)",uva,-0.02009,0.439350625385702,1,1.4393506253857,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",vuamsterdam,-0.01712,0.442402569031487,1,1.44240256903149,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",vuw,0.00339,0.448884224096146,1,1.44888422409615,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",washlee,-0.00344,0.449927604523024,1,1.44992760452302,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",wilfredlaur,-0.03105,0.424878120205095,1,1.42487812020509,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",williampat,-0.08275,0.345233947974537,1,1.34523394797454,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",winchester,-0.09713,0.329239105436097,1,1.3292391054361,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",wpi,0.02584,0.420395615399214,1,1.42039561539921,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",wroclaw,-0.21001,0.164020360475783,1,1.16402036047578,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",zhejiang,-0.15027,0.275303155835192,1,1.27530315583519,1.2,2,3,1.33333333333333
"Choosing or Rejecting (Shafir, 1993)",amity,-0.14916,0.201971922505649,2,2.20197192250565,2.2,2,4,2.33333333333333
"Choosing or Rejecting (Shafir, 1993)",aus2,-0.02264,0.449218026204288,2,2.44921802620429,2.2,2,4,2.33333333333333
"Choosing or Rejecting (Shafir, 1993)",bogota,-0.09805,0.341021111769975,2,2.34102111176997,2.2,2,4,2.33333333333333
"Choosing or Rejecting (Shafir, 1993)",brookcuny,-0.11004,0.30849390066753,2,2.30849390066753,2.2,2,4,2.33333333333333
"Choosing or Rejecting (Shafir, 1993)",carleton,-0.08905,0.360113236113646,2,2.36011323611365,2.2,2,4,2.33333333333333
"Choosing or Rejecting (Shafir, 1993)",csunorthonline,-0.13726,0.229375543189282,2,2.22937554318928,2.2,2,4,2.33333333333333
"Choosing or Rejecting (Shafir, 1993)",georgefox,0.01389,0.358812030393363,2,2.35881203039336,2.2,2,4,2.33333333333333
"Choosing or Rejecting (Shafir, 1993)",hawaiion,0.00742,0.389295657497792,2,2.38929565749779,2.2,2,4,2.33333333333333
"Choosing or Rejecting (Shafir, 1993)",help,-0.08897,0.360261764141878,2,2.36026176414188,2.2,2,4,2.33333333333333
"Choosing or Rejecting (Shafir, 1993)",isb,-0.01979,0.449975941728615,2,2.44997594172861,2.2,2,4,2.33333333333333
"Choosing or Rejecting (Shafir, 1993)",jmu,-0.07155,0.38435611271981,2,2.38435611271981,2.2,2,4,2.33333333333333
"Choosing or Rejecting (Shafir, 1993)",kenyon,0.12906,0.092398031267321,2,2.09239803126732,2.2,2,4,2.33333333333333
"Choosing or Rejecting (Shafir, 1993)",krakowon,-0.04578,0.417965028715133,2,2.41796502871513,2.2,2,4,2.33333333333333
"Choosing or Rejecting (Shafir, 1993)",loyola,-0.08657,0.364477063576155,2,2.36447706357616,2.2,3,4,2.5
"Choosing or Rejecting (Shafir, 1993)",lse,-0.01895,0.44995843699313,2,2.44995843699313,2.2,2,4,2.33333333333333
"Choosing or Rejecting (Shafir, 1993)",mcdanielonline,-0.13204,0.24318906600947,2,2.24318906600947,2.2,2,4,2.33333333333333
"Choosing or Rejecting (Shafir, 1993)",metu,0.0107,0.374350545091195,2,2.3743505450912,2.2,2,4,2.33333333333333
"Choosing or Rejecting (Shafir, 1993)",moralsense,-0.00868,0.440544474919529,2,2.44054447491953,2.2,3,4,2.5
"Choosing or Rejecting (Shafir, 1993)",mturk,-0.04245,0.423526212991585,2,2.42352621299158,2.2,3,4,2.5
"Choosing or Rejecting (Shafir, 1993)",mturk_india,-0.10504,0.322853109196453,2,2.32285310919645,2.2,3,4,2.5
"Choosing or Rejecting (Shafir, 1993)",northumbria,-0.16376,0.174733113758327,2,2.17473311375833,2.2,1,4,2.16666666666667
"Choosing or Rejecting (Shafir, 1993)",ouhk,0.08387,0.123183794981147,2,2.12318379498115,2.2,1,4,2.16666666666667
"Choosing or Rejecting (Shafir, 1993)",pascal,-0.28827,0.0320748874586532,2,2.03207488745865,2.2,2,4,2.33333333333333
"Choosing or Rejecting (Shafir, 1993)",psualtoona,-0.19491,0.122087172913469,2,2.12208717291347,2.2,2,4,2.33333333333333
"Choosing or Rejecting (Shafir, 1993)",puc,-0.05521,0.403565126003062,2,2.40356512600306,2.2,2,4,2.33333333333333
"Choosing or Rejecting (Shafir, 1993)",queensland2,-0.17721,0.152434519309877,2,2.15243451930988,2.2,2,4,2.33333333333333
"Choosing or Rejecting (Shafir, 1993)",salford,-0.07146,0.384454664735821,2,2.38445466473582,2.2,2,4,2.33333333333333
"Choosing or Rejecting (Shafir, 1993)",seznam,-0.09201,0.354413486028227,2,2.35441348602823,2.2,2,4,2.33333333333333
"Choosing or Rejecting (Shafir, 1993)",seznamon,-0.06499,0.391530587229901,2,2.3915305872299,2.2,2,4,2.33333333333333
"Choosing or Rejecting (Shafir, 1993)",simmons,0.07178,0.137360351183738,2,2.13736035118374,2.2,2,4,2.33333333333333
"Choosing or Rejecting (Shafir, 1993)",tamu,-0.0089,0.440933806393597,2,2.4409338063936,2.2,2,4,2.33333333333333
"Choosing or Rejecting (Shafir, 1993)",tilburgcaf,0.15885,0.0611984125572035,2,2.0611984125572,2.2,2,4,2.33333333333333
"Choosing or Rejecting (Shafir, 1993)",ulatina,-0.21233,0.0896848217190417,2,2.08968482171904,2.2,3,4,2.5
"Choosing or Rejecting (Shafir, 1993)",umich,-0.0279,0.445179781003204,2,2.4451797810032,2.2,2,4,2.33333333333333
"Choosing or Rejecting (Shafir, 1993)",unswonline,0.11144,0.104637674828277,2,2.10463767482828,2.2,2,4,2.33333333333333
"Choosing or Rejecting (Shafir, 1993)",vcu,0.04002,0.227108640961699,2,2.2271086409617,2.2,2,4,2.33333333333333
"Choosing or Rejecting (Shafir, 1993)",vuw,-0.00646,0.436067127642916,2,2.43606712764292,2.2,2,4,2.33333333333333
"Choosing or Rejecting (Shafir, 1993)",westernkentucky,0.04105,0.222673637991054,2,2.22267363799105,2.2,2,4,2.33333333333333
"Choosing or Rejecting (Shafir, 1993)",yale,-0.00385,0.429693042501991,2,2.42969304250199,2.2,3,4,2.5
"Incidental Disfluency (Alter et al., 2007)",aus,-0.1019,0.36032182338883,3,3.36032182338883,3.2,2,5,3.33333333333333
"Incidental Disfluency (Alter et al., 2007)",badaniaon,0.05928,0.287407378578332,3,3.28740737857833,3.2,1,5,3.16666666666667
"Incidental Disfluency (Alter et al., 2007)",bc,-0.03801,0.44997922363886,3,3.44997922363886,3.2,1,5,3.16666666666667
"Incidental Disfluency (Alter et al., 2007)",bilgi,-0.10332,0.355638052909274,3,3.35563805290927,3.2,2,5,3.33333333333333
"Incidental Disfluency (Alter et al., 2007)",brasilia,-0.11754,0.302237366622857,3,3.30223736662286,3.2,2,5,3.33333333333333
"Incidental Disfluency (Alter et al., 2007)",cas,-0.01821,0.440019235233083,3,3.44001923523308,3.2,1,5,3.16666666666667
"Incidental Disfluency (Alter et al., 2007)",castab,-0.20421,0.078073654656946,3,3.07807365465695,3.2,1,5,3.16666666666667
"Incidental Disfluency (Alter et al., 2007)",doshisha,-0.0167,0.438493411375259,3,3.43849341137526,3.2,2,5,3.33333333333333
"Incidental Disfluency (Alter et al., 2007)",eindhoven,0.06301,0.276814210822533,3,3.27681421082253,3.2,2,5,3.33333333333333
"Incidental Disfluency (Alter et al., 2007)",elte,-0.11933,0.294876674559488,3,3.29487667455949,3.2,2,5,3.33333333333333
"Incidental Disfluency (Alter et al., 2007)",eltetab,-0.05803,0.442288610355176,3,3.44228861035518,3.2,2,5,3.33333333333333
"Incidental Disfluency (Alter et al., 2007)",hawaiion,-0.03473,0.44964676164606,3,3.44964676164606,3.2,2,5,3.33333333333333
"Incidental Disfluency (Alter et al., 2007)",hkust,0.02261,0.37281859365557,3,3.37281859365557,3.2,2,5,3.33333333333333
"Incidental Disfluency (Alter et al., 2007)",hunancomp,-0.09408,0.383685888046532,3,3.38368588804653,3.2,2,5,3.33333333333333
"Incidental Disfluency (Alter et al., 2007)",ithaca,-0.00165,0.417994856218951,3,3.41799485621895,3.2,1,5,3.16666666666667
"Incidental Disfluency (Alter et al., 2007)",johannesburg,-0.01178,0.43276577299985,3,3.43276577299985,3.2,1,5,3.16666666666667
"Incidental Disfluency (Alter et al., 2007)",koc,0.12215,0.105116675967902,3,3.1051166759679,3.2,2,5,3.33333333333333
"Incidental Disfluency (Alter et al., 2007)",lausanne,-0.03509,0.449720694431927,3,3.44972069443193,3.2,2,5,3.33333333333333
"Incidental Disfluency (Alter et al., 2007)",leuven,0.0692,0.258437656136664,3,3.25843765613666,3.2,2,5,3.33333333333333
"Incidental Disfluency (Alter et al., 2007)",lundon,-0.02854,0.447617218650382,3,3.44761721865038,3.2,2,5,3.33333333333333
"Incidental Disfluency (Alter et al., 2007)",marian,-0.00738,0.426799542374615,3,3.42679954237462,3.2,1,5,3.16666666666667
"Incidental Disfluency (Alter et al., 2007)",mturk,0.05351,0.302984831000032,3,3.30298483100003,3.2,3,5,3.5
"Incidental Disfluency (Alter et al., 2007)",mturk_india,0.01382,0.390177158360541,3,3.39017715836054,3.2,3,5,3.5
"Incidental Disfluency (Alter et al., 2007)",navarra,-0.23455,0.065361849676773,3,3.06536184967677,3.2,1,5,3.16666666666667
"Incidental Disfluency (Alter et al., 2007)",ntnu,-0.04542,0.449010027236268,3,3.44901002723627,3.2,1,5,3.16666666666667
"Incidental Disfluency (Alter et al., 2007)",ntnutab,-0.2896,0.0348825430332497,3,3.03488254303325,3.2,1,5,3.16666666666667
"Incidental Disfluency (Alter et al., 2007)",occid,-0.03548,0.449782905403804,3,3.4497829054038,3.2,1,5,3.16666666666667
"Incidental Disfluency (Alter et al., 2007)",occidtab,0.03723,0.342025825976446,3,3.34202582597645,3.2,1,5,3.16666666666667
"Incidental Disfluency (Alter et al., 2007)",ouhktab,-0.24656,0.0600410339487046,3,3.0600410339487,3.2,1,5,3.16666666666667
"Incidental Disfluency (Alter et al., 2007)",plu,0.05028,0.311268704250784,3,3.31126870425078,3.2,2,5,3.33333333333333
"Incidental Disfluency (Alter et al., 2007)",poitiers,0.33303,0.0183860748461307,3,3.01838607484613,3.2,1,5,3.16666666666667
"Incidental Disfluency (Alter et al., 2007)",potsdam,-0.00327,0.420599283570198,3,3.4205992835702,3.2,2,5,3.33333333333333
"Incidental Disfluency (Alter et al., 2007)",pscio,-0.09033,0.393345484103302,3,3.3933454841033,3.2,2,5,3.33333333333333
"Incidental Disfluency (Alter et al., 2007)",psuabington,-0.16486,0.128332815937017,3,3.12833281593702,3.2,2,5,3.33333333333333
"Incidental Disfluency (Alter et al., 2007)",psuabingtontab,-0.00508,0.423398570365255,3,3.42339857036525,3.2,1,5,3.16666666666667
"Incidental Disfluency (Alter et al., 2007)",psumain,0.04684,0.319791078945523,3,3.31979107894552,3.2,1,5,3.16666666666667
"Incidental Disfluency (Alter et al., 2007)",purkyne,-0.0515,0.446526641446282,3,3.44652664144628,3.2,2,5,3.33333333333333
"Incidental Disfluency (Alter et al., 2007)",sandiegosu,0.00843,0.400372025745045,3,3.40037202574504,3.2,2,5,3.33333333333333
"Incidental Disfluency (Alter et al., 2007)",santiagoon,0.21545,0.0411526841316536,3,3.04115268413165,3.2,1,5,3.16666666666667
"Incidental Disfluency (Alter et al., 2007)",swps,-0.03671,0.44991608445103,3,3.44991608445103,3.2,2,5,3.33333333333333
"Incidental Disfluency (Alter et al., 2007)",tamu,-0.09279,0.38714507893274,3,3.38714507893274,3.2,2,5,3.33333333333333
"Incidental Disfluency (Alter et al., 2007)",tilburg,-0.06659,0.43428206629076,3,3.43428206629076,3.2,2,5,3.33333333333333
"Incidental Disfluency (Alter et al., 2007)",tilburgcaf,0.22145,0.039805147939683,3,3.03980514793968,3.2,1,5,3.16666666666667
"Incidental Disfluency (Alter et al., 2007)",tilburgcomm,-0.07525,0.422949630606058,3,3.42294963060606,3.2,2,5,3.33333333333333
"Incidental Disfluency (Alter et al., 2007)",toronto,0.06072,0.283373532596785,3,3.28337353259679,3.2,3,5,3.5
"Incidental Disfluency (Alter et al., 2007)",tufts,-0.08568,0.404013734922787,3,3.40401373492279,3.2,2,5,3.33333333333333
"Incidental Disfluency (Alter et al., 2007)",ubc,0.07787,0.231380232544386,3,3.23138023254439,3.2,1,5,3.16666666666667
"Incidental Disfluency (Alter et al., 2007)",ubctab,-0.06161,0.439302992629767,3,3.43930299262977,3.2,1,5,3.16666666666667
"Incidental Disfluency (Alter et al., 2007)",ucron,0.08698,0.202239823408272,3,3.20223982340827,3.2,2,5,3.33333333333333
"Incidental Disfluency (Alter et al., 2007)",udd,-0.0646,0.436389018666387,3,3.43638901866639,3.2,2,5,3.33333333333333
"Incidental Disfluency (Alter et al., 2007)",ufl,-0.10976,0.332774840512276,3,3.33277484051228,3.2,2,5,3.33333333333333
"Incidental Disfluency (Alter et al., 2007)",uiuc,-0.02648,0.4464972749462,3,3.4464972749462,3.2,2,5,3.33333333333333
"Incidental Disfluency (Alter et al., 2007)",umich,-0.13781,0.217390441023946,3,3.21739044102395,3.2,2,5,3.33333333333333
"Incidental Disfluency (Alter et al., 2007)",unam,-0.09026,0.39351795353021,3,3.39351795353021,3.2,2,5,3.33333333333333
