study.id,study.slate,study.name,study.analysis,testInfo.statistic,testInfo.estimate,df1,df2,N,n1,n2,esType,test.alternative,ESCI.ncp,ESCI.ncp.lo,ESCI.ncp.hi,ESCI.N.total,ESCI.n.1,ESCI.n.2,ESCI.d,ESCI.var.d,ESCI.l.d,ESCI.u.d,ESCI.U3.d,ESCI.cl.d,ESCI.cliffs.d,ESCI.pval.d,ESCI.g,ESCI.var.g,ESCI.l.g,ESCI.u.g,ESCI.U3.g,ESCI.cl.g,ESCI.pval.g,ESCI.r,ESCI.var.r,ESCI.l.r,ESCI.u.r,ESCI.pval.r,ESCI.fisher.z,ESCI.var.z,ESCI.l.z,ESCI.u.z,ESCI.OR,ESCI.l.or,ESCI.u.or,ESCI.pval.or,ESCI.lOR,ESCI.l.lor,ESCI.u.lor,ESCI.pval.lor,ESCI.cohensQ,ESCI.cohensQ.l,ESCI.cohensQ.u,ESCI.bootR1,ESCI.bootR2,ESCI.bootCI.l,ESCI.bootCI.u,testInfo.p.value,study.analysis.ori,oriWEIRD,offset,offset_dens,offset_fix,study.labels,usethisES,oriWEIRD.n
9,1,Critcher,Critcher.1,2.12,,197.5,197.5,200,100,100,t,two.sided,2.12,0.146277963096764,4.08841565931112,200,100,100,0.29981,0.02022,0.02069,0.57819,61.78402,58.39465,0.16789,0.03627,0.29868,0.02007,0.02061,0.576,61.74064,58.36328,0.03627,0.14898,0.0048,0.01039,0.27901,0.0364,0.1501,0.00508,0.0104,0.28661,1.72254,1.03823,2.85399,0.03627,0.5438,0.03752,1.04872,0.03627,,,,,,,,,9.Critcher.WEIRD,WEIRD,11,11.3923822102909,10.8,"Incidental Anchors (Critcher & Gilovich, 2008)",0.14898,24
10,1,vanLange,vanLange.1,4.82,,1,1,536,307,229,f,two.sided,4.82,1,29.2390160125699,536,307,229,0.1917,0.00766,0.08732,0.47215,57.60109,55.3912,0.10782,0.02892,0.19143,0.00764,0.08719,0.47148,57.59053,55.38367,0.02892,0.09441,0.00182,0.04315,0.22744,0.02925,0.09469,0.00188,0.04318,0.23149,1.41581,1.1716,2.35462,0.02892,0.3477,0.15837,0.85638,0.02892,,,,,,,,,10.vanLange.WEIRD,WEIRD,10,10.3892767787368,9.8,"Social Value Orientation (Van Lange et al., 1997)",0.09441,24
11,1,Hauser,Hauser.1,1615.96,,1,1,2646,2646,,X2,,1615.96,1462.22425595412,1777.37866255918,2646,,,2.50459,0.00388,2.22239,2.86037,99.38703,96.17205,0.92344,0,2.50388,0.00388,2.22176,2.85956,99.3858,96.16787,0,0.78148,6e-05,0.74338,0.81959,0,1.04917,0.00038,0.958,1.15556,93.95527,56.31544,179.13549,0,4.54282,4.03097,5.18814,0,,,,,,,,,11.Hauser.WEIRD,WEIRD,23,23.4475506582049,22.8,"Trolley Dilemma 1 (Hauser et al., 2007)",0.78148,24
12,1,Anderson,Anderson.1,3.05,,181,181,116,58,58,t,two.sided,3.05,1.06093743019267,5.03084320125099,116,58,58,0.56637,0.03587,0.19701,0.9342,71.44291,65.56002,0.3112,0.00341,0.56264,0.03539,0.19571,0.92804,71.31588,65.46274,0.00341,0.27467,0.00743,0.09888,0.42624,0.00335,0.28191,0.00885,0.0992,0.45529,2.79347,1.42952,5.4437,0.00341,1.02728,0.35734,1.69446,0.00341,,,,,,,,,12.Anderson.WEIRD,WEIRD,6,6.41479313321288,5.8,"SMS & Well-Being (Anderson et al., 2012)",0.27467,24
13,1,Ross,Ross.1,17.7,,1,1,80,53,27,f,two.sided,17.7,1,93.9466716578213,80,53,27,0.99475,0.06209,0.23644,2.29174,84.00699,75.90939,0.51819,0.00015,0.98515,0.0609,0.23416,2.26964,83.77247,75.69753,0.00015,0.42564,0.00762,0.11111,0.73491,0.00015,0.45456,0.01299,0.11157,0.93932,6.07552,1.5355,63.86437,0.00015,1.80427,0.42886,4.15676,0.00015,,,,,,,,,13.Ross.WEIRD,WEIRD,22,22.3534050229426,21.8,"False Consensus 1 (Ross et al., 1977)",0.42564,24
14,2,Ross,Ross.2,12.8,,1,1,80,37,43,f,two.sided,12.8,1,69.3296295176752,80,37,43,0.80226,0.05431,0.22424,1.86711,78.87986,71.47391,0.42948,0.00093,0.79452,0.05326,0.22208,1.8491,78.65538,71.28776,0.00093,0.37139,0.00865,0.11111,0.68138,0.00099,0.39004,0.01299,0.11157,0.83168,4.28507,1.50189,29.56403,0.00093,1.45514,0.40672,3.38656,0.00093,,,,,,,,,14.Ross.WEIRD,WEIRD,20,20.4233108760671,19.8,"False Consensus 2 (Ross et al., 1977)",0.37139,24
15,2,Giessner,Giessner.1,2.2,,62,62,64,32,32,t,two.sided,2.2,0.193768045058125,4.18916040624257,64,32,32,0.55,0.06486,0.04844,1.04729,70.88403,65.13282,0.30266,0.03468,0.54332,0.0633,0.04785,1.03457,70.65452,64.95794,0.03468,0.26909,0.01366,0.0246,0.46969,0.03507,0.27589,0.01639,0.02461,0.50967,2.71174,1.09184,6.68305,0.03468,0.99759,0.08786,1.89957,0.03468,,,,,,,,,15.Giessner.WEIRD,WEIRD,8,8.43349053944733,7.8,"Position & Power (Giessner & Schubert, 2007)",0.26909,24
16,2,Tversky,Tversky.1,,7.15126957802936,,,181,93,88,OR,two.sided,7.15126957802936,3.6577,13.9639,181,93,88,1.08462,0.03405,0.71498,1.45357,86.09558,77.84428,0.55689,0,1.08007,0.03377,0.71198,1.44747,85.99451,77.7485,0,0.47658,0.00393,0.33651,0.58777,0,0.51855,0.00562,0.35016,0.67425,7.15127,3.6577,13.9639,0,1.96729,1.29683,2.63648,0,,,,,,,,6.16635277091466e-10,16.Tversky.WEIRD,WEIRD,17,17.351008860906,16.8,"Framing (Tversky & Kahneman, 1981)",0.47658,24
17,2,Hauser,Hauser.4,72.35,,1,1,2612,2612,,X2,,72.35,42.8490208631411,109.533896984979,2612,,,0.3375,0.00158,0.25824,0.41835,63.21316,59.43121,0.18862,0,0.33741,0.00157,0.25817,0.41823,63.2095,59.42855,0,0.16643,0.00036,0.12808,0.20478,0,0.16799,0.00038,0.12879,0.20772,1.84442,1.59743,2.13571,0,0.61216,0.46839,0.7588,0,,,,,,,,,17.Hauser.WEIRD,WEIRD,13,13.4498305229072,12.8,"Trolley Dilemma 2 (Hauser et al., 2007)",0.16643,24
18,2,Risen,Risen.3,2.15,,116,116,120,60,60,t,two.sided,2.15,0.166105801229755,4.12480889967118,120,60,60,0.39253,0.03398,0.03033,0.75308,65.26683,60.93264,0.21865,0.03528,0.39003,0.03354,0.03013,0.74829,65.17444,60.86476,0.03528,0.19416,0.00778,0.01529,0.35499,0.03549,0.19665,0.00855,0.01529,0.37114,2.03802,1.05655,3.91942,0.03528,0.71198,0.05501,1.36594,0.03528,,,,,,,,,18.Risen.WEIRD,WEIRD,14,14.4368459544875,13.8,"Tempting Fate (Risen & Gilovich, 2008)",0.19416,24
19,2,Savani,Savani.2a,0.39,,88,88,90,45,45,t,two.sided,0.39,-1.57191373798343,2.34970285220683,90,45,45,0.08222,0.04448,-0.33139,0.49536,53.27638,52.31806,0.04636,0.6976,0.08152,0.04372,-0.32856,0.49113,53.24844,52.29827,0.6976,0.04154,0.0112,-0.16526,0.24297,0.6992,0.04156,0.01149,-0.16679,0.24793,1.16082,0.54822,2.45588,0.6976,0.14913,-0.60107,0.89849,0.6976,,,,,,,,,19.Savani.WEIRD,WEIRD,0,0.431477108437426,-0.2,"Actions are Choices (Savani et al., 2010)",0.04154,24
19,2,Savani,Savani.2b,-3.69,,126,126,128,64,64,t,two.sided,-3.69,-5.69515727694999,-1.67092700015915,128,64,64,-0.65231,0.03291,-1.00677,-0.29538,25.71019,32.23096,-0.35538,0.00046,-0.64842,0.03252,-1.00077,-0.29362,25.83581,32.3297,0.00046,-0.31229,0.00641,-0.45246,-0.14724,0.00044,-0.32308,0.008,-0.48779,-0.14831,0.30631,0.16104,0.58522,0.00046,-1.18315,-1.82608,-0.53576,0.00046,,,,,,,,,19.Savani.NONWEIRD,less WEIRD,0,0.431477108437426,-0.2,"Actions are Choices (Savani et al., 2010)",-0.31229,24
20,2,Norenzayan,Norenzayan.1,1,1,1,1,1080,700,380,OR,"",1,,,1080,700,380,0,,-15.12414,,50,50,0,,0,,-15.11361,,50,50,,0,,-0.99055,,1,0,0.00093,-2.67511,,1,0,,,0,-27.43215,,,,,,,,,,,20.Norenzayan.WEIRD,WEIRD,19,19.3826836190883,18.8,"Intuitive Reasoning (Norenzayan et al., 2002)",0,24
20,2,Norenzayan,Norenzayan.2,3.35,3.35,1,1,1100,720,380,OR,"",3.35,,,1100,720,380,0.66653,,-15.83646,-15.12942,74.74653,68.12908,0.36258,,0.66608,,-15.82564,-15.11909,74.73198,68.11758,,0.30214,,-0.9913,-0.99048,0,0.31187,0.00091,-2.71649,-2.67123,3.35,0,0,,1.20896,-28.72416,-27.44174,,,,,,,,,,20.Norenzayan.NONWEIRD,less WEIRD,19,19.3826836190883,18.8,"Intuitive Reasoning (Norenzayan et al., 2002)",0.30214,24
21,2,Hsee,Hsee.1,3.13,,82,82,83,41,42,t,two.sided,3.13,1.10350154625606,5.13846492797985,83,41,42,0.68717,0.05104,0.24227,1.12812,75.40135,68.64829,0.37297,0.00317,0.68079,0.0501,0.24002,1.11764,75.19984,68.48812,0.00317,0.32848,0.00971,0.1217,0.49582,0.00308,0.34112,0.0125,0.12231,0.54375,3.47779,1.55181,7.73833,0.00317,1.2464,0.43942,2.04619,0.00317,,,,,,,,,21.Hsee.WEIRD,WEIRD,18,18.422738583239,17.8,"Less is Better (Hsee, 1998)",0.32848,24
22,2,Gray,Gray.1,3.32,,68,68,69,34,35,t,two.sided,3.32,1.27112904813585,5.34624530783196,69,34,35,0.79945,0.06261,0.30608,1.28736,78.79841,71.4063,0.42813,0.00213,0.79046,0.06122,0.30264,1.2729,78.53714,71.18994,0.00213,0.37586,0.01084,0.15345,0.54684,0.00203,0.39523,0.01515,0.15468,0.61386,4.26326,1.74225,10.32959,0.00213,1.45003,0.55518,2.33501,0.00213,,,,,,,,,22.Gray.WEIRD,WEIRD,21,21.4209018355467,20.8,"Moral Typecasting (Gray & Wegner, 2009)",0.37586,24
23,2,Zhong,Zhong.1,6.99,,1,1,27,14,13,f,two.sided,6.99,1,40.1408503649273,27,14,13,1.01832,0.16755,0.38516,2.44028,84.57373,76.42565,0.52851,0.01988,0.98746,0.15755,0.37349,2.36633,83.82921,75.7487,0.01988,0.45349,0.02097,0.18898,0.77321,0.02438,0.48908,0.04167,0.19128,1.02827,6.34096,2.01096,83.61111,0.01988,1.84703,0.69861,4.42618,0.01988,,,,,,,,,23.Zhong.WEIRD,WEIRD,9,9.41697042696815,8.8,"Moral Cleansing (Zhong & Liljenquist, 2006)",0.45349,24
24,2,Schwarz,Schwarz.1a,0.445519348268839,0.445519348268839,48,48,100,50,50,Z.f,two.sided,0.445519348268839,,,100,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.479096016770005,0.0747863176586749,0.883405715881336,,,,,,24.Schwarz.WEIRD,WEIRD,27,27.4285915284249,26.8,"Assimilation & Contrast (Schwarz et al., 1991)",0.479096016770005,24
25,2,Shafir,Shafir.1,2.48,,,,170,85,85,Z,two.sided,2.48,0.520036015459946,4.43996398454005,170,85,85,0.3845,0.02396,0.07992,0.70263,64.96974,60.71448,0.21429,0.01398,0.38278,0.02375,0.07956,0.69949,64.90602,60.66774,0.01398,0.18879,0.00537,0.03993,0.33146,0.01453,0.19109,0.00599,0.03995,0.34446,2.00855,1.15599,3.57667,0.01398,0.69741,0.14496,1.27443,0.01398,,,,,,,,,25.Shafir.WEIRD,WEIRD,2,2.41525870522164,1.8,"Choosing or Rejecting (Shafir, 1993)",0.18879,24
26,2,Zaval,Zaval.3,2.15,,191,191,192,96,96,t,two.sided,2.15,0.175448219866155,4.11899101045418,192,96,96,0.31033,0.02108,0.02532,0.59453,62.18434,58.68438,0.17369,0.03386,0.3091,0.02092,0.02522,0.59218,62.1377,58.6506,0.03386,0.15411,0.00499,0.01273,0.28631,0.03398,0.15535,0.00529,0.01273,0.29455,1.7557,1.047,2.93982,0.03386,0.56287,0.04593,1.07835,0.03386,,,,,,,,,26.Zaval.WEIRD,WEIRD,5,5.4278728674629,4.8,"Priming Warmth (Zaval et al., 2014)",0.15411,24
27,2,Knobe,Knobe.1,27.2,,1,1,78,,,X2,,27.2,10.5976158038159,51.4853018596989,78,,,1.45405,0.07976,0.78794,2.76902,92.70344,84.80655,0.69613,0,1.43966,0.07819,0.78014,2.74161,92.50179,84.56591,0,0.59052,0.00551,0.3686,0.81245,0,0.67847,0.01333,0.3868,1.13418,13.9763,4.17523,151.78266,0,2.63736,1.42917,5.02245,0,,,,,,,,,27.Knobe.WEIRD,WEIRD,24,24.4032720079968,23.8,"Intentional Side-Effects (Knobe, 2003)",0.59052,24
28,2,Gati,Gati.2,2.99,,153,153,154,77,77,t.p,two.sided,0.240941066243589,0.080333073651522,0.400783524172036,154,77,77,0.24094,0.02616,0.08033,0.40078,59.51996,56.76408,0.13528,0.1384,0.23975,0.0259,0.07994,0.3988,59.47381,56.73097,0.1384,0.11961,0.00626,0.04013,0.19649,0.1418,0.12018,0.00662,0.04016,0.19907,1.54809,1.15686,2.06874,0.1384,0.43702,0.14571,0.72694,0.1384,,,,,,,,,28.Gati.WEIRD,WEIRD,7,7.43696891010954,6.8,"Direction & Similarity (Tversky & Gati, 1978)",0.11961,24
